Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Max Scherzer,2015,SP,UFA,DET,WSH,7,"$210,000,000","$30,000,000"
2,Jon Lester,2015,SP,UFA,OAK,CHC,6,"$155,000,000","$25,833,333"
3,Pablo Sandoval,2015,3B,UFA,SF,BOS,5,"$95,000,000","$19,000,000"
4,Hanley Ramirez,2015,1B,UFA,LAD,BOS,4,"$88,000,000","$22,000,000"
5,Russell Martin,2015,C,UFA,PIT,TOR,5,"$82,000,000","$16,400,000"
6,James Shields,2015,SP,UFA,KC,SD,4,"$75,000,000","$18,750,000"
7,Nelson Cruz,2015,DH,UFA,BAL,SEA,4,"$57,000,000","$14,250,000"
8,Ervin Santana,2015,SP,UFA,ATL,MIN,4,"$55,000,000","$13,750,000"
9,Chase Headley,2015,3B,UFA,NYY,NYY,4,"$52,000,000","$13,000,000"
10,Brandon McCarthy,2015,SP,UFA,NYY,LAD,4,"$48,000,000","$12,000,000"
11,David Robertson,2015,RP,UFA,NYY,CHW,4,"$46,000,000","$11,500,000"
12,Nick Markakis,2015,RF,UFA,BAL,ATL,4,"$44,000,000","$11,000,000"
13,Melky Cabrera,2015,LF,UFA,TOR,CHW,3,"$42,000,000","$14,000,000"
14,Francisco Liriano,2015,RP,UFA,PIT,PIT,3,"$39,000,000","$13,000,000"
15,Andrew Miller,2015,RP,UFA,BAL,NYY,4,"$36,000,000","$9,000,000"
16,Billy Butler,2015,DH,UFA,KC,OAK,3,"$30,000,000","$10,000,000"
17,Adam LaRoche,2015,DH,UFA,WSH,CHW,2,"$25,000,000","$12,500,000"
18,Jake Peavy,2015,RP,UFA,SF,SF,2,"$24,000,000","$12,000,000"
19,Jed Lowrie,2015,2B,UFA,OAK,HOU,3,"$23,000,000","$7,666,667"
20,Edinson Volquez,2015,RP,UFA,PIT,KC,2,"$20,000,000","$10,000,000"
21,Jason Hammel,2015,RP,UFA,OAK,CHC,2,"$20,000,000","$10,000,000"
22,Luke Gregerson,2015,RP,UFA,OAK,HOU,3,"$18,500,000","$6,166,667"
23,Kendrys Morales,2015,DH,UFA,SEA,KC,2,"$17,000,000","$8,500,000"
24,Mike Morse,2015,LF,UFA,SF,MIA,2,"$16,000,000","$8,000,000"
25,Zach Duke,2015,RP,UFA,MIL,CHW,3,"$15,000,000","$5,000,000"
26,Sergio Romo,2015,RP,UFA,SF,SF,2,"$15,000,000","$7,500,000"
27,Francisco Rodriguez,2015,RP,UFA,MIL,MIL,2,"$13,000,000","$6,500,000"
28,Pat Neshek,2015,RP,UFA,STL,HOU,2,"$12,500,000","$6,250,000"
29,Alex Rios,2015,RF,UFA,TEX,KC,1,"$11,000,000","$11,000,000"
30,Torii Hunter,2015,RF,UFA,DET,MIN,1,"$10,500,000","$10,500,000"
31,Luke Hochevar,2015,RP,UFA,KC,KC,2,"$10,000,000","$5,000,000"
32,Brett Anderson,2015,SP,UFA,COL,LAD,1,"$10,000,000","$10,000,000"
33,Kris Medlen,2015,SP,UFA,ATL,KC,2,"$8,500,000","$4,250,000"
34,A.J. Burnett,2015,SP,UFA,PHI,PIT,1,"$8,500,000","$8,500,000"
35,Colby Rasmus,2015,LF,UFA,TOR,HOU,1,"$8,000,000","$8,000,000"
36,Jason Grilli,2015,RP,UFA,LAA,ATL,2,"$8,000,000","$4,000,000"
37,Asdrubal Cabrera,2015,2B,UFA,WSH,TB,1,"$7,500,000","$7,500,000"
38,Kevin Correia,2015,SP,UFA,SF,PHI,1,"$6,500,000","$6,500,000"
39,Nick Hundley,2015,C,UFA,BAL,COL,2,"$6,250,000","$3,125,000"
40,Kyle Kendrick,2015,SP,UFA,PHI,COL,1,"$5,500,000","$5,500,000"
41,Chris Capuano,2015,RP,UFA,NYY,NYY,1,"$5,000,000","$5,000,000"
42,Casey Janssen,2015,RP,UFA,TOR,WSH,1,"$5,000,000","$5,000,000"
43,David Ross,2015,C,UFA,BOS,CHC,2,"$5,000,000","$2,500,000"
44,Aaron Harang,2015,SP,UFA,ATL,PHI,1,"$5,000,000","$5,000,000"
45,Stephen Drew,2015,2B,UFA,NYY,NYY,1,"$5,000,000","$5,000,000"
46,Jason Motte,2015,RP,UFA,STL,CHC,1,"$4,500,000","$4,500,000"
47,Emilio Bonifacio,2015,CF,UFA,ATL,CHW,1,"$4,000,000","$4,000,000"
48,Colby Lewis,2015,SP,UFA,TEX,TEX,1,"$4,000,000","$4,000,000"
49,Ryan Vogelsong,2015,SP,UFA,SF,SF,1,"$4,000,000","$4,000,000"
50,Jonny Gomes,2015,LF,UFA,OAK,ATL,1,"$4,000,000","$4,000,000"
51,Daniel Descalso,2015,2B,UFA,STL,COL,2,"$3,600,000","$1,800,000"
52,Matt Belisle,2015,RP,UFA,COL,STL,1,"$3,500,000","$3,500,000"
53,Neal Cotts,2015,RP,UFA,TEX,MIL,1,"$3,000,000","$3,000,000"
54,Alberto Callaspo,2015,3B,UFA,OAK,ATL,1,"$3,000,000","$3,000,000"
55,Brandon Beachy,2015,SP,UFA,ATL,LAD,1,"$2,750,000","$2,750,000"
56,Roberto Hernandez,2015,RP,UFA,LAA,HOU,1,"$2,600,000","$2,600,000"
57,John Axford,2015,RP,UFA,PIT,COL,1,"$2,600,000","$2,600,000"
58,Chris Denorfia,2015,RF,UFA,SEA,CHC,1,"$2,600,000","$2,600,000"
59,Brandon Morrow,2015,RP,UFA,TOR,SD,1,"$2,500,000","$2,500,000"
60,Corey Hart,2015,RF,UFA,SEA,PIT,1,"$2,500,000","$2,500,000"
61,Burke Badenhop,2015,RP,UFA,BOS,CIN,1,"$2,500,000","$2,500,000"
62,Johan Santana,2015,SP,UFA,BAL,TOR,1,"$2,500,000","$2,500,000"
63,Phil Coke,2015,RP,UFA,DET,CHC,1,"$2,250,000","$2,250,000"
64,Delmon Young,2015,LF,UFA,BAL,BAL,1,"$2,250,000","$2,250,000"
65,Tim Stauffer,2015,RP,UFA,SD,MIN,1,"$2,200,000","$2,200,000"
66,A.J. Pierzynski,2015,C,UFA,STL,ATL,1,"$2,000,000","$2,000,000"
67,Gordon Beckham,2015,2B,UFA,LAA,CHW,1,"$2,000,000","$2,000,000"
68,Ichiro Suzuki,2015,LF,UFA,NYY,MIA,1,"$2,000,000","$2,000,000"
69,Carlos Villanueva,2015,RP,UFA,CHC,STL,1,"$2,000,000","$2,000,000"
70,Rickie Weeks,2015,1B,UFA,MIL,SEA,1,"$2,000,000","$2,000,000"
71,Eric Stults,2015,SP,UFA,SD,ATL,1,"$2,000,000","$2,000,000"
72,Craig Breslow,2015,RP,UFA,BOS,BOS,1,"$2,000,000","$2,000,000"
73,Mark Reynolds,2015,3B,UFA,MIL,STL,1,"$2,000,000","$2,000,000"
74,Jared Burton,2015,RP,UFA,MIN,NYY,1,"$2,000,000","$2,000,000"
75,Franklin Morales,2015,RP,UFA,COL,KC,1,"$1,850,000","$1,850,000"
76,Nate Schierholtz,2015,RF,UFA,WSH,TEX,1,"$1,750,000","$1,750,000"
77,Ryan Ludwick,2015,LF,UFA,CIN,TEX,1,"$1,750,000","$1,750,000"
78,Jim Johnson,2015,RP,UFA,DET,ATL,1,"$1,600,000","$1,600,000"
79,Kelly Johnson,2015,2B,UFA,BAL,ATL,1,"$1,500,000","$1,500,000"
80,Joe Beimel,2015,RP,UFA,SEA,TEX,1,"$1,500,000","$1,500,000"
81,Chris Perez,2015,RP,UFA,LAD,MIL,1,"$1,500,000","$1,500,000"
82,Chad Billingsley,2015,SP,UFA,LAD,PHI,1,"$1,500,000","$1,500,000"
83,Clint Barmes,2015,SS,UFA,PIT,SD,1,"$1,500,000","$1,500,000"
84,Matt Albers,2015,RP,UFA,HOU,CHW,1,"$1,500,000","$1,500,000"
85,Alexi Ogando,2015,RP,UFA,TEX,BOS,1,"$1,500,000","$1,500,000"
86,Geovany Soto,2015,C,UFA,OAK,CHW,1,"$1,500,000","$1,500,000"
87,Scott Baker,2015,SP,UFA,TEX,NYY,1,"$1,500,000","$1,500,000"
88,Kevin Gregg,2015,RP,UFA,MIA,CIN,1,"$1,500,000","$1,500,000"
89,John Mayberry Jr.,2015,RF,UFA,TOR,NYM,1,"$1,450,000","$1,450,000"
90,Don Kelly,2015,CF,UFA,DET,MIA,1,"$1,250,000","$1,250,000"
91,Ramon Santiago,2015,2B,UFA,CIN,TOR,1,"$1,100,000","$1,100,000"
92,Justin Smoak,2015,1B,UFA,TOR,TOR,1,"$1,000,000","$1,000,000"
93,Tom Gorzelanny,2015,RP,UFA,MIL,DET,1,"$1,000,000","$1,000,000"
94,Kyle Blanks,2015,LF,UFA,OAK,TEX,1,"$1,000,000","$1,000,000"
95,Kyuji Fujikawa,2015,RP,UFA,CHC,TEX,1,"$1,000,000","$1,000,000"
96,Matt Lindstrom,2015,RP,UFA,CHW,LAA,1,"$1,000,000","$1,000,000"
97,Justin Maxwell,2015,LF,UFA,KC,SF,1,"$1,000,000","$1,000,000"
98,Eric Young Jr.,2015,CF,UFA,NYM,ATL,1,"$1,000,000","$1,000,000"
99,Josh Johnson,2015,SP,UFA,SD,SD,1,"$1,000,000","$1,000,000"
100,Joba Chamberlain,2015,RP,UFA,DET,DET,1,"$1,000,000","$1,000,000"
101,Jamey Wright,2015,RP,UFA,LAD,TEX,1,"$1,000,000","$1,000,000"
102,Joe Thatcher,2015,RP,UFA,LAA,HOU,1,"$1,000,000","$1,000,000"
103,Nick Massett,2015,RP,UFA,COL,MIA,1,"$1,000,000","$1,000,000"
104,Gerald Laird,2015,C,UFA,ATL,ARI,1,"$1,000,000","$1,000,000"
105,Rafael Betancourt,2015,RP,UFA,COL,COL,1,"$1,000,000","$1,000,000"
106,Heath Bell,2015,RP,UFA,NYY,WSH,1,"$1,000,000","$1,000,000"
107,Josh Outman,2015,RP,UFA,NYY,ATL,1,"$925,000","$925,000"
108,Elliot Johnson,2015,2B,UFA,CLE,TEX,1,"$900,000","$900,000"
109,Jordan Pacheco,2015,3B,UFA,ARI,ARI,1,"$900,000","$900,000"
110,Jonathan Herrera,2015,SS,UFA,BOS,CHC,1,"$900,000","$900,000"
111,Adam Rosales,2015,2B,UFA,TEX,TEX,1,"$900,000","$900,000"
112,Wil Nieves,2015,C,UFA,PHI,SD,1,"$850,000","$850,000"
113,Ernesto Frieri,2015,RP,UFA,PIT,TB,1,"$800,000","$800,000"
114,Jeanmar Gomez,2015,RP,UFA,PIT,PHI,1,"$800,000","$800,000"
115,Jayson Nix,2015,2B,UFA,KC,BAL,1,"$750,000","$750,000"
116,Endy Chavez,2015,LF,UFA,SEA,SEA,1,"$750,000","$750,000"
117,Bobby Wilson,2015,C,UFA,ARI,TB,1,"$700,000","$700,000"
118,Pedro Feliciano,2015,RP,UFA,STL,CHC,1,"$700,000","$700,000"
119,Chris Young,2015,RP,UFA,SEA,KC,1,"$675,000","$675,000"
120,Jason Frasor,2015,RP,UFA,KC,ATL,1,"$575,000","$575,000"
121,Shane Robinson,2015,CF,UFA,STL,MIN,1,"$550,000","$550,000"
122,Jeremy McBryde,2015,RP,UFA,OAK,LAA,1,"$507,500","$507,500"
123,Nick Punto,2015,SS,UFA,OAK,ARI,1,"$507,500","$507,500"
124,Ross Detwiler,2015,RP,UFA,TEX,ATL,1,"$507,500","$507,500"
125,Dustin McGowan,2015,RP,UFA,TOR,LAD,1,"$507,500","$507,500"
126,John Buck,2015,C,UFA,LAA,ATL,1,$0,$0
127,Rich Hill,2015,SP,UFA,NYY,WSH,1,$0,$0
128,Roger Bernadina,2015,LF,UFA,LAD,COL,1,$0,$0
129,Donnie Murphy,2015,3B,UFA,TEX,MIL,1,$0,$0
130,Tony Gwynn Jr.,2015,LF,UFA,PHI,WSH,1,$0,$0
131,Mike Adams,2015,RP,UFA,PHI,LAD,1,$0,$0
132,Tyler Colvin,2015,RP,UFA,SF,MIA,1,$0,$0
133,Wandy Rodriguez,2015,RP,UFA,PIT,KC,0,$0,$0
134,Mat Latos,2015,SP,UFA,LAD,LAA,0,$0,$0
135,David Carpenter,2015,RP,UFA,LAA,ATL,1,$0,$0
136,Taylor Teagarden,2015,C,UFA,NYM,CHC,1,$0,$0
137,Mitchell Boggs,2015,RP,UFA,CHW,BOS,1,$0,$0
138,Chris McGuiness,2015,1B,UFA,PIT,PHI,1,$0,$0
139,Josh Wilson,2015,2B,UFA,TEX,DET,1,$0,$0
140,Corey Brown,2015,CF,UFA,BOS,TB,1,$0,$0
141,Ryan Roberts,2015,2B,UFA,BOS,KC,1,$0,$0
142,Felix Doubront,2015,SP,UFA,CHC,TOR,1,$0,$0
143,Scott Elbert,2015,RP,UFA,LAD,SD,1,$0,$0
144,Dan Johnson,2015,1B,UFA,TOR,HOU,1,$0,$0
145,Ronny Cedeno,2015,SS,UFA,ARI,SF,1,$0,$0
146,Clint Robinson,2015,1B,UFA,LAD,WSH,1,$0,$0
147,Cesar Cabral,2015,RP,UFA,NYY,BAL,1,$0,$0
148,Dana Eveland,2015,RP,UFA,BOS,ARI,1,$0,$0
149,Ross Ohlendorf,2015,RP,UFA,WSH,TEX,1,$0,$0
150,Dayan Viciedo,2015,RF,UFA,CHW,TOR,1,$0,$0
151,Cord Phelps,2015,2B,UFA,BAL,PHI,1,$0,$0
152,David Huff,2015,RP,UFA,NYY,LAD,1,$0,$0
153,Andy Dirks,2015,LF,UFA,TOR,TOR,1,$0,$0
154,Ryan Kalish,2015,LF,UFA,CHC,TOR,1,$0,$0
155,Rafael Soriano,2015,RP,UFA,WSH,CHC,1,$0,$0
156,Josh Prince,2015,CF,UFA,MIL,DET,1,$0,$0
157,Juan Carlos Oviedo,2015,RP,UFA,TB,TEX,1,$0,$0
158,Gus Schlosser,2015,RP,UFA,ATL,ATL,1,$0,$0
159,Cole Figueroa,2015,2B,UFA,TB,NYY,1,$0,$0
160,Trevor Cahill,2015,RP,UFA,ATL,CHC,1,$0,$0
161,Kevin Slowey,2015,RP,UFA,MIA,PHI,1,$0,$0
162,Ezequiel Carrera,2015,LF,UFA,DET,TOR,1,$0,$0
163,Matt Capps,2015,RP,UFA,CLE,ATL,1,$0,$0
164,Tony Campana,2015,LF,UFA,LAA,CHW,1,$0,$0
165,Troy Patton,2015,RP,UFA,SD,KC,1,$0,$0
166,Carlos Rivero,2015,SS,UFA,SEA,SEA,1,$0,$0
167,Chaz Roe,2015,RP,UFA,PIT,BAL,1,$0,$0
168,Kraig Sitton,2015,RP,UFA,COL,COL,1,$0,$0
169,Juan Francisco,2015,1B,UFA,BOS,TB,1,$0,$0
170,John Baker,2015,C,UFA,CHC,SEA,0,$0,$0
171,Curtis Partch,2015,RP,UFA,CIN,SF,1,$0,$0
172,Ian Stewart,2015,2B,UFA,LAA,WSH,1,$0,$0
173,Scott Carroll,2015,RP,UFA,CHW,CHW,1,$0,$0
174,Scott Snodgress,2015,SP,UFA,CHW,LAA,1,$0,$0
175,Francisley Bueno,2015,RP,UFA,KC,CHC,1,$0,$0
176,Clayton Richard,2015,RP,UFA,ARI,PIT,1,$0,$0
177,Buddy Boshers,2015,RP,UFA,LAA,COL,1,$0,$0
178,Blake Beavan,2015,RP,UFA,SEA,ARI,1,$0,$0
179,Chris Parmelee,2015,1B,UFA,MIN,BAL,1,$0,$0
180,Yohan Pino,2015,SP,UFA,MIN,LAA,1,$0,$0
181,Michael Kirkman,2015,RP,UFA,TEX,TEX,1,$0,$0
182,Tommy Field,2015,2B,UFA,PIT,TEX,1,$0,$0
183,Matt Tuiasosopo,2015,LF,UFA,TOR,BAL,1,$0,$0
184,Carlos Peguero,2015,LF,UFA,KC,TEX,1,$0,$0
185,Shawn O'Malley,2015,LF,UFA,LAA,SEA,1,$0,$0
186,Ben Rowen,2015,RP,UFA,TEX,LAD,1,$0,$0
187,Quintin Berry,2015,LF,UFA,BAL,BOS,1,$0,$0
188,Ryan Mattheus,2015,RP,UFA,WSH,LAA,1,$0,$0
189,J.C. Gutiérrez,2015,RP,UFA,SF,SF,1,$0,$0
190,Alexi Casilla,2015,2B,UFA,BAL,TB,1,$0,$0
191,Evan Meek,2015,RP,UFA,BAL,WSH,1,$0,$0
192,Andy LaRoche,2015,3B,UFA,TOR,CHW,1,$0,$0
193,Casey McGehee,2015,3B,UFA,SF,MIA,0,$0,$0
194,David Herndon,2015,RP,UFA,NYY,MIL,1,$0,$0
195,Reed Johnson,2015,LF,UFA,MIA,MIA,1,$0,$0
196,J.P. Arencibia,2015,1B,UFA,TEX,BAL,1,$0,$0
197,Danny Worth,2015,2B,UFA,DET,ARI,1,$0,$0
198,Franklin Gutierrez,2015,CF,UFA,SEA,SEA,1,$0,$0
199,Chien-Ming Wang,2015,RP,UFA,CIN,ATL,1,$0,$0
200,Everth Cabrera,2015,SS,UFA,BAL,SF,1,$0,$0
201,George Kottaras,2015,C,UFA,STL,CHW,1,$0,$0
202,Daric Barton,2015,1B,UFA,OAK,TOR,1,$0,$0
203,Vin Mazzaro,2015,RP,UFA,PIT,MIA,1,$0,$0
204,Brad Penny,2015,SP,UFA,MIA,CHW,1,$0,$0
205,Brett Wallace,2015,3B,UFA,HOU,SD,1,$0,$0
206,Omar Quintanilla,2015,SS,UFA,NYM,COL,1,$0,$0
207,Jonny Venters,2015,RP,UFA,ATL,TB,2,$0,$0
208,Koyie Hill,2015,C,UFA,WSH,PHI,1,$0,$0
209,Paul Maholm,2015,RP,UFA,LAD,CIN,1,$0,$0
210,Ramiro Pena,2015,2B,UFA,ATL,SD,1,$0,$0
211,Joe Saunders,2015,SP,UFA,TEX,SEA,1,$0,$0
212,David Aardsma,2015,RP,UFA,STL,LAD,1,$0,$0
213,Humberto Quintero,2015,C,UFA,SEA,BOS,1,$0,$0
214,Cory Gearrin,2015,RP,UFA,ATL,SF,1,$0,$0
215,Dane De La Rosa,2015,RP,UFA,LAA,BAL,1,$0,$0
216,Jeff Bianchi,2015,2B,UFA,MIL,BOS,1,$0,$0
217,Nolan Reimold,2015,LF,UFA,ARI,BAL,1,$0,$0
218,Mark Lowe,2015,RP,UFA,CLE,SEA,1,$0,$0
219,James Russell,2015,RP,UFA,ATL,CHC,1,$0,$0
220,Wilton Lopez,2015,RP,UFA,COL,TOR,1,$0,$0
221,Jose Veras,2015,RP,UFA,HOU,ATL,1,$0,$0
