Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Yoenis Cespedes,2017,LF,UFA,NYM,NYM,4,"$110,000,000","$27,500,000"
2,Aroldis Chapman,2017,RP,UFA,CHC,NYY,5,"$86,000,000","$17,200,000"
3,Dexter Fowler,2017,RF,UFA,CHC,STL,5,"$82,500,000","$16,500,000"
4,Kenley Jansen,2017,RP,UFA,LAD,LAD,5,"$80,000,000","$16,000,000"
5,Ian Desmond,2017,CF,UFA,TEX,COL,5,"$70,000,000","$14,000,000"
6,Justin Turner,2017,3B,UFA,LAD,LAD,4,"$64,000,000","$16,000,000"
7,Mark Melancon,2017,RP,UFA,WSH,SF,4,"$62,000,000","$15,500,000"
8,Josh Reddick,2017,RF,UFA,LAD,HOU,4,"$52,000,000","$13,000,000"
9,Rich Hill,2017,SP,UFA,LAD,LAD,3,"$48,000,000","$16,000,000"
10,Mark Trumbo,2017,DH,UFA,BAL,BAL,3,"$37,500,000","$12,500,000"
11,Kendrys Morales,2017,DH,UFA,KC,TOR,3,"$33,000,000","$11,000,000"
12,Brett Cecil,2017,RP,UFA,TOR,STL,4,"$30,500,000","$7,625,000"
13,Ivan Nova,2017,SP,UFA,PIT,PIT,3,"$26,000,000","$8,666,667"
14,Jason Castro,2017,C,UFA,HOU,MIN,3,"$24,500,000","$8,166,667"
15,Edinson Volquez,2017,RP,UFA,KC,MIA,2,"$22,000,000","$11,000,000"
16,Michael Dunn,2017,RP,UFA,MIA,COL,3,"$19,000,000","$6,333,333"
17,Jose Bautista,2017,RF,UFA,TOR,TOR,1,"$18,500,000","$18,500,000"
18,Jason Hammel,2017,RP,UFA,CHC,KC,2,"$16,000,000","$8,000,000"
19,Carlos Beltran,2017,DH,UFA,TEX,HOU,1,"$16,000,000","$16,000,000"
20,Brad Ziegler,2017,RP,UFA,BOS,MIA,2,"$16,000,000","$8,000,000"
21,Luis Valbuena,2017,3B,UFA,HOU,LAA,2,"$15,000,000","$7,500,000"
22,Charlie Morton,2017,SP,UFA,PHI,HOU,2,"$14,000,000","$7,000,000"
23,Welington Castillo,2017,C,UFA,ARI,BAL,2,"$13,000,000","$6,500,000"
24,Matt Holliday,2017,OF,UFA,STL,NYY,1,"$13,000,000","$13,000,000"
25,Bartolo Colon,2017,SP,UFA,NYM,ATL,1,"$12,500,000","$12,500,000"
26,Wilson Ramos,2017,C,UFA,WSH,TB,2,"$12,500,000","$6,250,000"
27,Steven Pearce,2017,1B,UFA,BAL,TOR,2,"$12,500,000","$6,250,000"
28,Brandon Moss,2017,DH,UFA,STL,KC,2,"$12,000,000","$6,000,000"
29,Travis Wood,2017,SP,UFA,CHC,KC,2,"$12,000,000","$6,000,000"
30,Junichi Tazawa,2017,RP,UFA,BOS,MIA,2,"$12,000,000","$6,000,000"
31,Sean Rodriguez,2017,2B,UFA,PIT,ATL,2,"$11,500,000","$5,750,000"
32,Carlos Gomez,2017,RF,UFA,TEX,TEX,1,"$11,500,000","$11,500,000"
33,Marc Rzepczynski,2017,RP,UFA,WSH,SEA,2,"$11,000,000","$5,500,000"
34,Matt Joyce,2017,LF,UFA,PIT,OAK,2,"$11,000,000","$5,500,000"
35,Santiago Casilla,2017,RP,UFA,SF,OAK,2,"$11,000,000","$5,500,000"
36,Daniel Hudson,2017,RP,UFA,ARI,PIT,2,"$11,000,000","$5,500,000"
37,Andrew Cashner,2017,RP,UFA,MIA,TEX,1,"$10,000,000","$10,000,000"
38,Mike Napoli,2017,1B,UFA,CLE,TEX,1,"$8,500,000","$8,500,000"
39,Jon Jay,2017,RF,UFA,SD,CHC,1,"$8,000,000","$8,000,000"
40,R.A. Dickey,2017,SP,UFA,TOR,ATL,1,"$8,000,000","$8,000,000"
41,Joaquin Benoit,2017,RP,UFA,TOR,PHI,1,"$7,500,000","$7,500,000"
42,Greg Holland,2017,RP,UFA,KC,COL,1,"$7,000,000","$7,000,000"
43,Jerry Blevins,2017,RP,UFA,NYM,NYM,1,"$6,500,000","$6,500,000"
44,Derek Holland,2017,RP,UFA,TEX,CHW,1,"$6,000,000","$6,000,000"
45,Tyson Ross,2017,SP,UFA,SD,TEX,1,"$6,000,000","$6,000,000"
46,Koji Uehara,2017,RP,UFA,BOS,CHC,1,"$6,000,000","$6,000,000"
47,Rajai Davis,2017,CF,UFA,CLE,OAK,1,"$6,000,000","$6,000,000"
48,Jesse Chavez,2017,RP,UFA,LAD,LAA,1,"$5,750,000","$5,750,000"
49,Mitch Moreland,2017,1B,UFA,TEX,BOS,1,"$5,500,000","$5,500,000"
50,Neftali Feliz,2017,RP,UFA,PIT,MIL,1,"$5,350,000","$5,350,000"
51,Trevor Plouffe,2017,3B,UFA,MIN,OAK,1,"$5,250,000","$5,250,000"
52,Colby Rasmus,2017,LF,UFA,HOU,TB,1,"$5,000,000","$5,000,000"
53,Ben Revere,2017,CF,UFA,WSH,LAA,1,"$4,000,000","$4,000,000"
54,Jeff Mathis,2017,C,UFA,MIA,ARI,2,"$4,000,000","$2,000,000"
55,Joe Blanton,2017,RP,UFA,LAD,WSH,1,"$4,000,000","$4,000,000"
56,Drew Butera,2017,C,UFA,KC,KC,2,"$3,800,000","$1,900,000"
57,Stephen Drew,2017,2B,UFA,WSH,WSH,1,"$3,500,000","$3,500,000"
58,Chris Carter,2017,1B,UFA,MIL,NYY,1,"$3,500,000","$3,500,000"
59,Drew Storen,2017,RP,UFA,SEA,CIN,1,"$3,000,000","$3,000,000"
60,Sergio Romo,2017,RP,UFA,SF,LAD,1,"$3,000,000","$3,000,000"
61,Jered Weaver,2017,SP,UFA,LAA,SD,1,"$3,000,000","$3,000,000"
62,Joe Smith,2017,RP,UFA,CHC,TOR,1,"$3,000,000","$3,000,000"
63,J.P. Howell,2017,RP,UFA,LAD,TOR,1,"$3,000,000","$3,000,000"
64,Andres Blanco,2017,3B,UFA,PHI,PHI,1,"$3,000,000","$3,000,000"
65,Jeff Locke,2017,RP,UFA,PIT,MIA,1,"$3,000,000","$3,000,000"
66,Fernando Rodney,2017,RP,UFA,MIA,ARI,1,"$2,750,000","$2,750,000"
67,Franklin Gutierrez,2017,CF,UFA,SEA,LAD,1,"$2,600,000","$2,600,000"
68,A.J. Ellis,2017,C,UFA,PHI,MIA,1,"$2,500,000","$2,500,000"
69,Edwin Jackson,2017,SP,UFA,SD,BAL,1,"$2,450,000","$2,450,000"
70,Scott Feldman,2017,SP,UFA,TOR,CIN,1,"$2,300,000","$2,300,000"
71,Matt Belisle,2017,RP,UFA,WSH,MIN,1,"$2,050,000","$2,050,000"
72,Brian Duensing,2017,RP,UFA,BAL,CHC,1,"$2,000,000","$2,000,000"
73,Pedro Alvarez,2017,1B,UFA,BAL,BAL,1,"$2,000,000","$2,000,000"
74,Nick Hundley,2017,C,UFA,COL,SF,1,"$2,000,000","$2,000,000"
75,Nathan Eovaldi,2017,SP,UFA,NYY,TB,1,"$2,000,000","$2,000,000"
76,Alex Avila,2017,C,UFA,CHW,DET,1,"$2,000,000","$2,000,000"
77,Chase Utley,2017,2B,UFA,LAD,LAD,1,"$2,000,000","$2,000,000"
78,Jhoulys Chacin,2017,SP,UFA,LAA,SD,1,"$1,750,000","$1,750,000"
79,Clayton Richard,2017,RP,UFA,SD,SD,1,"$1,750,000","$1,750,000"
80,Trevor Cahill,2017,RP,UFA,CHC,SD,1,"$1,750,000","$1,750,000"
81,Dustin McGowan,2017,RP,UFA,MIA,MIA,1,"$1,750,000","$1,750,000"
82,Adam Lind,2017,1B,UFA,SEA,WSH,1,"$1,500,000","$1,500,000"
83,Daniel Descalso,2017,2B,UFA,COL,ARI,1,"$1,500,000","$1,500,000"
84,Kurt Suzuki,2017,C,UFA,MIN,ATL,1,"$1,500,000","$1,500,000"
85,Chris Iannetta,2017,C,UFA,SEA,ARI,1,"$1,500,000","$1,500,000"
86,Chris Heisey,2017,LF,UFA,WSH,WSH,1,"$1,400,000","$1,400,000"
87,Tom Milone,2017,SP,UFA,MIN,MIL,1,"$1,250,000","$1,250,000"
88,Alexi Amarista,2017,SS,UFA,SD,COL,1,"$1,250,000","$1,250,000"
89,Sean Burnett,2017,RP,UFA,WSH,PHI,1,"$1,250,000","$1,250,000"
90,Adam Rosales,2017,2B,UFA,SD,OAK,1,"$1,250,000","$1,250,000"
91,Bryan Morris,2017,RP,UFA,MIA,SF,1,"$1,250,000","$1,250,000"
92,Derek Norris,2017,C,UFA,WSH,TB,1,"$1,200,000","$1,200,000"
93,Jacob Lindgren,2017,RP,UFA,NYY,ATL,1,"$1,025,000","$1,025,000"
94,Shawn Tolleson,2017,RP,UFA,TEX,TB,1,"$1,000,000","$1,000,000"
95,Jared Hughes,2017,RP,UFA,PIT,MIL,1,"$950,000","$950,000"
96,Logan Ondrusek,2017,RP,UFA,BAL,BAL,1,"$650,000","$650,000"
97,Danny Espinosa,2017,SS,UFA,LAA,SEA,1,"$535,000","$535,000"
98,Michael Saunders,2017,LF,UFA,PHI,TOR,0,$0,$0
99,Oswaldo Arcia,2017,LF,UFA,SD,ARI,0,$0,$0
100,Ryan LaMarre,2017,LF,UFA,BOS,LAA,1,$0,$0
