"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV",""
"","Jordan Lyles","2022","SP","UFA","TEX","BAL","1","$7,000,000","$7,000,000",""
"","Michael Wacha","2022","SP","UFA","TB","BOS","1","$7,000,000","$7,000,000",""
"","Luis Garcia","2022","RP","UFA","STL","SD","2","$7,000,000","$3,500,000",""
"","Daniel Hudson","2022","RP","UFA","SD","LAD","1","$7,000,000","$7,000,000",""
"","Michael Lorenzen","2022","SP","UFA","CIN","LAA","1","$6,750,000","$6,750,000",""
"","Jonathan Villar","2022","SS","UFA","NYM","CHC","1","$6,000,000","$6,000,000",""
"","Jeurys Familia","2022","RP","UFA","NYM","PHI","1","$6,000,000","$6,000,000",""
"","Joc Pederson","2022","LF","UFA","ATL","SF","1","$6,000,000","$6,000,000",""
"","Brad Hand","2022","RP","UFA","NYM","PHI","1","$6,000,000","$6,000,000",""
"","Josh Harrison","2022","2B","UFA","OAK","CHW","1","$5,500,000","$5,500,000",""
"","Michael Pineda","2022","SP","UFA","MIN","DET","1","$5,500,000","$5,500,000",""
"","Garrett Richards","2022","SP","UFA","BOS","TEX","1","$5,500,000","$5,500,000",""
"","Drew Smyly","2022","SP","UFA","ATL","CHC","1","$5,250,000","$5,250,000",""
"","Matt Boyd","2022","SP","UFA","DET","SF","1","$5,200,000","$5,200,000",""
"","Kole Calhoun","2022","RF","UFA","ARI","TEX","1","$5,200,000","$5,200,000",""
"","Roberto Perez","2022","C","UFA","CLE","PIT","1","$5,000,000","$5,000,000",""
"","Mychal Givens","2022","RP","UFA","CIN","CHC","1","$5,000,000","$5,000,000",""
"","Jose Iglesias","2022","SS","UFA","BOS","COL","1","$5,000,000","$5,000,000",""
"","Rich Hill","2022","SP","UFA","NYM","BOS","1","$5,000,000","$5,000,000",""
"","Corey Dickerson","2022","LF","UFA","TOR","STL","1","$5,000,000","$5,000,000",""
"","Dylan Bundy","2022","SP","UFA","LAA","MIN","1","$5,000,000","$5,000,000",""
"","Ian Kennedy","2022","RP","UFA","PHI","ARI","1","$4,750,000","$4,750,000",""
"","Donovan Solano","2022","2B","UFA","SF","CIN","1","$4,500,000","$4,500,000",""
"","Zach Davies","2022","SP","UFA","CHC","ARI","1","$4,500,000","$4,500,000",""
"","Alex Colome","2022","RP","UFA","MIN","COL","1","$4,100,000","$4,100,000",""
"","Yoshitomo Tsutsugo","2022","1B","UFA","PIT","PIT","1","$4,000,000","$4,000,000",""
"","Adam Ottavino","2022","RP","UFA","BOS","NYM","1","$4,000,000","$4,000,000",""
"","Andrelton Simmons","2022","SS","UFA","MIN","CHC","1","$4,000,000","$4,000,000",""
"","Martin Perez","2022","SP","UFA","BOS","TEX","1","$4,000,000","$4,000,000",""
"","Cesar Hernandez","2022","2B","UFA","CHW","WSH","1","$4,000,000","$4,000,000",""
"","Chris Archer","2022","SP","UFA","TB","MIN","1","$3,750,000","$3,750,000",""
"","Archie Bradley","2022","RP","UFA","PHI","LAA","1","$3,750,000","$3,750,000",""
"","David Robertson","2022","RP","UFA","TB","CHC","1","$3,500,000","$3,500,000",""
"","Chad Kuhl","2022","SP","UFA","PIT","COL","1","$3,000,000","$3,000,000",""
"","Matthew Strahm","2022","RP","UFA","SD","BOS","1","$3,000,000","$3,000,000",""
"","Bryan Shaw","2022","RP","UFA","CLE","CLE","1","$3,000,000","$3,000,000",""
"","Danny Duffy","2022","SP","UFA","LAD","LAD","1","$3,000,000","$3,000,000",""
"","Chris Martin","2022","RP","UFA","ATL","CHC","1","$2,750,000","$2,750,000",""
"","Joe Smith","2022","RP","UFA","SEA","MIN","1","$2,500,000","$2,500,000",""
"","Brad Boxberger","2022","RP","UFA","MIL","MIL","1","$2,500,000","$2,500,000",""
"","Albert Pujols","2022","DH","UFA","LAD","STL","1","$2,500,000","$2,500,000",""
"","Niko Goodrum","2022","2B","UFA","DET","HOU","1","$2,100,000","$2,100,000",""
"","Joely Rodriguez","2022","RP","UFA","NYY","NYY","1","$2,000,000","$2,000,000",""
"","Sergio Romo","2022","RP","UFA","OAK","SEA","1","$2,000,000","$2,000,000",""
"","Jose Quintana","2022","SP","UFA","SF","PIT","1","$2,000,000","$2,000,000",""
"","Pedro Severino","2022","C","UFA","BAL","MIL","1","$1,900,000","$1,900,000",""
"","Hunter Strickland","2022","RP","UFA","MIL","CIN","1","$1,825,000","$1,825,000",""
"","Daniel Norris","2022","RP","UFA","MIL","CHC","1","$1,750,000","$1,750,000",""
"","Steve Cishek","2022","RP","UFA","LAA","WSH","1","$1,750,000","$1,750,000",""
"","Kurt Suzuki","2022","C","UFA","LAA","LAA","1","$1,750,000","$1,750,000",""
"","Odubel Herrera","2022","CF","UFA","PHI","PHI","1","$1,750,000","$1,750,000",""
"","Hanser Alberto","2022","2B","UFA","KC","LAD","1","$1,600,000","$1,600,000",""
"","Clint Frazier","2022","OF","UFA","NYY","CHC","1","$1,500,000","$1,500,000",""
"","Ehire Adrianza","2022","SS","UFA","ATL","WSH","1","$1,500,000","$1,500,000",""
"","Sean Doolittle","2022","RP","UFA","SEA","WSH","1","$1,500,000","$1,500,000",""
"","Johan Camargo","2022","3B","UFA","ATL","PHI","1","$1,400,000","$1,400,000",""
"","Jhoulys Chacin","2022","SP","UFA","COL","COL","1","$1,250,000","$1,250,000",""
"","Nick Wittgren","2022","RP","UFA","CLE","STL","1","$1,200,000","$1,200,000",""
"","Dan Vogelbach","2022","1B","UFA","MIL","PIT","1","$1,000,000","$1,000,000",""
"","Alex Dickerson","2022","LF","UFA","SF","ATL","1","$1,000,000","$1,000,000",""
"","Colin Moran","2022","1B","UFA","PIT","CIN","1","$1,000,000","$1,000,000",""
"","Taylor Clarke","2022","RP","UFA","ARI","KC","1","$975,000","$975,000",""
"","Luke Maile","2022","C","UFA","MIL","CLE","1","$900,000","$900,000",""
"","Robinson Chirinos","2022","C","UFA","CHC","BAL","1","$900,000","$900,000",""
"","Tim Locastro","2022","OF","UFA","BOS","NYY","1","$900,000","$900,000",""
"","Jason Adam","2022","RP","UFA","CHC","TB","1","$900,000","$900,000",""
"","Jed Lowrie","2022","2B","UFA","OAK","OAK","1","$850,000","$850,000",""
"","Stephen Vogt","2022","C","UFA","ATL","OAK","1","$850,000","$850,000",""
"","John Curtiss","2022","RP","UFA","MIL","NYM","1","$770,000","$770,000",""
"","Jesse Chavez","2022","RP","UFA","ATL","CHC","1","$750,000","$750,000",""
"","Jimmy Nelson","2022","RP","UFA","LAD","LAD","1","$700,000","$700,000",""
"","Michael Hermosillo","2022","CF","UFA","CHC","CHC","1","$700,000","$700,000",""
"","Rougned Odor","2022","2B","UFA","NYY","BAL","1","$0","$0",""
"","Jake Marisnick","2022","CF","UFA","SD","PIT","0","$0","$0",""
"","Andrew Knapp","2022","C","UFA","CIN","PIT","0","$0","$0",""
"","Trevor Gott","2022","RP","UFA","SF","MIL","1","$0","$0",""
"","Andrew Vasquez","2022","RP","UFA","LAD","TOR","0","$0","$0",""
