Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Bryce Harper,2019,RF,UFA,WSH,PHI,13,"$330,000,000","$25,384,615"
2,Manny Machado,2019,3B,UFA,LAD,SD,10,"$300,000,000","$30,000,000"
3,Patrick Corbin,2019,SP,UFA,ARI,WSH,6,"$140,000,000","$23,333,333"
4,Nathan Eovaldi,2019,SP,UFA,BOS,BOS,4,"$68,000,000","$17,000,000"
5,A.J. Pollock,2019,LF,UFA,ARI,LAD,5,"$60,000,000","$12,000,000"
6,Andrew McCutchen,2019,RF,UFA,NYY,PHI,3,"$50,000,000","$16,666,667"
7,Craig Kimbrel,2019,RP,UFA,BOS,CHC,3,"$43,000,000","$14,333,333"
8,Zack Britton,2019,RP,UFA,NYY,NYY,3,"$39,000,000","$13,000,000"
9,J.A. Happ,2019,SP,UFA,NYY,NYY,2,"$34,000,000","$17,000,000"
10,Michael Brantley,2019,LF,UFA,CLE,HOU,2,"$32,000,000","$16,000,000"
11,Jeurys Familia,2019,RP,UFA,OAK,NYM,3,"$30,000,000","$10,000,000"
12,Charlie Morton,2019,SP,UFA,HOU,TB,2,"$30,000,000","$15,000,000"
13,Lance Lynn,2019,SP,UFA,NYY,TEX,3,"$30,000,000","$10,000,000"
14,Adam Ottavino,2019,RP,UFA,COL,NYY,3,"$27,000,000","$9,000,000"
15,Joe Kelly,2019,RP,UFA,BOS,LAD,3,"$25,000,000","$8,333,333"
16,Andrew Miller,2019,RP,UFA,CLE,STL,2,"$25,000,000","$12,500,000"
17,Daniel Murphy,2019,1B,UFA,CHC,COL,2,"$24,000,000","$12,000,000"
18,D.J. LeMahieu,2019,3B,UFA,COL,NYY,2,"$24,000,000","$12,000,000"
19,Josh Donaldson,2019,3B,UFA,CLE,ATL,1,"$23,000,000","$23,000,000"
20,David Robertson,2019,RP,UFA,NYY,PHI,2,"$23,000,000","$11,500,000"
21,Dallas Keuchel,2019,SP,UFA,HOU,ATL,1,"$21,210,000","$21,210,000"
22,Marwin Gonzalez,2019,3B,UFA,HOU,MIN,2,"$21,000,000","$10,500,000"
23,Jed Lowrie,2019,2B,UFA,OAK,NYM,2,"$20,000,000","$10,000,000"
24,Wilson Ramos,2019,C,UFA,PHI,NYM,2,"$19,000,000","$9,500,000"
25,Anibal Sanchez,2019,SP,UFA,ATL,WSH,2,"$19,000,000","$9,500,000"
26,Yasmani Grandal,2019,C,UFA,LAD,MIL,1,"$18,250,000","$18,250,000"
27,Kelvin Herrera,2019,RP,UFA,WSH,CHW,2,"$18,000,000","$9,000,000"
28,Garrett Richards,2019,SP,UFA,LAA,SD,2,"$15,500,000","$7,750,000"
29,Joakim Soria,2019,RP,UFA,MIL,OAK,2,"$15,000,000","$7,500,000"
30,Nelson Cruz,2019,DH,UFA,SEA,MIN,1,"$14,300,000","$14,300,000"
31,Michael Fiers,2019,SP,UFA,OAK,OAK,2,"$14,100,000","$7,050,000"
32,Matt Harvey,2019,SP,UFA,CIN,LAA,1,"$11,000,000","$11,000,000"
33,Justin Wilson,2019,RP,UFA,CHC,NYM,2,"$10,000,000","$5,000,000"
34,Kurt Suzuki,2019,C,UFA,ATL,WSH,2,"$10,000,000","$5,000,000"
35,Mike Moustakas,2019,3B,UFA,MIL,MIL,1,"$10,000,000","$10,000,000"
36,Brian Dozier,2019,2B,UFA,LAD,WSH,1,"$9,000,000","$9,000,000"
37,Trevor Cahill,2019,RP,UFA,OAK,LAA,1,"$9,000,000","$9,000,000"
38,Cody Allen,2019,RP,UFA,CLE,LAA,1,"$8,500,000","$8,500,000"
39,Ian Kinsler,2019,2B,UFA,BOS,SD,2,"$8,000,000","$4,000,000"
40,Jesse Chavez,2019,RP,UFA,CHC,TEX,2,"$8,000,000","$4,000,000"
41,Jonathan Schoop,2019,2B,UFA,MIL,MIN,1,"$7,500,000","$7,500,000"
42,Derek Holland,2019,RP,UFA,SF,SF,1,"$7,000,000","$7,000,000"
43,Nick Markakis,2019,RF,UFA,ATL,ATL,1,"$6,000,000","$6,000,000"
44,Tyson Ross,2019,SP,UFA,STL,DET,1,"$5,750,000","$5,750,000"
45,Robinson Chirinos,2019,C,UFA,TEX,HOU,1,"$5,750,000","$5,750,000"
46,Jordy Mercer,2019,SS,UFA,PIT,DET,1,"$5,250,000","$5,250,000"
47,Billy Hamilton,2019,CF,UFA,CIN,KC,1,"$5,250,000","$5,250,000"
48,Daniel Descalso,2019,2B,UFA,ARI,CHC,2,"$5,000,000","$2,500,000"
49,Freddy Galvis,2019,SS,UFA,SD,TOR,1,"$5,000,000","$5,000,000"
50,Wade Miley,2019,SP,UFA,MIL,HOU,1,"$4,500,000","$4,500,000"
51,Wilmer Flores,2019,1B,UFA,NYM,ARI,1,"$4,250,000","$4,250,000"
