Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
37,Carlos Villanueva,2013,RP,UFA,TOR,TOR,2,"$10,000,000","$5,000,000"
38,Stephen Drew,2013,2B,UFA,OAK,BOS,1,"$9,500,000","$9,500,000"
39,Joakim Soria,2013,RP,UFA,KC,TEX,2,"$8,000,000","$4,000,000"
40,Sean Burnett,2013,RP,UFA,WSH,LAA,2,"$8,000,000","$4,000,000"
41,Rod Barajas,2013,C,UFA,PIT,ARI,1,"$8,000,000","$8,000,000"
42,Randy Choate,2013,RP,UFA,LAD,STL,3,"$7,500,000","$2,500,000"
43,A.J. Pierzynski,2013,C,UFA,CHW,TEX,1,"$7,500,000","$7,500,000"
44,Jason Grilli,2013,RP,UFA,PIT,PIT,2,"$6,750,000","$3,375,000"
45,Joe Saunders,2013,SP,UFA,BAL,SEA,1,"$6,500,000","$6,500,000"
46,David Ross,2013,C,UFA,ATL,BOS,2,"$6,200,000","$3,100,000"
47,Joel Peralta,2013,RP,UFA,TB,TB,2,"$6,000,000","$3,000,000"
48,Scott Feldman,2013,SP,UFA,TEX,CHC,1,"$6,000,000","$6,000,000"
49,Tom Gorzelanny,2013,RP,UFA,WSH,MIL,2,"$5,700,000","$2,850,000"
50,Scott Baker,2013,SP,UFA,MIN,CHC,1,"$5,500,000","$5,500,000"
51,Scott Hairston,2013,RF,UFA,NYM,CHC,2,"$5,000,000","$2,500,000"
52,Ty Wigginton,2013,3B,UFA,PHI,STL,2,"$5,000,000","$2,500,000"
53,Mike Napoli,2013,1B,UFA,TEX,BOS,1,"$5,000,000","$5,000,000"
54,Koji Uehara,2013,RP,UFA,TEX,BOS,1,"$4,250,000","$4,250,000"
55,Mike Pelfrey,2013,RP,UFA,NYM,MIN,1,"$4,000,000","$4,000,000"
56,Jack Hannahan,2013,1B,UFA,CLE,CIN,2,"$4,000,000","$2,000,000"
57,Shaun Marcum,2013,SP,UFA,MIL,NYM,1,"$4,000,000","$4,000,000"
58,Ryan Madson,2013,RP,UFA,CIN,LAA,1,"$3,500,000","$3,500,000"
59,Roberto Hernandez,2013,RP,UFA,CLE,TB,1,"$3,250,000","$3,250,000"
60,Bartolo Colon,2013,SP,UFA,OAK,OAK,1,"$3,000,000","$3,000,000"
61,Gerald Laird,2013,C,UFA,DET,ATL,2,"$3,000,000","$1,500,000"
62,Eric Chavez,2013,3B,UFA,NYY,ARI,1,"$3,000,000","$3,000,000"
63,Jason Marquis,2013,SP,UFA,SD,SD,1,"$3,000,000","$3,000,000"
64,Carlos Pena,2013,1B,UFA,TB,HOU,1,"$2,900,000","$2,900,000"
65,J.P. Howell,2013,RP,UFA,TB,LAD,1,"$2,850,000","$2,850,000"
66,Matt Lindstrom,2013,RP,UFA,ARI,CHW,1,"$2,800,000","$2,800,000"
67,Geovany Soto,2013,C,UFA,TEX,TEX,1,"$2,750,000","$2,750,000"
68,Luke Scott,2013,DH,UFA,TB,TB,1,"$2,750,000","$2,750,000"
69,Raul Ibanez,2013,DH,UFA,NYY,SEA,1,"$2,750,000","$2,750,000"
70,Placido Polanco,2013,3B,UFA,PHI,MIA,1,"$2,750,000","$2,750,000"
71,John Lannan,2013,RP,UFA,WSH,PHI,1,"$2,500,000","$2,500,000"
72,Jeff Karstens,2013,SP,UFA,PIT,PIT,1,"$2,500,000","$2,500,000"
73,Kelly Johnson,2013,2B,UFA,TOR,TB,1,"$2,450,000","$2,450,000"
74,Roy Oswalt,2013,SP,UFA,TEX,COL,1,"$2,300,000","$2,300,000"
75,Nate Schierholtz,2013,RF,UFA,PHI,CHC,1,"$2,250,000","$2,250,000"
76,Mike Gonzalez,2013,RP,UFA,WSH,MIL,1,"$2,250,000","$2,250,000"
77,James Loney,2013,1B,UFA,BOS,TB,1,"$2,000,000","$2,000,000"
78,Chris Young,2013,RP,UFA,NYM,WSH,1,"$2,000,000","$2,000,000"
79,Andres Torres,2013,CF,UFA,NYM,SF,1,"$2,000,000","$2,000,000"
80,Travis Hafner,2013,DH,UFA,CLE,NYY,1,"$2,000,000","$2,000,000"
81,Nate McLouth,2013,LF,UFA,BAL,BAL,1,"$2,000,000","$2,000,000"
82,Jose Veras,2013,RP,UFA,MIL,HOU,1,"$1,850,000","$1,850,000"
83,Reed Johnson,2013,LF,UFA,ATL,ATL,1,"$1,750,000","$1,750,000"
84,Dioner Navarro,2013,C,UFA,CIN,CHC,1,"$1,750,000","$1,750,000"
85,Jeff Baker,2013,1B,UFA,ATL,TEX,1,"$1,750,000","$1,750,000"
86,Robert Andino,2013,CF,UFA,SEA,SEA,1,"$1,600,000","$1,600,000"
87,Chris Volstad,2013,RP,UFA,KC,COL,1,"$1,500,000","$1,500,000"
88,Jeff Francis,2013,SP,UFA,COL,COL,1,"$1,500,000","$1,500,000"
89,Kelly Shoppach,2013,C,UFA,NYM,SEA,1,"$1,500,000","$1,500,000"
90,Jason Frasor,2013,RP,UFA,TOR,TEX,1,"$1,500,000","$1,500,000"
91,Mark Lowe,2013,RP,UFA,LAD,LAA,1,"$1,500,000","$1,500,000"
92,Alex Gonzalez,2013,SS,UFA,MIL,MIL,1,"$1,450,000","$1,450,000"
93,Jonathan Sanchez,2013,SP,UFA,COL,PIT,1,"$1,375,000","$1,375,000"
94,Shawn Camp,2013,RP,UFA,CHC,CHC,1,"$1,350,000","$1,350,000"
95,Eric Hinske,2013,1B,UFA,ATL,ARI,1,"$1,350,000","$1,350,000"
96,Lyle Overbay,2013,1B,UFA,ATL,BOS,1,"$1,250,000","$1,250,000"
97,Brandon Inge,2013,3B,UFA,OAK,PIT,1,"$1,250,000","$1,250,000"
98,Derek Lowe,2013,SP,UFA,NYY,TEX,1,"$1,250,000","$1,250,000"
99,Kyle Farnsworth,2013,RP,UFA,TB,TB,1,"$1,250,000","$1,250,000"
100,Erik Bedard,2013,SP,UFA,PIT,HOU,1,"$1,150,000","$1,150,000"
101,Ronny Cedeno,2013,SS,UFA,NYM,STL,1,"$1,150,000","$1,150,000"
102,Chad Qualls,2013,RP,UFA,PIT,MIA,1,"$1,150,000","$1,150,000"
103,Chad Durbin,2013,RP,UFA,ATL,PHI,1,"$1,100,000","$1,100,000"
104,Miguel Tejada,2013,2B,UFA,BAL,KC,1,"$1,100,000","$1,100,000"
105,Kameron Loe,2013,RP,UFA,MIL,SEA,1,"$1,050,000","$1,050,000"
106,Jon Rauch,2013,RP,UFA,NYM,MIA,1,"$1,000,000","$1,000,000"
107,Rich Harden,2013,SP,UFA,OAK,MIN,1,"$1,000,000","$1,000,000"
108,Jason Bay,2013,RF,UFA,NYM,SEA,1,"$1,000,000","$1,000,000"
109,Brian Wilson,2013,RP,UFA,SF,LAD,1,"$1,000,000","$1,000,000"
110,Manny Parra,2013,RP,UFA,MIL,CIN,1,"$1,000,000","$1,000,000"
111,LaTroy Hawkins,2013,RP,UFA,LAA,NYM,1,"$1,000,000","$1,000,000"
112,Jamey Wright,2013,RP,UFA,LAD,TB,1,"$900,000","$900,000"
113,Yuniesky Betancourt,2013,1B,UFA,PHI,MIL,1,"$900,000","$900,000"
114,Don Kelly,2013,CF,UFA,DET,DET,1,"$900,000","$900,000"
115,Brayan Pena,2013,C,UFA,KC,DET,1,"$875,000","$875,000"
116,Cesar Izturis,2013,SS,UFA,WSH,CIN,1,"$800,000","$800,000"
117,Wil Nieves,2013,C,UFA,ARI,ARI,1,"$800,000","$800,000"
118,Mark Derosa,2013,3B,UFA,WSH,TOR,1,"$750,000","$750,000"
119,Kevin Slowey,2013,RP,UFA,CLE,MIA,1,"$750,000","$750,000"
120,Delmon Young,2013,LF,UFA,DET,PHI,1,"$750,000","$750,000"
121,Chad Gaudin,2013,SP,UFA,MIA,SF,1,"$750,000","$750,000"
122,Brandon Lyon,2013,RP,UFA,TOR,NYM,1,"$750,000","$750,000"
123,Marlon Byrd,2013,LF,UFA,BOS,NYM,1,"$700,000","$700,000"
124,Scott Atchison,2013,RP,UFA,BOS,NYM,1,"$700,000","$700,000"
125,Austin Kearns,2013,LF,UFA,MIA,MIA,1,"$700,000","$700,000"
126,Casey Kotchman,2013,1B,UFA,CLE,MIA,1,"$700,000","$700,000"
127,John Maine,2013,SP,UFA,BOS,MIA,1,"$625,000","$625,000"
128,Cody Ransom,2013,3B,UFA,ARI,SD,1,"$550,000","$550,000"
129,Eric Fryer,2013,C,UFA,PIT,MIN,1,"$515,000","$515,000"
130,Bill Hall,2013,3B,UFA,BAL,LAA,1,"$500,000","$500,000"
131,Jon Garland,2013,SP,UFA,SEA,COL,1,"$500,000","$500,000"
132,Juan Carlos Oviedo,2013,RP,UFA,MIA,TB,1,"$490,000","$490,000"
133,Rick Ankiel,2013,CF,UFA,HOU,NYM,1,$0,$0
134,Juan Oramas,2013,RP,UFA,SD,SD,1,$0,$0
135,Daniel Schlereth,2013,RP,UFA,DET,BAL,1,$0,$0
136,Jose Valverde,2013,RP,UFA,DET,MIA,1,$0,$0
137,Denis Phipps,2013,LF,UFA,CIN,CIN,1,$0,$0
138,Lester Oliveros,2013,RP,UFA,MIN,MIN,1,$0,$0
139,Dave Bush,2013,SP,UFA,PHI,TOR,1,$0,$0
140,Joel Pineiro,2013,SP,UFA,BAL,BAL,1,$0,$0
141,Jake Brigham,2013,RP,UFA,TEX,TEX,1,$0,$0
142,Brandon Snyder,2013,3B,UFA,TEX,TEX,1,$0,$0
143,Miguel Batista,2013,SP,UFA,ATL,COL,1,$0,$0
144,Aaron Cook,2013,SP,UFA,PHI,COL,1,$0,$0
145,Freddy Garcia,2013,SP,UFA,SD,BAL,1,$0,$0
146,Anthony Carter,2013,RP,UFA,CHW,BOS,1,$0,$0
147,Zach Duke,2013,RP,UFA,WSH,CIN,1,$0,$0
148,Derrick Robinson,2013,CF,UFA,KC,CIN,1,$0,$0
149,Ramon Ramirez,2013,RP,UFA,NYM,SF,1,$0,$0
150,Chris Snyder,2013,C,UFA,HOU,WSH,1,$0,$0
151,Ryan Langerhans,2013,LF,UFA,LAA,TOR,1,$0,$0
152,Mark Reynolds,2013,3B,UFA,CLE,NYY,1,$0,$0
153,Bill Bray,2013,RP,UFA,CIN,WSH,1,$0,$0
154,Jesus Flores,2013,C,UFA,WSH,LAD,1,$0,$0
155,Chien-Ming Wang,2013,RP,UFA,NYY,TOR,1,$0,$0
156,Yoshinori Tateyama,2013,RP,UFA,TEX,TEX,1,$0,$0
157,Francisco Rodriguez,2013,RP,UFA,MIL,MIL,1,$0,$0
158,Henry Blanco,2013,C,UFA,TOR,SEA,1,$0,$0
159,Xavier Nady,2013,1B,UFA,SF,KC,1,$0,$0
160,Emmanuel Burriss,2013,SS,UFA,SF,CIN,1,$0,$0
161,Hideki Okajima,2013,RP,UFA,NYY,OAK,1,$0,$0
162,Rob Johnson,2013,C,UFA,NYM,STL,1,$0,$0
163,Dontrelle Willis,2013,SP,UFA,BAL,CHC,1,$0,$0
164,Matt Downs,2013,3B,UFA,HOU,MIA,1,$0,$0
165,Tim Byrdak,2013,RP,UFA,NYM,NYM,1,$0,$0
166,Dan Johnson,2013,1B,UFA,CHW,NYY,1,$0,$0
167,Endy Chavez,2013,LF,UFA,BAL,SEA,1,$0,$0
168,Ronny Paulino,2013,C,UFA,BAL,SEA,1,$0,$0
169,Juan Abreu,2013,RP,UFA,TOR,LAD,1,$0,$0
170,Wilson Valdez,2013,2B,UFA,SF,MIA,0,$0,$0
171,Luke Carlin,2013,C,UFA,CLE,LAA,1,$0,$0
172,Sergio Escalona,2013,RP,UFA,HOU,HOU,1,$0,$0
173,Rafael Perez,2013,RP,UFA,CLE,MIN,1,$0,$0
174,Jason Bourgeois,2013,LF,UFA,KC,TB,1,$0,$0
175,Jim Hoey,2013,RP,UFA,TOR,MIL,1,$0,$0
176,Ross Ohlendorf,2013,RP,UFA,SD,WSH,1,$0,$0
177,Peter Moylan,2013,RP,UFA,ATL,LAD,1,$0,$0
178,Carlos Zambrano,2013,SP,UFA,MIA,PHI,1,$0,$0
179,Mike Zagurski,2013,RP,UFA,ARI,PIT,1,$0,$0
180,Clay Hensley,2013,RP,UFA,SF,CIN,1,$0,$0
181,Alfredo Amezaga,2013,CF,UFA,CHC,LAD,1,$0,$0
182,Jose Contreras,2013,SP,UFA,PHI,PIT,1,$0,$0
183,Luis Rodriguez,2013,SS,UFA,SEA,LAA,1,$0,$0
184,Joe Mather,2013,CF,UFA,CHC,PHI,1,$0,$0
185,Micah Owings,2013,SP,UFA,SD,WSH,1,$0,$0
186,J.C. Boscan,2013,C,UFA,ATL,CHC,1,$0,$0
187,Jose Valdez,2013,RP,UFA,HOU,HOU,1,$0,$0
188,Fernando Abad,2013,RP,UFA,HOU,WSH,1,$0,$0
189,Zach Phillips,2013,RP,UFA,BAL,MIA,1,$0,$0
190,Brian Bogusevic,2013,RF,UFA,HOU,CHC,1,$0,$0
191,Chone Figgins,2013,3B,UFA,SEA,MIA,1,$0,$0
192,Steve Tolleson,2013,SS,UFA,BAL,CHW,1,$0,$0
193,Kyle McClellan,2013,RP,UFA,STL,TEX,1,$0,$0
194,Brandon Wood,2013,SS,UFA,COL,KC,1,$0,$0
195,Collin Balester,2013,RP,UFA,DET,TEX,1,$0,$0
196,Mike Hessman,2013,3B,UFA,HOU,CIN,1,$0,$0
197,George Sherrill,2013,RP,UFA,SEA,KC,1,$0,$0
198,J.R. Towles,2013,C,UFA,MIN,STL,1,$0,$0
199,Michael Nickeas,2013,C,UFA,NYM,NYM,1,$0,$0
200,Miguel Olivo,2013,C,UFA,SEA,CIN,1,$0,$0
201,Kila Ka'aihue,2013,1B,UFA,OAK,ARI,1,$0,$0
202,Jeff Clement,2013,1B,UFA,PIT,MIN,1,$0,$0
203,Justin Christian,2013,CF,UFA,SF,STL,1,$0,$0
204,Bryan Anderson,2013,C,UFA,STL,CHW,1,$0,$0
205,Ryan Garko,2013,1B,UFA,TB,COL,1,$0,$0
206,Ramon Troncoso,2013,RP,UFA,LAD,CHW,1,$0,$0
207,Will Rhymes,2013,2B,UFA,TB,WSH,1,$0,$0
208,Jack Cust,2013,DH,UFA,TOR,TB,1,$0,$0
209,Corey Patterson,2013,RF,UFA,MIL,NYM,1,$0,$0
210,J.C. Romero,2013,RP,UFA,BAL,WSH,1,$0,$0
211,Scott Moore,2013,3B,UFA,HOU,OAK,1,$0,$0
212,Brad Hawpe,2013,RF,UFA,TEX,PIT,1,$0,$0
213,Andrew Brown,2013,LF,UFA,COL,NYM,1,$0,$0
