Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Zack Greinke,2013,SP,UFA,LAA,LAD,6,"$147,000,000","$24,500,000"
2,Josh Hamilton,2013,LF,UFA,TEX,LAA,5,"$125,000,000","$25,000,000"
3,Anibal Sanchez,2013,SP,UFA,DET,DET,5,"$80,000,000","$16,000,000"
4,Melvin Upton,2013,LF,UFA,TB,ATL,5,"$72,500,000","$14,500,000"
5,Edwin Jackson,2013,SP,UFA,WSH,CHC,4,"$52,000,000","$13,000,000"
6,Angel Pagan,2013,LF,UFA,SF,SF,4,"$40,000,000","$10,000,000"
7,Shane Victorino,2013,RF,UFA,LAD,BOS,3,"$39,000,000","$13,000,000"
8,Kyle Lohse,2013,SP,UFA,STL,MIL,3,"$33,000,000","$11,000,000"
9,David Ortiz,2013,DH,UFA,BOS,BOS,2,"$29,000,000","$14,500,000"
10,Rafael Soriano,2013,RP,UFA,NYY,WSH,2,"$28,000,000","$14,000,000"
11,Ryan Dempster,2013,SP,UFA,TEX,BOS,2,"$26,500,000","$13,250,000"
12,Cody Ross,2013,RF,UFA,BOS,ARI,3,"$26,000,000","$8,666,667"
13,Torii Hunter,2013,RF,UFA,LAA,DET,2,"$26,000,000","$13,000,000"
14,Jeremy Guthrie,2013,SP,UFA,KC,KC,3,"$25,000,000","$8,333,333"
15,Adam LaRoche,2013,DH,UFA,WSH,WSH,2,"$24,000,000","$12,000,000"
16,Jonathan Broxton,2013,RP,UFA,CIN,CIN,3,"$21,000,000","$7,000,000"
17,Marco Scutaro,2013,2B,UFA,SF,SF,3,"$20,000,000","$6,666,667"
18,Jeremy Affeldt,2013,RP,UFA,SF,SF,3,"$18,000,000","$6,000,000"
19,Russell Martin,2013,C,UFA,NYY,PIT,2,"$17,000,000","$8,500,000"
20,Melky Cabrera,2013,LF,UFA,SF,TOR,2,"$16,000,000","$8,000,000"
21,Brandon McCarthy,2013,SP,UFA,OAK,ARI,2,"$15,500,000","$7,750,000"
22,Joe Blanton,2013,RP,UFA,LAD,LAA,2,"$15,000,000","$7,500,000"
23,Hiroki Kuroda,2013,SP,UFA,NYY,NYY,1,"$15,000,000","$15,000,000"
24,Ryan Ludwick,2013,LF,UFA,CIN,CIN,2,"$15,000,000","$7,500,000"
25,Hisashi Iwakuma,2013,SP,UFA,SEA,SEA,2,"$14,000,000","$7,000,000"
26,Ichiro Suzuki,2013,LF,UFA,NYY,NYY,2,"$13,000,000","$6,500,000"
27,Dan Haren,2013,SP,UFA,LAA,WSH,1,"$13,000,000","$13,000,000"
28,Kevin Youkilis,2013,3B,UFA,CHW,NYY,1,"$12,000,000","$12,000,000"
29,Mike Adams,2013,RP,UFA,TEX,PHI,2,"$12,000,000","$6,000,000"
30,Jeff Keppinger,2013,3B,UFA,TB,CHW,3,"$12,000,000","$4,000,000"
31,Andy Pettitte,2013,SP,UFA,NYY,NYY,1,"$12,000,000","$12,000,000"
32,Lance Berkman,2013,DH,UFA,STL,TEX,1,"$11,000,000","$11,000,000"
33,Mariano Rivera,2013,RP,UFA,NYY,NYY,1,"$10,000,000","$10,000,000"
34,Jonny Gomes,2013,LF,UFA,OAK,BOS,2,"$10,000,000","$5,000,000"
35,Maicer Izturis,2013,2B,UFA,LAA,TOR,3,"$10,000,000","$3,333,333"
36,Kevin Correia,2013,SP,UFA,PIT,MIN,2,"$10,000,000","$5,000,000"
