Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Albert Pujols,2012,DH,UFA,STL,LAA,10,"$240,000,000","$24,000,000"
2,Prince Fielder,2012,DH,UFA,MIL,DET,9,"$214,000,000","$23,777,778"
3,Jose Reyes,2012,SS,UFA,NYM,MIA,6,"$106,000,000","$17,666,667"
4,C.J. Wilson,2012,SP,UFA,TEX,LAA,5,"$77,500,000","$15,500,000"
5,Mark Buehrle,2012,SP,UFA,CHW,MIA,4,"$58,000,000","$14,500,000"
6,Jonathan Papelbon,2012,RP,UFA,BOS,PHI,4,"$50,000,000","$12,500,000"
7,Aramis Ramirez,2012,3B,UFA,CHC,MIL,3,"$36,000,000","$12,000,000"
8,Michael Cuddyer,2012,LF,UFA,MIN,COL,3,"$31,500,000","$10,500,000"
9,Heath Bell,2012,RP,UFA,SD,MIA,3,"$27,000,000","$9,000,000"
10,Carlos Beltran,2012,DH,UFA,SF,STL,2,"$26,000,000","$13,000,000"
11,Josh Willingham,2012,LF,UFA,OAK,MIN,3,"$21,000,000","$7,000,000"
12,Coco Crisp,2012,CF,UFA,OAK,OAK,2,"$14,000,000","$7,000,000"
13,Rafael Furcal,2012,SS,UFA,STL,STL,2,"$14,000,000","$7,000,000"
14,Joe Nathan,2012,RP,UFA,MIN,TEX,2,"$14,000,000","$7,000,000"
15,Aaron Harang,2012,SP,UFA,SD,LAD,2,"$12,000,000","$6,000,000"
16,Frank Francisco,2012,RP,UFA,TOR,NYM,2,"$12,000,000","$6,000,000"
17,Aaron Hill,2012,3B,UFA,ARI,ARI,2,"$11,000,000","$5,500,000"
18,Edwin Jackson,2012,SP,UFA,STL,WSH,1,"$11,000,000","$11,000,000"
19,Clint Barmes,2012,SS,UFA,HOU,PIT,2,"$10,500,000","$5,250,000"
20,Chris Capuano,2012,RP,UFA,NYM,LAD,2,"$10,000,000","$5,000,000"
21,David DeJesus,2012,LF,UFA,OAK,CHC,2,"$10,000,000","$5,000,000"
22,Mark Ellis,2012,2B,UFA,COL,LAD,2,"$8,750,000","$4,375,000"
23,Omar Infante,2012,2B,UFA,MIA,MIA,2,"$8,000,000","$4,000,000"
24,Carlos Pena,2012,1B,UFA,CHC,TB,1,"$7,250,000","$7,250,000"
25,Jamey Carroll,2012,2B,UFA,LAD,MIN,2,"$6,500,000","$3,250,000"
26,Ramon Hernandez,2012,C,UFA,CIN,COL,2,"$6,400,000","$3,200,000"
27,Jerry Hairston Jr.,2012,LF,UFA,MIL,LAD,2,"$6,000,000","$3,000,000"
28,Luke Scott,2012,DH,UFA,BAL,TB,1,"$6,000,000","$6,000,000"
29,Roy Oswalt,2012,SP,UFA,PHI,TEX,1,"$5,000,000","$5,000,000"
30,Matt Capps,2012,RP,UFA,MIN,MIN,1,"$4,500,000","$4,500,000"
31,Juan Rivera,2012,LF,UFA,LAD,LAD,1,"$4,500,000","$4,500,000"
32,Alex Gonzalez,2012,SS,UFA,ATL,MIL,1,"$4,250,000","$4,250,000"
33,Freddy Garcia,2012,SP,UFA,NYY,NYY,1,"$4,000,000","$4,000,000"
34,Ramon Santiago,2012,2B,UFA,DET,DET,2,"$4,000,000","$2,000,000"
35,Jonathan Broxton,2012,RP,UFA,LAD,KC,1,"$4,000,000","$4,000,000"
36,Rod Barajas,2012,C,UFA,LAD,PIT,1,"$4,000,000","$4,000,000"
37,Chien-Ming Wang,2012,RP,UFA,WSH,WSH,1,"$4,000,000","$4,000,000"
38,Willie Bloomquist,2012,2B,UFA,ARI,ARI,2,"$3,800,000","$1,900,000"
39,Jon Rauch,2012,RP,UFA,TOR,NYM,1,"$3,500,000","$3,500,000"
40,Ryan Theriot,2012,2B,UFA,STL,SF,1,"$3,300,000","$3,300,000"
41,Wilson Betemit,2012,3B,UFA,DET,BAL,2,"$3,250,000","$1,625,000"
42,Ryan Ludwick,2012,LF,UFA,PIT,CIN,1,"$3,000,000","$3,000,000"
43,Kerry Wood,2012,RP,UFA,CHC,CHC,1,"$3,000,000","$3,000,000"
44,Cody Ross,2012,RF,UFA,SF,BOS,1,"$3,000,000","$3,000,000"
45,Greg Dobbs,2012,1B,UFA,MIA,MIA,2,"$3,000,000","$1,500,000"
46,Octavio Dotel,2012,RP,UFA,STL,DET,1,"$3,000,000","$3,000,000"
47,LaTroy Hawkins,2012,RP,UFA,MIL,LAA,1,"$3,000,000","$3,000,000"
48,Laynce Nix,2012,RF,UFA,WSH,PHI,2,"$2,500,000","$1,250,000"
49,Casey Blake,2012,3B,UFA,COL,COL,1,"$2,000,000","$2,000,000"
50,Andruw Jones,2012,LF,UFA,NYY,NYY,1,"$2,000,000","$2,000,000"
51,Jose Molina,2012,C,UFA,TOR,TB,1,"$1,800,000","$1,800,000"
52,Takashi Saito,2012,RP,UFA,MIL,ARI,1,"$1,750,000","$1,750,000"
53,Joel Pineiro,2012,SP,UFA,LAA,PHI,1,"$1,500,000","$1,500,000"
54,Aaron Cook,2012,SP,UFA,COL,BOS,1,"$1,500,000","$1,500,000"
55,Endy Chavez,2012,LF,UFA,TEX,BAL,1,"$1,500,000","$1,500,000"
56,Vincent Padilla,2012,RP,UFA,LAD,BOS,1,"$1,500,000","$1,500,000"
57,Todd Coffey,2012,RP,UFA,WSH,LAD,1,"$1,300,000","$1,300,000"
