Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,David Price,2016,SP,UFA,TOR,BOS,7,"$217,000,000","$31,000,000"
2,Zack Greinke,2016,SP,UFA,LAD,ARI,6,"$206,500,000","$34,416,667"
3,Jason Heyward,2016,RF,UFA,STL,CHC,8,"$184,000,000","$23,000,000"
4,Chris Davis,2016,1B,UFA,BAL,BAL,7,"$161,000,000","$23,000,000"
5,Justin Upton,2016,LF,UFA,SD,DET,6,"$132,750,000","$22,125,000"
6,Johnny Cueto,2016,SP,UFA,KC,SF,6,"$130,000,000","$21,666,667"
7,Jordan Zimmermann,2016,SP,UFA,WSH,DET,5,"$110,000,000","$22,000,000"
8,Jeff Samardzija,2016,SP,UFA,CHW,SF,5,"$90,000,000","$18,000,000"
9,Mike Leake,2016,SP,UFA,SF,STL,5,"$80,000,000","$16,000,000"
10,Wei-Yin Chen,2016,RP,UFA,BAL,MIA,5,"$80,000,000","$16,000,000"
11,Alex Gordon,2016,OF,UFA,KC,KC,4,"$72,000,000","$18,000,000"
12,Ian Kennedy,2016,RP,UFA,SD,KC,5,"$70,000,000","$14,000,000"
13,Ben Zobrist,2016,2B,UFA,KC,CHC,4,"$56,000,000","$14,000,000"
14,Scott Kazmir,2016,SP,UFA,HOU,LAD,3,"$48,000,000","$16,000,000"
15,Daniel Murphy,2016,1B,UFA,NYM,WSH,3,"$37,500,000","$12,500,000"
16,J.A. Happ,2016,SP,UFA,PIT,TOR,3,"$36,000,000","$12,000,000"
17,John Lackey,2016,SP,UFA,STL,CHC,2,"$32,000,000","$16,000,000"
18,Denard Span,2016,LF,UFA,WSH,SF,3,"$31,000,000","$10,333,333"
19,Darren O'Day,2016,RP,UFA,BAL,BAL,4,"$31,000,000","$7,750,000"
20,Gerardo Parra,2016,RF,UFA,BAL,COL,3,"$27,500,000","$9,166,667"
21,Marco Estrada,2016,SP,UFA,TOR,TOR,2,"$26,000,000","$13,000,000"
22,Joakim Soria,2016,RP,UFA,PIT,KC,3,"$25,000,000","$8,333,333"
23,Yovani Gallardo,2016,SP,UFA,TEX,BAL,2,"$22,000,000","$11,000,000"
24,Ryan Madson,2016,RP,UFA,KC,OAK,3,"$22,000,000","$7,333,333"
25,Howie Kendrick,2016,2B,UFA,LAD,LAD,2,"$20,000,000","$10,000,000"
26,Asdrubal Cabrera,2016,2B,UFA,TB,NYM,2,"$18,500,000","$9,250,000"
27,Tony Sipp,2016,RP,UFA,HOU,HOU,3,"$18,000,000","$6,000,000"
28,Mike Pelfrey,2016,RP,UFA,MIN,DET,2,"$16,000,000","$8,000,000"
29,Shawn Kelley,2016,RP,UFA,SD,WSH,3,"$15,000,000","$5,000,000"
