Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Robinson Cano,2014,2B,UFA,NYY,SEA,10,"$240,000,000","$24,000,000"
2,Jacoby Ellsbury,2014,CF,UFA,BOS,NYY,7,"$153,000,000","$21,857,143"
3,Shin-Soo Choo,2014,DH,UFA,CIN,TEX,7,"$130,000,000","$18,571,429"
4,Brian McCann,2014,C,UFA,ATL,NYY,5,"$85,000,000","$17,000,000"
5,Curtis Granderson,2014,LF,UFA,NYY,NYM,4,"$60,000,000","$15,000,000"
6,Jhonny Peralta,2014,3B,UFA,DET,STL,4,"$53,000,000","$13,250,000"
7,Matt Garza,2014,SP,UFA,TEX,MIL,4,"$50,000,000","$12,500,000"
8,Ricky Nolasco,2014,SP,UFA,LAD,MIN,4,"$49,000,000","$12,250,000"
9,Carlos Beltran,2014,DH,UFA,STL,NYY,3,"$45,000,000","$15,000,000"
10,Jason Vargas,2014,SP,UFA,LAA,KC,4,"$32,000,000","$8,000,000"
11,Mike Napoli,2014,1B,UFA,BOS,BOS,2,"$32,000,000","$16,000,000"
12,Omar Infante,2014,2B,UFA,DET,KC,4,"$30,250,000","$7,562,500"
13,Scott Feldman,2014,SP,UFA,BAL,HOU,3,"$30,000,000","$10,000,000"
14,Tim Hudson,2014,SP,UFA,ATL,ATL,3,"$28,000,000","$9,333,333"
15,Carlos Ruiz,2014,C,UFA,PHI,PHI,3,"$26,000,000","$8,666,667"
16,Phil Hughes,2014,RP,UFA,NYY,MIN,3,"$24,000,000","$8,000,000"
17,Bronson Arroyo,2014,SP,UFA,CIN,ARI,2,"$23,500,000","$11,750,000"
18,Scott Kazmir,2014,SP,UFA,CLE,OAK,2,"$22,000,000","$11,000,000"
19,Jarrod Saltalamacchia,2014,C,UFA,BOS,MIA,3,"$21,000,000","$7,000,000"
20,James Loney,2014,1B,UFA,TB,TB,3,"$21,000,000","$7,000,000"
21,Joe Nathan,2014,RP,UFA,TEX,DET,2,"$20,000,000","$10,000,000"
22,Bartolo Colon,2014,SP,UFA,OAK,NYM,2,"$20,000,000","$10,000,000"
23,Brian Wilson,2014,RP,UFA,LAD,LAD,2,"$19,000,000","$9,500,000"
24,Boone Logan,2014,RP,UFA,NYY,COL,3,"$16,500,000","$5,500,000"
25,Marlon Byrd,2014,LF,UFA,PIT,PHI,2,"$16,000,000","$8,000,000"
26,Hiroki Kuroda,2014,SP,UFA,NYY,NYY,1,"$16,000,000","$16,000,000"
27,A.J. Burnett,2014,SP,UFA,PIT,PHI,1,"$16,000,000","$16,000,000"
28,Joe Smith,2014,RP,UFA,CLE,LAA,3,"$15,750,000","$5,250,000"
