Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Eric Hosmer,2018,1B,UFA,KC,SD,8,"$144,000,000","$18,000,000"
2,Yu Darvish,2018,SP,UFA,LAD,CHC,6,"$126,000,000","$21,000,000"
3,J.D. Martinez,2018,DH,UFA,ARI,BOS,5,"$110,000,000","$22,000,000"
4,Lorenzo Cain,2018,CF,UFA,KC,MIL,5,"$80,000,000","$16,000,000"
5,Jake Arrieta,2018,SP,UFA,CHC,PHI,3,"$75,000,000","$25,000,000"
6,Carlos Santana,2018,1B,UFA,CLE,PHI,3,"$60,000,000","$20,000,000"
7,Alex Cobb,2018,SP,UFA,TB,BAL,4,"$57,000,000","$14,250,000"
8,Wade Davis,2018,RP,UFA,CHC,COL,3,"$52,000,000","$17,333,333"
9,Jay Bruce,2018,RF,UFA,CLE,NYM,3,"$39,000,000","$13,000,000"
10,Zack Cozart,2018,3B,UFA,CIN,LAA,3,"$38,000,000","$12,666,667"
11,Tyler Chatwood,2018,RP,UFA,COL,CHC,3,"$38,000,000","$12,666,667"
12,Mike Minor,2018,SP,UFA,KC,TEX,3,"$28,000,000","$9,333,333"
13,Jake McGee,2018,RP,UFA,COL,COL,3,"$27,000,000","$9,000,000"
14,Bryan Shaw,2018,RP,UFA,CLE,COL,3,"$27,000,000","$9,000,000"
15,Brandon Morrow,2018,RP,UFA,LAD,CHC,2,"$21,000,000","$10,500,000"
16,Tommy Hunter,2018,RP,UFA,TB,PHI,2,"$18,000,000","$9,000,000"
17,Juan Nicasio,2018,RP,UFA,STL,SEA,2,"$17,000,000","$8,500,000"
18,Todd Frazier,2018,3B,UFA,NYY,NYM,2,"$17,000,000","$8,500,000"
19,Addison Reed,2018,RP,UFA,BOS,MIN,2,"$16,750,000","$8,375,000"
20,Pat Neshek,2018,RP,UFA,COL,PHI,2,"$16,200,000","$8,100,000"
21,Andrew Cashner,2018,RP,UFA,TEX,BAL,2,"$16,000,000","$8,000,000"
22,Jason Vargas,2018,SP,UFA,KC,NYM,2,"$16,000,000","$8,000,000"
23,Jhoulys Chacin,2018,SP,UFA,SD,MIL,2,"$15,500,000","$7,750,000"
24,Joe Smith,2018,RP,UFA,CLE,HOU,2,"$15,000,000","$7,500,000"
25,Welington Castillo,2018,C,UFA,BAL,CHW,2,"$15,000,000","$7,500,000"
26,Greg Holland,2018,RP,UFA,COL,STL,1,"$14,000,000","$14,000,000"
27,Anthony Swarzak,2018,RP,UFA,MIL,NYM,2,"$14,000,000","$7,000,000"
28,Steve Cishek,2018,RP,UFA,SEA,CHC,2,"$13,000,000","$6,500,000"
29,Mitch Moreland,2018,1B,UFA,BOS,BOS,2,"$13,000,000","$6,500,000"
30,Lance Lynn,2018,SP,UFA,STL,MIN,1,"$12,000,000","$12,000,000"
31,Luke Gregerson,2018,RP,UFA,HOU,STL,2,"$11,000,000","$5,500,000"
32,Yusmeiro Petit,2018,RP,UFA,LAA,OAK,2,"$10,000,000","$5,000,000"
33,Michael Pineda,2018,SP,UFA,NYY,MIN,2,"$10,000,000","$5,000,000"
34,C.C. Sabathia,2018,SP,UFA,NYY,NYY,1,"$10,000,000","$10,000,000"
35,Jaime Garcia,2018,RP,UFA,NYY,TOR,1,"$10,000,000","$10,000,000"
36,Brandon Kintzler,2018,RP,UFA,WSH,WSH,2,"$10,000,000","$5,000,000"
37,Drew Smyly,2018,SP,UFA,SEA,CHC,2,"$10,000,000","$5,000,000"
38,Tony Watson,2018,RP,UFA,LAD,SF,3,"$9,000,000","$3,000,000"
39,Hector Rondon,2018,RP,UFA,CHC,HOU,2,"$8,500,000","$4,250,000"
40,Chris Iannetta,2018,C,UFA,ARI,COL,2,"$8,500,000","$4,250,000"
41,Alex Avila,2018,C,UFA,CHC,ARI,2,"$8,250,000","$4,125,000"
42,Carlos Gonzalez,2018,RF,UFA,COL,COL,1,"$8,000,000","$8,000,000"
43,Eduardo Nunez,2018,3B,UFA,BOS,BOS,2,"$8,000,000","$4,000,000"
44,Jarrod Dyson,2018,CF,UFA,SEA,ARI,2,"$7,500,000","$3,750,000"
45,Howie Kendrick,2018,2B,UFA,WSH,WSH,2,"$7,000,000","$3,500,000"
46,Brian Duensing,2018,RP,UFA,CHC,CHC,2,"$7,000,000","$3,500,000"
47,Logan Morrison,2018,DH,UFA,TB,MIN,1,"$6,500,000","$6,500,000"
48,Jonathan Lucroy,2018,C,UFA,COL,OAK,1,"$6,500,000","$6,500,000"
49,Mike Moustakas,2018,3B,UFA,KC,KC,1,"$6,500,000","$6,500,000"
50,Michael Fiers,2018,SP,UFA,HOU,DET,1,"$6,000,000","$6,000,000"
51,Matt Albers,2018,RP,UFA,WSH,MIL,2,"$5,000,000","$2,500,000"
52,David Hernandez,2018,RP,UFA,ARI,CIN,2,"$5,000,000","$2,500,000"
53,Curtis Granderson,2018,LF,UFA,LAD,TOR,1,"$5,000,000","$5,000,000"
54,Miguel Gonzalez,2018,SP,UFA,TEX,CHW,1,"$4,750,000","$4,750,000"
55,Jared Hughes,2018,RP,UFA,MIL,CIN,2,"$4,500,000","$2,250,000"
56,Fernando Rodney,2018,RP,UFA,ARI,MIN,1,"$4,500,000","$4,500,000"
57,Craig Stammen,2018,RP,UFA,SD,SD,2,"$4,500,000","$2,250,000"
58,Matt Adams,2018,1B,UFA,ATL,WSH,1,"$4,000,000","$4,000,000"
59,Francisco Liriano,2018,RP,UFA,HOU,DET,1,"$4,000,000","$4,000,000"
60,Doug Fister,2018,SP,UFA,BOS,TEX,1,"$4,000,000","$4,000,000"
61,Neil Walker,2018,2B,UFA,MIL,NYY,1,"$4,000,000","$4,000,000"
62,Carlos Gomez,2018,RF,UFA,TEX,TB,1,"$4,000,000","$4,000,000"
63,Lucas Duda,2018,1B,UFA,TB,KC,1,"$3,500,000","$3,500,000"
64,Cameron Maybin,2018,RF,UFA,HOU,MIA,1,"$3,250,000","$3,250,000"
65,Bud Norris,2018,RP,UFA,LAA,STL,1,"$3,000,000","$3,000,000"
66,Rene Rivera,2018,C,UFA,CHC,LAA,1,"$2,800,000","$2,800,000"
67,Nick Hundley,2018,C,UFA,SF,SF,1,"$2,500,000","$2,500,000"
68,Boone Logan,2018,RP,UFA,CLE,MIL,1,"$2,500,000","$2,500,000"
69,Sergio Romo,2018,RP,UFA,TB,TB,1,"$2,500,000","$2,500,000"
70,Alcides Escobar,2018,SS,UFA,KC,KC,1,"$2,500,000","$2,500,000"
71,Anibal Sanchez,2018,SP,UFA,DET,MIN,1,"$2,500,000","$2,500,000"
72,Chase Utley,2018,2B,UFA,LAD,LAD,2,"$2,000,000","$1,000,000"
73,Chris Young,2018,RF,UFA,BOS,LAA,1,"$2,000,000","$2,000,000"
74,Seung-Hwan Oh,2018,RP,UFA,STL,TOR,1,"$2,000,000","$2,000,000"
75,Jose Reyes,2018,SS,UFA,NYM,NYM,1,"$2,000,000","$2,000,000"
76,Tom Koehler,2018,RP,UFA,TOR,LAD,1,"$2,000,000","$2,000,000"
77,Leonys Martin,2018,CF,UFA,CHC,DET,1,"$1,750,000","$1,750,000"
78,Wily Peralta,2018,RP,UFA,MIL,KC,1,"$1,525,000","$1,525,000"
79,Clay Buchholz,2018,SP,UFA,PHI,KC,1,"$1,500,000","$1,500,000"
80,Tony Barnette,2018,RP,UFA,TEX,TEX,1,"$1,500,000","$1,500,000"
81,Jesse Chavez,2018,RP,UFA,LAA,TEX,1,"$1,500,000","$1,500,000"
82,Trevor Cahill,2018,RP,UFA,KC,OAK,1,"$1,500,000","$1,500,000"
83,Miguel Montero,2018,C,UFA,TOR,WSH,1,"$1,300,000","$1,300,000"
84,Justin Grimm,2018,RP,UFA,CHC,KC,1,"$1,250,000","$1,250,000"
85,Jordan Lyles,2018,SP,UFA,SD,SD,1,"$1,000,000","$1,000,000"
86,Peter Bourjos,2018,RF,UFA,CHC,ATL,1,"$1,000,000","$1,000,000"
87,Joaquin Benoit,2018,RP,UFA,PIT,WSH,1,"$1,000,000","$1,000,000"
88,Ichiro Suzuki,2018,LF,UFA,MIA,SEA,1,"$750,000","$750,000"
89,Yovani Gallardo,2018,SP,UFA,MIL,CIN,1,"$750,000","$750,000"
90,Ryan Flaherty,2018,3B,UFA,PHI,ATL,1,"$750,000","$750,000"
91,Dan Jennings,2018,RP,UFA,TB,MIL,1,"$750,000","$750,000"
92,Peter Moylan,2018,RP,UFA,KC,ATL,1,"$575,000","$575,000"
93,Chris Stewart,2018,C,UFA,PIT,ATL,1,"$575,000","$575,000"
94,Austin Jackson,2018,CF,UFA,TEX,NYM,1,"$545,000","$545,000"
95,Adrian Gonzalez,2018,1B,UFA,ATL,NYM,1,"$545,000","$545,000"
96,Dario Alvarez,2018,RP,UFA,TEX,CHC,1,"$545,000","$545,000"
97,Jose Bautista,2018,RF,UFA,ATL,NYM,1,"$545,000","$545,000"
98,Jayson Werth,2018,LF,UFA,WSH,SEA,0,$0,$0
