"RANK","PLAYER (585)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"T44","Mark Melancon","RP","37.3","11.098","R/R","SD","ARI","2","$14,000,000","$7,000,000",""
"T44","Ryan Tepera","RP","34.8","6.008","R/R","CHW","LAA","2","$14,000,000","$7,000,000",""
"T46","Zack Greinke","SP/SP2","38.8","17.057","R/R","HOU","KC","1","$13,000,000","$13,000,000",""
"T46","Yan Gomes","C","35.1","9.083","R/R","OAK","CHC","2","$13,000,000","$6,500,000",""
"T46","Andrew Chafin","RP/CL","32.2","7.020","R/L","OAK","DET","2","$13,000,000","$6,500,000",""
"49","Yimi Garcia","RP/SU7","32.0","6.149","R/R","HOU","TOR","2","$11,000,000","$5,500,000",""
"T50","Corey Knebel","RP","30.8","6.151","R/R","LAD","PHI","1","$10,000,000","$10,000,000",""
"T50","Collin McHugh","RP","35.2","7.085","R/R","TB","ATL","2","$10,000,000","$5,000,000",""
"T50","James Paxton","SP/SP2","33.8","7.151","L/L","SEA","BOS","1","$10,000,000","$10,000,000",""
"T50","Brad Miller","LF/2B","32.8","8.004","L/R","PHI","TEX","2","$10,000,000","$5,000,000",""
"T50","Brooks Raley","RP/SU7","34.1","2.045","L/L","HOU","TB","2","$10,000,000","$5,000,000",""
"T55","Andrew Heaney","SP/SP4","31.2","6.150","L/L","NYY","LAD","1","$8,500,000","$8,500,000",""
"T55","Andrew McCutchen","RF/RF","35.8","12.123","R/R","PHI","MIL","1","$8,500,000","$8,500,000",""
"57","Kirby Yates","RP","35.4","7.021","L/R","TOR","ATL","2","$8,250,000","$4,125,000",""
"T58","Manuel Pina","C","35.2","6.046","R/R","MIL","ATL","2","$8,000,000","$4,000,000",""
"T58","Jake Diekman","RP","35.6","9.050","L/L","OAK","BOS","2","$8,000,000","$4,000,000",""
"T58","Corey Kluber","SP/SP3","36.3","9.074","R/R","NYY","TB","1","$8,000,000","$8,000,000",""
"T58","Tyler Anderson","SP","32.6","6.065","L/L","SEA","LAD","1","$8,000,000","$8,000,000",""
"62","Tommy Pham","LF","34.4","6.107","R/R","SD","CIN","1","$7,500,000","$7,500,000",""
"T63","Jordan Lyles","SP","31.8","10.002","R/R","TEX","BAL","1","$7,000,000","$7,000,000",""
"T63","Daniel Hudson","RP/CL","35.4","11.106","R/R","SD","LAD","1","$7,000,000","$7,000,000",""
"T63","Michael Wacha","SP/SP5","31.1","8.062","R/R","TB","BOS","1","$7,000,000","$7,000,000",""
"T63","Luis Garcia","RP/SU8","35.5","6.006","R/R","STL","SD","2","$7,000,000","$3,500,000",""
"67","Michael Lorenzen","SP/SP4","30.6","6.159","R/R","CIN","LAA","1","$6,750,000","$6,750,000",""
"T68","Jeurys Familia","RP/CL","32.8","9.023","R/R","NYM","PHI","1","$6,000,000","$6,000,000",""
"T68","Brad Hand","RP","32.4","8.092","L/L","NYM","PHI","1","$6,000,000","$6,000,000",""
"T68","Joc Pederson","LF","30.3","7.028","L/L","ATL","SF","1","$6,000,000","$6,000,000",""
"T68","Jonathan Villar","SS/3B","31.2","7.113","R","NYM","CHC","1","$6,000,000","$6,000,000",""
"T72","Michael Pineda","SP","33.6","9.165","R/R","MIN","DET","1","$5,500,000","$5,500,000",""
"T72","Josh Harrison","2B/SS","35.1","9.168","R/R","OAK","CHW","1","$5,500,000","$5,500,000",""
"T72","Garrett Richards","SP","34.2","9.148","R/R","BOS","TEX","1","$5,500,000","$5,500,000",""
"75","Drew Smyly","SP","33.2","9.143","L/L","ATL","CHC","1","$5,250,000","$5,250,000",""
"T76","Matt Boyd","SP/SP1","31.5","5.136","L/L","DET","SF","1","$5,200,000","$5,200,000",""
"T76","Kole Calhoun","RF/LF","34.8","8.130","L/L","ARI","TEX","1","$5,200,000","$5,200,000",""
"T78","Roberto Pérez","C","33.7","7.083","R/R","CLE","PIT","1","$5,000,000","$5,000,000",""
"T78","Mychal Givens","RP","32.2","6.069","R/R","CIN","CHC","1","$5,000,000","$5,000,000",""
"T78","Dylan Bundy","SP/SP3","29.8","6.026","R","LAA","MIN","1","$5,000,000","$5,000,000",""
"T78","Corey Dickerson","LF","33.2","8.101","L/R","TOR","STL","1","$5,000,000","$5,000,000",""
"T78","Rich Hill","SP","42.4","12.127","L/L","NYM","BOS","1","$5,000,000","$5,000,000",""
"T78","Jose Iglesias","SS","32.6","9.036","R/R","BOS","COL","1","$5,000,000","$5,000,000",""
"84","Ian Kennedy","RP","37.7","12.124","R/R","PHI","ARI","1","$4,750,000","$4,750,000",""
"T85","Zach Davies","SP","29.5","6.020","R/R","CHC","ARI","1","$4,500,000","$4,500,000",""
"T85","Donovan Solano","2B/SS","34.7","6.081","R/R","SF","CIN","1","$4,500,000","$4,500,000",""
"T85","Trevor Rosenthal","RP","32.2","8.001","R/R","OAK","SF","1","$4,500,000","$4,500,000",""
"88","Alex Colomé","RP","33.6","7.118","R/R","MIN","COL","1","$4,100,000","$4,100,000",""
"T89","Adam Ottavino","RP/SU8","36.8","10.087","R","BOS","NYM","1","$4,000,000","$4,000,000",""
"T89","Martín Pérez","SP/SP5","31.3","9.038","L/L","BOS","TEX","1","$4,000,000","$4,000,000",""
"T89","César Hernández","2B","32.2","7.154","R","CHW","WSH","1","$4,000,000","$4,000,000",""
"T89","Andrelton Simmons","SS","32.9","9.122","R/R","MIN","CHC","1","$4,000,000","$4,000,000",""
"T89","Yoshitomo Tsutsugo","1B","30.8","1.146","L/R","PIT","PIT","1","$4,000,000","$4,000,000",""
"T94","Archie Bradley","RP","30.0","6.112","R/R","PHI","LAA","1","$3,750,000","$3,750,000",""
"T94","Chris Archer","SP","33.9","8.156","R/R","TB","MIN","1","$3,750,000","$3,750,000",""
"96","David Robertson","RP/CL","37.3","12.104","R/R","TB","CHC","1","$3,500,000","$3,500,000",""
"T97","Danny Duffy","SP/SP1","33.7","10.085","L/L","LAD","LAD","1","$3,000,000","$3,000,000",""
"T97","Johnny Cueto Minor","SP","36.5","14.000","R/R","","CHW","1","$3,000,000","$3,000,000",""
"T97","Matt Strahm","RP","30.8","5.064","R/L","SD","BOS","1","$3,000,000","$3,000,000",""
"T97","Chad Kuhl","RP","29.9","5.079","R/R","PIT","COL","1","$3,000,000","$3,000,000",""
"T97","Bryan Shaw","RP","34.8","9.152","R","CLE","CLE","1","$3,000,000","$3,000,000",""
"102","Chris Martin","RP/SU8","36.2","4.133","R/R","ATL","CHC","1","$2,750,000","$2,750,000",""
"T103","Wily Peralta Minor","RP","33.2","6.105","R/R","","DET","1","$2,500,000","$2,500,000",""
"T103","Joely Rodriguez","RP","30.8","2.096","L/L","NYY","NYY","1","$2,500,000","$2,500,000",""
"T103","Joe Smith","RP","38.4","13.091","R/R","SEA","MIN","1","$2,500,000","$2,500,000",""
"T103","Dellin Betances Minor","RP","34.4","8.078","R/R","","LAD","1","$2,500,000","$2,500,000",""
"T103","Matt Moore Minor","RP/SU7","33.2","9.000","L/L","","TEX","1","$2,500,000","$2,500,000",""
"T103","Brad Boxberger","RP/SU8","34.2","8.033","R/R","MIL","MIL","1","$2,500,000","$2,500,000",""
"T103","Kevin Pillar Minor","CF","33.6","7.113","R/R","","LAD","1","$2,500,000","$2,500,000",""
"T103","Albert Pujols","DH/1B","42.6","21.000","R/R","LAD","STL","1","$2,500,000","$2,500,000",""
"T103","Wily Peralta Minor","RP","33.2","6.105","R/R","","DET","1","$2,500,000","$2,500,000",""
"112","Hansel Robles Minor","RP","32.0","6.119","R/R","","BOS","1","$2,250,000","$2,250,000",""
"113","Heath Hembree","RP","33.6","6.096","R/R","NYM","PIT","1","$2,125,000","$2,125,000",""
"114","Niko Goodrum","2B","30.4","4.031","R","DET","HOU","1","$2,100,000","$2,100,000",""
"T115","Matt Carpenter Minor","3B/1B","36.8","10.012","L/R","","TEX","1","$2,000,000","$2,000,000",""
"T115","Matt Carpenter","3B/1B","36.8","10.012","L/R","TEX","NYY","1","$2,000,000","$2,000,000",""
"T115","Aníbal Sánchez Minor","SP","38.4","15.083","R/R","","WSH","1","$2,000,000","$2,000,000",""
"T115","Jose Quintana","SP/SP1","33.6","9.133","R/L","SF","PIT","1","$2,000,000","$2,000,000",""
"T115","Sergio Romo","RP","39.4","13.097","R/R","OAK","SEA","1","$2,000,000","$2,000,000",""
"T115","Matt Carpenter","3B/1B","36.8","10.012","L/R","TEX","NYY","1","$2,000,000","$2,000,000",""
"121","Pedro Severino","C","29.1","4.099","R/R","BAL","MIL","1","$1,900,000","$1,900,000",""
"122","Hunter Strickland","RP","33.9","6.033","R/R","MIL","CIN","1","$1,825,000","$1,825,000",""
"T123","Odubel Herrera","CF","30.6","5.077","L/R","PHI","PHI","1","$1,750,000","$1,750,000",""
"T123","Odubel Herrera","CF","30.6","5.077","L/R","PHI","PHI","1","$1,750,000","$1,750,000",""
"T123","Daniel Norris","RP","29.3","6.073","L/L","MIL","CHC","1","$1,750,000","$1,750,000",""
"T123","Kurt Suzuki","","38.8","14.112","R/R","LAA","LAA","1","$1,750,000","$1,750,000",""
"T123","Steve Cishek","RP","36.2","10.143","R/R","LAA","WSH","1","$1,750,000","$1,750,000",""
"T123","Charlie Culberson Minor","3B","33.3","6.051","R/R","","TEX","1","$1,750,000","$1,750,000",""
"T123","Odubel Herrera","CF","30.6","5.077","L/R","PHI","PHI","1","$1,750,000","$1,750,000",""
"130","Hanser Alberto","2B","29.8","5.085","R/R","KC","LAD","1","$1,600,000","$1,600,000",""
"T131","Jake Lamb Minor","1B","31.8","7.053","L/R","","LAD","1","$1,500,000","$1,500,000",""
"T131","Travis Shaw Minor","1B/3B","32.3","6.053","L/R","","BOS","1","$1,500,000","$1,500,000",""
"T131","Steven Brault Minor","RP","30.2","4.085","L/L","","CHC","1","$1,500,000","$1,500,000",""
"T131","Clint Frazier","OF","27.9","3.149","R/R","NYY","CHC","1","$1,500,000","$1,500,000",""
"T131","Chasen Shreve Minor","RP/SU7","32.1","5.158","L/L","","NYM","1","$1,500,000","$1,500,000",""
"T131","Reyes Moronta Minor","RP","29.6","4.000","R/R","","LAD","1","$1,500,000","$1,500,000",""
"T131","Matt Duffy","3B","31.6","6.059","R/R","CHC","LAA","1","$1,500,000","$1,500,000",""
"T131","Sean Doolittle","RP","35.9","9.122","L/L","SEA","WSH","1","$1,500,000","$1,500,000",""
"T131","Ehire Adrianza","SS","33.0","7.131","R","ATL","WSH","1","$1,500,000","$1,500,000",""
"T131","Jake Lamb Minor","1B","31.8","7.053","L/R","","LAD","1","$1,500,000","$1,500,000",""
"T131","Travis Shaw Minor","1B/3B","32.3","6.053","L/R","","BOS","1","$1,500,000","$1,500,000",""
"T131","Chasen Shreve Minor","RP/SU7","32.1","5.158","L/L","","NYM","1","$1,500,000","$1,500,000",""
"T143","Johan Camargo","3B","28.7","3.161","R","ATL","PHI","1","$1,400,000","$1,400,000",""
"T143","Aaron Brooks Minor","SP","32.2","2.102","R/R","","STL","1","$1,400,000","$1,400,000",""
"T143","Aaron Brooks Minor","SP","32.2","2.102","R/R","","STL","1","$1,400,000","$1,400,000",""
"146","Jake Marisnick","CF","31.3","7.132","R/R","SD","PIT","1","$1,300,000","$1,300,000",""
"T147","Maikel Franco Minor","3B","30.0","6.132","R/R","","WSH","1","$1,250,000","$1,250,000",""
"T147","Kyle Crick","RP","29.7","4.047","L/R","CHW","CHW","1","$1,250,000","$1,250,000",""
"T147","Jesse Chavez","RP","39.0","11.108","R/R","ATL","CHC","1","$1,250,000","$1,250,000",""
"T147","Jhoulys Chacin","SP","34.6","10.087","R/R","COL","COL","1","$1,250,000","$1,250,000",""
"T147","Maikel Franco Minor","3B","30.0","6.132","R/R","","WSH","1","$1,250,000","$1,250,000",""
"152","Nick Wittgren","RP","31.2","5.071","R/R","CLE","STL","1","$1,200,000","$1,200,000",""
"T153","Ender Inciarte Minor","CF","31.8","7.105","L/L","","NYM","1","$1,100,000","$1,100,000",""
"T153","Mike Montgomery Minor","RP","33.1","5.089","L/L","","NYM","1","$1,100,000","$1,100,000",""
"T153","Ender Inciarte Minor","CF","31.8","7.105","L/L","","NYM","1","$1,100,000","$1,100,000",""
"T156","Alex Dickerson","LF","32.2","5.120","L/L","SF","ATL","1","$1,000,000","$1,000,000",""
"T156","Colin Moran","1B","29.8","4.107","L/R","PIT","CIN","1","$1,000,000","$1,000,000",""
"T156","Dan Vogelbach","DH/1B","29.7","3.138","L/R","MIL","PIT","1","$1,000,000","$1,000,000",""
"T156","Dan Winkler Minor","RP","32.5","6.033","R/R","","TEX","1","$1,000,000","$1,000,000",""
"T156","Greg Bird Minor","1B","29.8","4.053","L/R","","NYY","1","$1,000,000","$1,000,000",""
"T156","Matt Harvey Minor","SP","33.3","8.127","R/R","","BAL","1","$1,000,000","$1,000,000",""
"T156","Steven Souza Minor","RF","33.3","6.068","R/R","","SEA","1","$1,000,000","$1,000,000",""
"T156","Arodys Vizcaino Minor","RP","31.8","6.168","R/R","","KC","1","$1,000,000","$1,000,000",""
"164","Danny Coulombe Minor","RP/SU7","32.8","3.008","L/L","","MIN","1","$979,500","$979,500",""
"165","Taylor Clarke","RP/SU7","29.2","2.120","R/R","ARI","KC","1","$975,000","$975,000",""
"T166","Tyler Thornburg","RP","33.8","6.115","R/R","CIN","ATL","1","$900,000","$900,000",""
"T166","Tim Locastro","OF","30.1","3.010","R/R","BOS","NYY","1","$900,000","$900,000",""
"T166","Luke Maile","C","31.5","4.132","R/R","MIL","CLE","1","$900,000","$900,000",""
"T166","Robinson Chirinos","C/1B","38.2","9.102","R/R","CHC","BAL","1","$900,000","$900,000",""
"T166","Jason Adam","RP/SU8","31.0","1.129","R/R","CHC","TB","1","$900,000","$900,000",""
"T166","Tyler Thornburg","RP","33.8","6.115","R/R","CIN","ATL","1","$900,000","$900,000",""
"T172","Jed Lowrie","2B","38.3","13.111","R","OAK","OAK","1","$850,000","$850,000",""
"T172","Stephen Vogt","C","37.8","8.064","L/R","ATL","OAK","1","$850,000","$850,000",""
"T172","Jed Lowrie","2B","38.3","13.111","R","OAK","OAK","1","$850,000","$850,000",""
"T172","Jed Lowrie","2B","38.3","13.111","R","OAK","OAK","1","$850,000","$850,000",""
"T176","Miguel Díaz Minor","RP","27.7","2.125","R/R","","DET","1","$800,000","$800,000",""
"T176","Miguel Díaz Minor","RP","27.7","2.125","R/R","","DET","1","$800,000","$800,000",""
"178","Pat Valaika Minor","SS","29.9","4.040","R/R","","ATL","1","$775,000","$775,000",""
"179","John Curtiss","RP","29.3","2.045","R/R","MIL","NYM","1","$770,000","$770,000",""
"180","Trevor Gott","RP/SU7","30.0","3.057","R/R","SF","MIL","1","$725,000","$725,000",""
"T181","Michael Hermosillo","CF","27.6","1.064","R/R","CHC","CHC","1","$707,000","$707,000",""
"T181","Michael Hermosillo","CF","27.6","1.064","R/R","CHC","CHC","1","$707,000","$707,000",""
"T183","Justin Upton","LF","35.0","14.060","R/R","LAA","SEA","1","$700,000","$700,000",""
"T183","Anthony Banda","RP","29.0","2.008","L/L","SEA","NYY","1","$700,000","$700,000",""
"T183","Jimmy Nelson","RP","33.2","7.107","R/R","LAD","LAD","1","$700,000","$700,000",""
"T183","Anthony Banda","RP","29.0","2.008","L/L","SEA","NYY","1","$700,000","$700,000",""
"T187","Dee Strange-Gordon Minor","2B/CF","34.3","8.154","L/R","","WSH","0","$0","",""
"T187","Elvis Andrus","SS","34.0","13.000","R/R","OAK","CHW","0","$0","",""
"T187","Nomar Mazara Minor","RF","27.3","5.112","L/L","","SD","0","$0","",""
"T187","Dixon Machado Minor","2B","30.5","2.005","R/R","","CHC","0","$0","",""
"T187","Tim Beckham Minor","3B","32.5","5.101","R/R","","MIN","0","$0","",""
"T187","Wes Benjamin Minor","RP","29.1","1.028","R/L","","CHW","0","$0","",""
"T187","Robinson Canó","DH/2B","39.8","15.076","L/R","NYM","SD","0","$0","",""
"T187","Parker Markel Minor","P","31.9","0.066","R/R","","OAK","0","$0","",""
"T187","Brandon Workman Minor","RP","34.0","6.141","R/R","","TEX","0","$0","",""
"T187","Sean Nolin Minor","RP","32.7","1.154","L/L","","WSH","0","$0","",""
"T187","Aaron Sanchez Minor","SP/SP2","30.1","5.069","R/R","","MIN","0","$0","",""
"T187","Carlos Martinez Minor","SP","30.9","8.073","R/R","","BOS","0","$0","",""
"T187","Drew Hutchison Minor","SP","32.0","4.130","L/R","","DET","0","$0","",""
"T187","Abraham Almonte Minor","CF","33.1","4.155","R","","MIL","0","$0","",""
"T187","Chase Anderson Minor","SP","34.7","7.146","R/R","","CIN","0","$0","",""
"T187","Conner Greene Minor","P","27.3","0.064","R/R","","BAL","0","$0","",""
"T187","Austin Romine Minor","C","33.8","8.044","R/R","","STL","0","$0","",""
"T187","Jesús Aguilar Minor","1B","32.1","5.082","R/R","","BAL","0","$0","",""
"T187","Kyle Ryan Minor","RP","30.9","4.005","L/L","","STL","0","$0","",""
"T187","Jonathan Villar","SS/3B","31.2","7.113","R","CHC","LAA","0","$0","",""
"T187","Brandon Finnegan Minor","SP/SP3","29.3","2.150","L/L","","CHW","0","$0","",""
"T187","Robert Gsellman Minor","RP","29.1","5.042","R/R","","CHC","0","$0","",""
"T187","Cam Bedrosian Minor","RP","30.8","6.074","R/R","","PHI","0","$0","",""
"T187","Ian Krol Minor","RP","31.2","4.068","L/L","","SD","0","$0","",""
"T187","Delino DeShields Minor","CF","30.0","6.109","R/R","","ATL","0","$0","",""
"T187","Derek Holland Minor","RP","35.8","12.105","L","","TOR","0","$0","",""
"T187","Chi Chi Gonzalez Minor","SP","30.6","3.149","R/R","","NYY","0","$0","",""
"T187","Ryan Buchter Minor","RP","35.5","4.149","L/L","","SEA","0","$0","",""
"T187","Nick Vincent Minor","RP","36.1","7.061","R/R","","DET","0","$0","",""
"T187","Brock Holt Minor","2B","34.2","8.052","L/R","","ATL","0","$0","",""
"T187","Sergio Romo","RP","39.4","13.097","R/R","SEA","TOR","0","$0","",""
"T187","Monte Harrison Minor","CF","27.0","0.120","R/R","","LAA","0","$0","",""
"T187","Tyler Clippard Minor","RP","37.5","12.134","R/R","","WSH","0","$0","",""
"T187","Tyler Duffey Minor","RP/SU8","31.6","5.074","R/R","","NYY","0","$0","",""
"T187","José Ureña Minor","SP/RP","30.9","6.040","R/R","","COL","0","$0","",""
"T187","Tommy Milone Minor","SP","35.5","8.070","L/L","","SEA","0","$0","",""
"T187","Wander Suero Minor","RP","30.9","2.123","R/R","","LAA","0","$0","",""
"T187","Bernardo Flores Minor","P","27.0","0.037","L/L","","CIN","0","$0","",""
"T187","Daniel Ponce de Leon Minor","RP","30.6","2.086","R/R","","WSH","0","$0","",""
"T187","Roman Quinn Minor","CF","29.2","3.088","R","","PHI","0","$0","",""
"T187","Darien Nunez Minor","RP","29.4","0.030","L/L","","SF","0","$0","",""
"T187","Ross Detwiler Minor","RP","36.4","9.011","R/L","","CIN","0","$0","",""
"T187","Shawn Armstrong Minor","RP","31.9","3.129","R/R","","TB","0","$0","",""
"T187","Robinson Canó Minor","DH/2B","39.8","15.076","L/R","","SD","0","$0","",""
"T187","Juan Lagares Minor","CF","33.4","8.005","R/R","","LAA","0","$0","",""
"T187","Dallas Keuchel Minor","SP/SP4","34.6","9.031","L/L","","TEX","0","$0","",""
"T187","Jonathan Villar Minor","SS/3B","31.2","7.113","R","","SEA","0","$0","",""
"T187","Brandon Drury Minor","2B/3B","30.0","5.001","R/R","","CIN","0","$0","",""
"T187","Sterling Sharp Minor","RP","27.2","0.100","R/R","","BOS","0","$0","",""
"T187","Jeurys Familia Minor","RP/CL","32.8","9.023","R/R","","BOS","0","$0","",""
"T187","Dexter Fowler Minor","RF","36.4","12.168","R","","TOR","0","$0","",""
"T187","Locke St. John Minor","P","29.5","0.028","L/L","","CHC","0","$0","",""
"T187","Tayler Scott Minor","RP","30.2","0.047","R/R","","SD","0","$0","",""
"T187","Cody Reed Minor","RP","29.3","3.072","L/L","","TB","0","$0","",""
"T187","Jose Castillo Minor","RP","26.6","3.121","L/L","","SD","0","$0","",""
"T187","Austin Brice Minor","RP","30.2","3.164","R/R","","PIT","0","$0","",""
"T187","Heath Hembree Minor","RP","33.6","6.096","R/R","","LAD","0","$0","",""
"T187","Erik Gonzalez Minor","SS","30.9","4.139","R/R","","MIA","0","$0","",""
"T187","Juniel Querecuto Minor","2B","29.9","0.011","R","","CIN","0","$0","",""
"T187","Jacob Nottingham Minor","C","27.3","1.098","R/R","","BAL","0","$0","",""
"T187","Jacoby Jones Minor","CF","30.2","4.006","R/R","","KC","0","$0","",""
"T187","Casey Lawrence Minor","RP","34.8","0.171","R/R","","TOR","0","$0","",""
"T187","Matt Koch Minor","RP","31.8","0.141","L/R","","SEA","0","$0","",""
"T187","Jon Singleton Minor","1B","30.9","0.167","L/L","","MIL","0","$0","",""
"T187","Grant Dayton Minor","RP","34.8","5.007","L/L","","LAA","0","$0","",""
"T187","Ben Lively Minor","SP","30.4","0.159","R/R","","CIN","0","$0","",""
"T187","Rob Zastryzny Minor","RP","30.4","0.100","R/L","","NYM","0","$0","",""
"T187","Mark Leiter Jr. Minor","RP/CL","31.4","1.082","R/R","","CHC","0","$0","",""
"T187","Brian Moran Minor","RP","33.8","2.027","L/L","","LAA","0","$0","",""
"T187","Wilmer Difo Minor","SS","30.3","4.138","R","","ARI","0","$0","",""
"T187","Silvino Bracho Minor","RP","30.1","3.082","R/R","","BOS","0","$0","",""
"T187","Dan Altavilla Minor","RP","29.9","4.063","R/R","","BOS","2","$0","$0",""
"T187","Taylor Williams Minor","RP","31.1","2.034","R","","SEA","0","$0","",""
"T187","Ty Blach Minor","RP","31.8","2.065","R/L","","COL","0","$0","",""
"T187","Mallex Smith Minor","LF","29.2","4.028","L/R","","TOR","0","$0","",""
"T187","Yairo Munoz Minor","SS","27.6","2.098","R/R","","PHI","0","$0","",""
"T187","Anthony Banda Minor","RP","29.0","2.008","L/L","","SEA","0","$0","",""
"T187","Magneuris Sierra Minor","CF","26.3","2.138","L/L","","LAA","0","$0","",""
"T187","Ildemaro Vargas Minor","2B","31.1","2.097","R","","WSH","0","$0","",""
"T187","Jonathan Davis Minor","CF","30.2","1.147","R/R","","MIL","0","$0","",""
"T187","Jimmy Yacabonis Minor","RP","30.4","1.027","R/R","","MIA","0","$0","",""
"T187","Dillon Maples Minor","RP","30.2","1.136","R/R","","PHI","0","$0","",""
"T187","Tyler White Minor","1B","31.8","2.101","R/R","","MIL","0","$0","",""
"T187","Jace Fry Minor","RP","29.1","3.118","L/L","","WSH","0","$0","",""
"T187","Yency Almonte Minor","RP","28.2","2.168","R","","LAD","0","$0","",""
"T187","Jose De Leon Minor","RP","30.0","2.095","R/R","","TOR","0","$0","",""
"T187","Derek Fisher Minor","RF","29.0","2.150","L/R","","MIN","0","$0","",""
"T187","Zach McAllister Minor","RP","34.7","6.049","R/R","","STL","0","$0","",""
"T187","Roenis Elias Minor","RP","34.0","5.069","L/L","","SEA","0","$0","",""
