"RANK","PLAYER (585)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","267","$3,278,534,000","$12,279,154",""
"1","Corey Seager","SS","28.2","6.032","L/R","LAD","TEX","10","$325,000,000","$32,500,000",""
"2","Kris Bryant","RF/3B","30.6","6.171","R/R","SF","COL","7","$182,000,000","$26,000,000",""
"3","Marcus Semien","2B","31.9","7.118","R/R","TOR","TEX","7","$175,000,000","$25,000,000",""
"4","Freddie Freeman","1B","32.9","11.033","L/R","ATL","LAD","6","$162,000,000","$27,000,000",""
"T5","Javier Báez","SS/2B","29.7","6.089","R/R","NYM","DET","6","$140,000,000","$23,333,333",""
"T5","Trevor Story","SS","29.8","6.000","R/R","COL","BOS","6","$140,000,000","$23,333,333",""
"7","Max Scherzer","SP/SP2","38.0","13.079","R/R","LAD","NYM","3","$130,000,000","$43,333,333",""
"8","Robbie Ray","SP/SP1","30.8","7.007","L/L","TOR","SEA","5","$115,000,000","$23,000,000",""
"9","Kevin Gausman","SP/SP2","31.6","7.151","L/R","SF","TOR","5","$110,000,000","$22,000,000",""
"10","Carlos Correa","SS/SS","27.9","6.119","R/R","HOU","MIN","3","$105,300,000","$35,100,000",""
"11","Nick Castellanos","DH/RF","30.4","8.029","R/R","CIN","PHI","5","$100,000,000","$20,000,000",""
"12","Kyle Schwarber","LF","29.4","6.086","L/R","BOS","PHI","4","$79,000,000","$19,750,000",""
"13","Starling Marte","RF","33.8","8.163","R/R","OAK","NYM","4","$78,000,000","$19,500,000",""
"14","Eduardo Rodriguez","SP/SP1","29.3","6.130","L/L","BOS","DET","5","$77,000,000","$15,400,000",""
"15","Marcus Stroman","SP/SP1","31.2","7.026","R/R","NYM","CHC","3","$71,000,000","$23,666,667",""
"16","Chris Taylor","3B/SS/OF","31.9","6.037","R/R","LAD","LAD","4","$60,000,000","$15,000,000",""
"17","Raisel Iglesias","RP/CL","32.6","6.154","R/R","LAA","LAA","4","$58,000,000","$14,500,000",""
"18","Jon Gray","SP/SP1","30.8","6.062","R/R","COL","TEX","4","$56,000,000","$14,000,000",""
"19","Avisaíl García","RF","31.2","8.167","R/R","MIL","MIA","4","$53,000,000","$13,250,000",""
"20","Justin Verlander","SP/SP1","39.5","16.002","R/R","HOU","HOU","2","$50,000,000","$25,000,000",""
"T21","Steven Matz","SP","31.2","6.099","R/L","TOR","STL","4","$44,000,000","$11,000,000",""
"T21","Carlos Rodon","SP","29.7","6.168","L/L","CHW","SF","2","$44,000,000","$22,000,000",""
"T23","Jorge Soler","DH/OF","30.5","6.143","R/R","ATL","MIA","3","$36,000,000","$12,000,000",""
"T23","Yusei Kikuchi","SP","31.2","3.000","L/L","SEA","TOR","3","$36,000,000","$12,000,000",""
"T23","Anthony DeSclafani","SP","32.3","7.062","R/R","SF","SF","3","$36,000,000","$12,000,000",""
"26","Anthony Rizzo","1B","33.0","9.168","L/L","NYY","NYY","2","$32,000,000","$16,000,000",""
"27","Mark Canha","LF/1B","33.5","6.092","R/R","OAK","NYM","2","$26,500,000","$13,250,000",""
"28","Nick Martinez","RP","32.0","3.002","L/R","TEX","SD","4","$25,500,000","$6,375,000",""
"29","Alex Wood","SP/SP3","31.6","8.123","R/L","SF","SF","2","$25,000,000","$12,500,000",""
"30","Kendall Graveman","RP/CL","31.7","6.078","R/R","HOU","CHW","3","$24,000,000","$8,000,000",""
"31","Noah Syndergaard","SP/SP2","29.9","6.149","L/R","NYM","LAA","1","$21,000,000","$21,000,000",""
"T32","Eduardo Escobar","3B","33.6","9.128","R","MIL","NYM","2","$20,000,000","$10,000,000",""
"T32","Alex Cobb","SP/SP4","34.8","10.061","R/R","LAA","SF","2","$20,000,000","$10,000,000",""
"T34","Brandon Belt","1B","34.3","10.128","L/L","SF","SF","1","$18,400,000","$18,400,000",""
"T34","Brandon Belt","1B","34.3","10.128","L/L","SF","SF","1","$18,400,000","$18,400,000",""
"36","Eddie Rosario","LF","30.8","6.120","L/R","ATL","ATL","2","$18,000,000","$9,000,000",""
"T37","Clayton Kershaw","SP/SP1","34.4","13.105","L/L","LAD","LAD","1","$17,000,000","$17,000,000",""
"T37","Hector Neris","RP/SU8","33.2","6.068","R/R","PHI","HOU","2","$17,000,000","$8,500,000",""
"T37","Joe Kelly","RP","34.2","9.029","R/R","LAD","CHW","2","$17,000,000","$8,500,000",""
"T37","Aaron Loup","RP","34.7","9.040","L/L","NYM","LAA","2","$17,000,000","$8,500,000",""
"41","Leury García","2B","31.4","7.025","R","CHW","CHW","3","$16,500,000","$5,500,000",""
"42","Kenley Jansen","RP/CL","34.8","11.072","R","LAD","ATL","1","$16,000,000","$16,000,000",""
"43","Nelson Cruz","DH","42.1","14.082","R/R","TB","WSH","1","$15,000,000","$15,000,000",""
