"RANK","PLAYER (291)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","344","$2,482,432,414","$7,216,373",""
"1","David Price","SP/SP5","31.0","6.164","L/L","TOR","BOS","7","$217,000,000","$31,000,000",""
"2","Zack Greinke","SP/SP2","32.8","11.057","R/R","LAD","ARI","6","$206,500,000","$34,416,667",""
"3","Jason Heyward","RF/RF/CF/CF","27.0","6.000","L/L","STL","CHC","8","$184,000,000","$23,000,000",""
"4","Chris Davis","1B","30.4","6.061","L/R","BAL","BAL","7","$161,000,000","$23,000,000",""
"5","Justin Upton","LF","29.0","8.060","R/R","SD","DET","6","$132,750,000","$22,125,000",""
"6","Johnny Cueto","SP","30.5","8.000","R/R","KC","SF","6","$130,000,000","$21,666,667",""
"7","Jordan Zimmermann","SP/SP2","30.2","6.154","R/R","WSH","DET","5","$110,000,000","$22,000,000",""
"8","Jeff Samardzija","SP/SP3","31.6","6.028","R/R","CHW","SF","5","$90,000,000","$18,000,000",""
"T9","Wei-Yin Chen","SP","31.1","4.000","R/L","BAL","MIA","5","$80,000,000","$16,000,000",""
"T9","Mike Leake","SP/SP2","28.8","6.000","R/R","SF","STL","5","$80,000,000","$16,000,000",""
"11","Alex Gordon","OF","32.5","8.092","L/R","KC","KC","4","$72,000,000","$18,000,000",""
"12","Ian Kennedy","RP","31.7","6.124","R/R","SD","KC","5","$70,000,000","$14,000,000",""
"13","Ben Zobrist","2B","35.2","4.034","R","KC","CHC","4","$56,000,000","$14,000,000",""
"14","Scott Kazmir","SP","32.6","9.119","L/L","HOU","LAD","3","$48,000,000","$16,000,000",""
"15","Daniel Murphy","1B","31.3","6.109","L/R","NYM","WSH","3","$37,500,000","$12,500,000",""
"16","J.A. Happ","SP","33.8","7.047","L/L","PIT","TOR","3","$36,000,000","$12,000,000",""
"17","John Lackey","SP/SP3","37.8","7.095","R/R","STL","CHC","2","$32,000,000","$16,000,000",""
"T18","Darren O'Day","RP","33.8","7.103","R/R","BAL","BAL","4","$31,000,000","$7,750,000",""
"T18","Denard Span","LF/DH","32.4","1.111","L/L","WSH","SF","3","$31,000,000","$10,333,333",""
"20","Gerardo Parra","RF","29.2","6.145","L/L","BAL","COL","3","$27,500,000","$9,166,667",""
"21","Marco Estrada","SP/SP3","33.1","1.035","R/R","TOR","TOR","2","$26,000,000","$13,000,000",""
"22","Joakim Soria","RP/CL","32.2","9.000","R/R","PIT","KC","3","$25,000,000","$8,333,333",""
"T23","Yovani Gallardo","SP","30.4","8.108","R/R","TEX","BAL","2","$22,000,000","$11,000,000",""
"T23","Ryan Madson","RP","35.9","5.155","L/R","KC","OAK","3","$22,000,000","$7,333,333",""
"25","Howie Kendrick","2B/LF","33.1","9.091","R/R","LAD","LAD","2","$20,000,000","$10,000,000",""
"26","Asdrubal Cabrera","2B","30.8","8.027","R","TB","NYM","2","$18,500,000","$9,250,000",""
"27","Tony Sipp","RP","33.1","0.1","L/L","HOU","HOU","3","$18,000,000","$6,000,000",""
"28","Mike Pelfrey","RP","32.6","2.122","R/R","MIN","DET","2","$16,000,000","$8,000,000",""
"T29","Brett Anderson","SP","28.5","7.000","L/L","LAD","LAD","1","$15,800,000","$15,800,000",""
"T29","Colby Rasmus","LF","30.0","7.000","L/L","HOU","HOU","1","$15,800,000","$15,800,000",""
"T29","Matt Wieters","C","30.2","6.129","R","BAL","BAL","1","$15,800,000","$15,800,000",""
"32","Shawn Kelley","RP","32.3","6.128","R/R","SD","WSH","3","$15,000,000","$5,000,000",""
