"RANK","PLAYER (550)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","197","$1,452,726,000","$7,374,244",""
"1","George Springer","RF","31.9","6.166","R/R","HOU","TOR","6","$150,000,000","$25,000,000",""
"2","J.T. Realmuto","C","30.4","6.038","R/R","PHI","PHI","5","$115,500,000","$23,100,000",""
"3","Trevor Bauer","SP","30.6","6.158","R/R","CIN","LAD","3","$102,000,000","$34,000,000",""
"4","D.J. LeMahieu","2B/DH","33.1","8.128","R/R","NYY","NYY","6","$90,000,000","$15,000,000",""
"5","Marcell Ozuna","DH/LF","30.8","7.124","R/R","ATL","ATL","4","$65,000,000","$16,250,000",""
"6","Liam Hendriks","RP/CL","32.5","6.164","R/R","OAK","CHW","3","$54,000,000","$18,000,000",""
"7","James McCann","C","31.2","6.028","R/R","CHW","NYM","4","$40,600,000","$10,150,000",""
"8","Justin Turner","3B","36.8","10.045","R/R","LAD","LAD","2","$34,000,000","$17,000,000",""
"9","Michael Brantley","LF","34.2","10.131","L/L","HOU","HOU","2","$32,000,000","$16,000,000",""
"10","Didi Gregorius","SS","31.5","7.159","L/R","PHI","PHI","2","$28,000,000","$14,000,000",""
"11","Jackie Bradley Jr.","CF","31.3","6.150","L/R","BOS","MIL","2","$24,000,000","$12,000,000",""
"12","Jake Odorizzi","SP","31.3","7.042","R/R","MIN","HOU","3","$23,500,000","$7,833,333",""
"13","Taijuan Walker","SP/SP3","29.0","6.142","R/R","TOR","NYM","3","$23,000,000","$7,666,667",""
"14","Jurickson Profar","LF","28.5","6.165","R","SD","SD","3","$21,000,000","$7,000,000",""
"T15","Marcus Stroman","SP/SP1","30.2","6.026","R/R","NYM","NYM","1","$18,900,000","$18,900,000",""
"T15","Kevin Gausman","SP/SP2","30.6","6.151","L/R","SF","SF","1","$18,900,000","$18,900,000",""
"T15","Marcus Stroman","SP/SP1","30.2","6.026","R/R","NYM","NYM","1","$18,900,000","$18,900,000",""
"T15","Kevin Gausman","SP/SP2","30.6","6.151","L/R","SF","SF","1","$18,900,000","$18,900,000",""
"19","Tommy La Stella","2B","32.5","6.057","L/R","OAK","SF","3","$18,750,000","$6,250,000",""
"T20","Kolten Wong","2B","30.8","7.045","L/R","STL","MIL","2","$18,000,000","$9,000,000",""
"T20","Marcus Semien","2B","30.9","6.118","R/R","OAK","TOR","1","$18,000,000","$18,000,000",""
"T20","Mike Minor","SP/SP1","33.7","9.138","R/L","OAK","KC","2","$18,000,000","$9,000,000",""
"T23","Carlos Santana","1B/DH","35.3","10.115","R","CLE","KC","2","$17,500,000","$8,750,000",""
"T23","Blake Treinen","RP","33.1","6.065","R/R","LAD","LAD","2","$17,500,000","$8,750,000",""
"25","Trevor May","RP/CL","31.9","6.012","R/R","MIN","NYM","2","$15,500,000","$7,750,000",""
"26","Charlie Morton","SP/SP2","37.8","12.010","R/R","TB","ATL","1","$15,000,000","$15,000,000",""
"27","Enrique Hernandez","SS/OF","30.0","6.054","R/R","LAD","BOS","2","$14,000,000","$7,000,000",""
"28","Nelson Cruz","DH","41.1","13.082","R/R","MIN","MIN","1","$13,000,000","$13,000,000",""
"29","Pedro Baez","RP","33.4","6.059","R/R","LAD","HOU","2","$12,500,000","$6,250,000",""
"T30","Corey Kluber","SP/SP3","35.3","8.074","R/R","TEX","NYY","1","$11,000,000","$11,000,000",""
"T30","Trevor Rosenthal","RP","31.2","7.001","R/R","SD","OAK","1","$11,000,000","$11,000,000",""
"T30","Drew Smyly","SP","32.2","8.143","L/L","SF","ATL","1","$11,000,000","$11,000,000",""
"T33","Andrelton Simmons","SS","31.9","8.122","R/R","LAA","MIN","1","$10,500,000","$10,500,000",""
