"RANK","PLAYER (280)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","164","$1,417,910,000","$8,645,793",""
"1","Yoenis Céspedes","LF","31.8","1.028","R/R","NYM","NYM","4","$110,000,000","$27,500,000",""
"2","Aroldis Chapman","RP/SU8","29.4","6.009","L/L","CHC","NYY","5","$86,000,000","$17,200,000",""
"3","Dexter Fowler","RF","31.4","7.168","R","CHC","STL","5","$82,500,000","$16,500,000",""
"4","Kenley Jansen","RP/CL","29.8","6.072","R","LAD","LAD","5","$80,000,000","$16,000,000",""
"5","Ian Desmond","CF/1B","31.9","7.027","R/R","TEX","COL","5","$70,000,000","$14,000,000",""
"6","Justin Turner","3B","32.8","6.045","R/R","LAD","LAD","4","$64,000,000","$16,000,000",""
"7","Mark Melancon","RP","32.3","6.098","R/R","WSH","SF","4","$62,000,000","$15,500,000",""
"8","Edwin Encarnacion","DH/1B","34.6","11.085","R/R","TOR","CLE","3","$60,000,000","$20,000,000",""
"9","Josh Reddick","RF","30.5","6.050","L/R","LAD","HOU","4","$52,000,000","$13,000,000",""
"10","Rich Hill","SP","37.4","7.127","L/L","LAD","LAD","3","$48,000,000","$16,000,000",""
"11","Mark Trumbo","DH","31.6","6.027","R/R","BAL","BAL","3","$37,500,000","$12,500,000",""
"12","Kendrys Morales","DH/1B","34.2","3.17","R","KC","TOR","3","$33,000,000","$11,000,000",""
"13","Brett Cecil","RP","31.1","2.152","R/L","TOR","STL","4","$30,500,000","$7,625,000",""
"14","Ivan Nova","SP/SP3","30.6","6.024","R/R","PIT","PIT","3","$26,000,000","$8,666,667",""
"15","Jason Castro","C/DH","30.2","6.104","L/R","HOU","MIN","3","$24,500,000","$8,166,667",""
"16","Edinson Volquez","RP","34.1","9.059","R/R","KC","MIA","2","$22,000,000","$11,000,000",""
"17","Mike Dunn","RP","32.2","6.079","L/L","MIA","COL","3","$19,000,000","$6,333,333",""
"18","José Bautista","RF/3B","36.8","5.165","R/R","TOR","TOR","1","$18,500,000","$18,500,000",""
"T19","Jeremy Hellickson","RP","30.3","2.041","R/R","PHI","PHI","1","$17,200,000","$17,200,000",""
