"RANK","PLAYER (233)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","307","$1,445,905,000","$4,709,788",""
"1","Zack Greinke","SP/SP2","29.8","8.057","R/R","LAA","LAD","6","$147,000,000","$24,500,000",""
"2","Josh Hamilton","LF/CF","32.2","","L/L","TEX","LAA","5","$125,000,000","$25,000,000",""
"3","Aníbal Sánchez","SP","29.4","6.099","R/R","DET","DET","5","$80,000,000","$16,000,000",""
"4","Melvin Upton","LF","29.0","","R/R","TB","ATL","5","$72,500,000","$14,500,000",""
"5","Nick Swisher","OF","32.8","8.031","L","NYY","CLE","4","$56,000,000","$14,000,000",""
"6","Edwin Jackson","SP/SP5","29.9","7.070","R/R","WSH","CHC","4","$52,000,000","$13,000,000",""
"7","Michael Bourn","CF","30.6","6.028","L/R","ATL","CLE","4","$48,000,000","$12,000,000",""
"8","Ángel Pagán","LF","32.1","","R","SF","SF","4","$40,000,000","$10,000,000",""
"9","Shane Victorino","RF","32.7","","R","LAD","BOS","3","$39,000,000","$13,000,000",""
"10","Kyle Lohse","SP/SP5","34.8","3.092","R/R","STL","MIL","3","$33,000,000","$11,000,000",""
"11","David Ortiz","DH","37.8","14.048","L/L","BOS","BOS","2","$29,000,000","$14,500,000",""
"12","Rafael Soriano","RP","33.7","10.057","R/R","NYY","WSH","2","$28,000,000","$14,000,000",""
"13","Ryan Dempster","SP","36.2","4.063","","TEX","BOS","2","$26,500,000","$13,250,000",""
"T14","Cody Ross","","32.7","7.058","R/L","BOS","ARI","3","$26,000,000","$8,666,667",""
"T14","Torii Hunter","RF","38.1","4.132","R/R","LAA","DET","2","$26,000,000","$13,000,000",""
"16","Jeremy Guthrie","SP/SP5","34.3","","R/R","KC","KC","3","$25,000,000","$8,333,333",""
"17","Adam LaRoche","DH","33.8","9.000","L/L","WSH","WSH","2","$24,000,000","$12,000,000",""
