"RANK","PLAYER (230)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"60","Mark Ellis","2B","37.2","1.136","","LAD","STL","1","$5,250,000","$5,250,000",""
"T61","Ryan Vogelsong","SP","37.1","","R/R","SF","SF","1","$5,000,000","$5,000,000",""
"T61","Edinson Volquez","RP","31.1","6.059","R/R","LAD","PIT","1","$5,000,000","$5,000,000",""
"T61","Skip Schumaker","","34.5","","L/R","LAD","CIN","2","$5,000,000","$2,500,000",""
"T64","Ryan Webb","RP","28.5","","R/R","MIA","BAL","2","$4,500,000","$2,250,000",""
"T64","Jose Molina","C","39.2","2.026","","TB","TB","2","$4,500,000","$2,250,000",""
"T66","Bruce Chen","RP","37.2","1.159","","KC","KC","1","$4,250,000","$4,250,000",""
"T66","Oliver Perez","","33.0","9.144","L/L","SEA","ARI","2","$4,250,000","$2,125,000",""
"T66","Bruce Chen","RP","37.2","1.159","","KC","KC","1","$4,250,000","$4,250,000",""
"T69","Scott Downs","RP","38.4","1.121","","ATL","CHW","1","$4,000,000","$4,000,000",""
"T69","Gavin Floyd","RP","31.5","0.045","R/R","CHW","ATL","1","$4,000,000","$4,000,000",""
"71","Jeff Baker","1B/3B","33.2","","R/R","TEX","MIA","2","$3,700,000","$1,850,000",""
"T72","Rafael Furcal","SS/2B","36.8","4","R","STL","MIA","1","$3,500,000","$3,500,000",""
"T72","Eric Chávez","3B/1B","36.7","15.020","L/R","ARI","ARI","1","$3,500,000","$3,500,000",""
"T72","Eric Chávez","3B/1B","36.7","15.020","L/R","ARI","ARI","1","$3,500,000","$3,500,000",""
"T75","Jesse Crain","RP","33.1","0.039","","TB","HOU","1","$3,250,000","$3,250,000",""
"T75","Francisco Rodriguez","RP","32.6","10.115","R/R","BAL","MIL","1","$3,250,000","$3,250,000",""
"T77","Nick Punto","SS","36.8","2.051","","LAD","OAK","1","$3,000,000","$3,000,000",""
"T77","Kelly Johnson","2B","32.5","0.172","L/R","TB","NYY","1","$3,000,000","$3,000,000",""
"T77","Ronald Belisario","RP","31.6","3.151","R/R","LAD","CHW","1","$3,000,000","$3,000,000",""
"T80","Kurt Suzuki","","30.8","6.112","R/R","OAK","MIN","1","$2,750,000","$2,750,000",""
"T80","Raúl Ibañez","DH/LF","42.2","6.02","L/R","SEA","LAA","1","$2,750,000","$2,750,000",""
"T82","Joba Chamberlain","RP","28.9","","R/R","NYY","DET","1","$2,500,000","$2,500,000",""
"T82","Paul Konerko","1B/DH","38.4","5.141","","CHW","CHW","1","$2,500,000","$2,500,000",""
"T82","Andrew Bailey","RP","30.2","","R/R","BOS","NYY","1","$2,500,000","$2,500,000",""
"85","Matt Albers","RP","31.6","2.141","L/R","CLE","HOU","1","$2,450,000","$2,450,000",""
"86","Brayan Pena","C","32.6","","S/R","DET","CIN","2","$2,275,000","$1,137,500",""
"T87","Chris Capuano","","36.0","0.161","L/L","LAD","BOS","1","$2,250,000","$2,250,000",""
"T87","LaTroy Hawkins","RP/CL","41.7","9.054","R/R","NYM","COL","1","$2,250,000","$2,250,000",""
"89","Jerome Williams","RP","32.7","","R/R","LAA","HOU","1","$2,100,000","$2,100,000",""
"T90","Tommy Hanson","SP","27.9","","","LAA","TEX","1","$2,000,000","$2,000,000",""
"T90","Jason Kubel","LF/RF","32.2","","","CLE","MIN","1","$2,000,000","$2,000,000",""
"T90","Colby Lewis","SP/SP3","35.0","","R/R","TEX","TEX","1","$2,000,000","$2,000,000",""
"T90","Mark Reynolds","3B/1B","31.0","0.138","R/R","NYY","MIL","1","$2,000,000","$2,000,000",""
"T94","J.P. Arencibia","1B/C","28.6","","R/R","TOR","TEX","1","$1,800,000","$1,800,000",""
"T94","Jamey Wright","RP","39.7","6.086","R/R","TB","LAD","1","$1,800,000","$1,800,000",""
"96","Felipe Paulino","SP","30.8","","R/R","KC","CHW","1","$1,750,000","$1,750,000",""
"T97","Paul Maholm","RP/SP","32.2","","L/L","ATL","LAD","1","$1,500,000","$1,500,000",""
"T97","Mike Gonzalez","RP","36.2","","","MIL","WSH","1","$1,500,000","$1,500,000",""
"T97","Lyle Overbay","1B","37.5","1.009","L/L","NYY","MIL","1","$1,500,000","$1,500,000",""
"T97","Daisuke Matsuzaka","SP","33.9","","R/R","NYM","NYM","1","$1,500,000","$1,500,000",""
"T97","Joe Saunders","SP","33.1","","L/L","SEA","TEX","1","$1,500,000","$1,500,000",""
"T97","John Lannan","","29.8","","L/L","PHI","NYM","1","$1,500,000","$1,500,000",""
"T97","Juan Carlos Oviedo","RP","32.4","","R/R","TB","TB","1","$1,500,000","$1,500,000",""
"104","Wesley Wright","RP","29.5","","R/L","TB","CHC","1","$1,425,000","$1,425,000",""
"105","Kevin Gregg","RP","36.2","0.0020000000000007","R/R","CHC","MIA","1","$1,286,387","$1,286,387",""
"T106","Carlos Mármol","RP","31.8","","","LAD","MIA","1","$1,250,000","$1,250,000",""
"T106","Freddy García","SP","37.8","2.06","","ATL","ATL","1","$1,250,000","$1,250,000",""
"T106","Chien-Ming Wang","RP","34.3","","","TOR","CIN","1","$1,250,000","$1,250,000",""
"T106","Freddy García","SP","37.8","2.06","","ATL","ATL","1","$1,250,000","$1,250,000",""
"110","Alfredo Aceves","RP","32.7","","","BOS","BAL","1","$1,200,000","$1,200,000",""
"111","Erik Bedard","","35.4","0.146","","HOU","TB","1","$1,150,000","$1,150,000",""
"112","Wil Nieves","","36.9","","R/R","ARI","PHI","1","$1,125,000","$1,125,000",""
"113","Ramon Santiago","2B/SS","34.9","0.095000000000001","R","DET","CIN","1","$1,100,000","$1,100,000",""
"T114","Joel Hanrahan","RP","32.8","","","BOS","DET","1","$1,000,000","$1,000,000",""
"T114","Matt Guerrier","RP","36.0","","","CHC","MIN","1","$1,000,000","$1,000,000",""
