"RANK","PLAYER (629)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","203","$1,981,990,000","$9,763,498",""
"1","Bryce Harper","RF/RF","26.8","6.159","L/R","WSH","PHI","13","$330,000,000","$25,384,615",""
"2","Manny Machado","3B/SS","27.1","6.056","R/R","LAD","SD","10","$300,000,000","$30,000,000",""
"3","Patrick Corbin","SP/SP2","30.1","6.105","L/L","ARI","WSH","6","$140,000,000","$23,333,333",""
"4","Nathan Eovaldi","SP/SP1","29.5","7.013","R/R","BOS","BOS","4","$68,000,000","$17,000,000",""
"5","A.J. Pollock","LF","31.7","6.052","R/R","ARI","LAD","5","$60,000,000","$12,000,000",""
"6","Andrew McCutchen","RF/RF","32.8","9.123","R/R","NYY","PHI","3","$50,000,000","$16,666,667",""
"7","Craig Kimbrel","RP/CL","31.2","8.066","R/R","BOS","CHC","3","$43,000,000","$14,333,333",""
"8","Zack Britton","RP","31.7","6.158","L/L","NYY","NYY","3","$39,000,000","$13,000,000",""
"9","J.A. Happ","SP","36.8","10.047","L/L","NYY","NYY","2","$34,000,000","$17,000,000",""
"10","Michael Brantley","LF","32.2","8.131","L/L","CLE","HOU","2","$32,000,000","$16,000,000",""
"T11","Lance Lynn","SP/SP1","32.2","7.119","R","NYY","TEX","3","$30,000,000","$10,000,000",""
"T11","Jeurys Familia","RP/CL","29.8","6.029","R/R","OAK","NYM","3","$30,000,000","$10,000,000",""
"T11","Charlie Morton","SP/SP2","35.8","10.009","R/R","HOU","TB","2","$30,000,000","$15,000,000",""
"T11","Lance Lynn","SP/SP1","32.2","7.119","R","NYY","TEX","3","$30,000,000","$10,000,000",""
"15","Adam Ottavino","RP/SU8","33.8","7.087","R","COL","NYY","3","$27,000,000","$9,000,000",""
"T16","Joe Kelly","RP","31.2","6.029","R/R","BOS","LAD","3","$25,000,000","$8,333,333",""
"T16","Andrew Miller","RP","34.2","10.062","L/L","CLE","STL","2","$25,000,000","$12,500,000",""
"T18","D.J. LeMahieu","2B/DH","31.1","6.128","R/R","COL","NYY","2","$24,000,000","$12,000,000",""
"T18","Daniel Murphy","1B","34.3","9.109","L/R","CHC","COL","2","$24,000,000","$12,000,000",""
"T20","Josh Donaldson","3B","33.7","6.158","R/R","CLE","ATL","1","$23,000,000","$23,000,000",""
"T20","David Robertson","RP/CL","34.3","10.070","R/R","NYY","PHI","2","$23,000,000","$11,500,000",""
"22","Dallas Keuchel","SP/SP4","31.6","6.089","L/L","HOU","ATL","1","$21,210,000","$21,210,000",""
"23","Marwin Gonzalez","3B","30.4","6.133","R","HOU","MIN","2","$21,000,000","$10,500,000",""
"24","Jed Lowrie","2B","35.3","10.111","R","OAK","NYM","2","$20,000,000","$10,000,000",""
"T25","Aníbal Sánchez","SP","35.4","12.099","R/R","","WSH","2","$19,000,000","$9,500,000",""
"T25","Wilson Ramos","C","32.0","8.047","R/R","PHI","NYM","2","$19,000,000","$9,500,000",""
"T25","Aníbal Sánchez","SP","35.4","12.099","R/R","","WSH","2","$19,000,000","$9,500,000",""
"28","Yasmani Grandal","C","30.8","6.115","R","LAD","MIL","1","$18,250,000","$18,250,000",""
