"RANK","PLAYER (603)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","284","$2,791,027,000","$9,827,560",""
"1","Gerrit Cole","SP/SP1","29.9","6.111","R/R","HOU","NYY","9","$324,000,000","$36,000,000",""
"T2","Stephen Strasburg","SP/SP1","32.1","9.118","R/R","WSH","WSH","7","$245,000,000","$35,000,000",""
"T2","Anthony Rendon","3B","30.2","6.130","R/R","WSH","LAA","7","$245,000,000","$35,000,000",""
"4","Zack Wheeler","SP/SP1","30.2","6.098","L/R","NYM","PHI","5","$118,000,000","$23,600,000",""
"T5","Josh Donaldson","3B","34.7","7.158","R/R","ATL","MIN","4","$92,000,000","$23,000,000",""
"T5","Josh Donaldson","3B","34.7","7.158","R/R","ATL","MIN","4","$92,000,000","$23,000,000",""
"7","Madison Bumgarner","SP/SP1","31.0","9.127","R/L","SF","ARI","5","$85,000,000","$17,000,000",""
"8","Hyun-Jin Ryu","SP/SP3","33.4","7.000","R/L","LAD","TOR","4","$80,000,000","$20,000,000",""
"T9","Yasmani Grandal","C","31.8","7.115","R","MIL","CHW","4","$73,000,000","$18,250,000",""
"T9","Yasmani Grandal","C","31.8","7.115","R","MIL","CHW","4","$73,000,000","$18,250,000",""
"T11","Nick Castellanos","DH/RF","28.4","6.029","R/R","CHC","CIN","4","$64,000,000","$16,000,000",""
"T11","Mike Moustakas","3B","31.9","8.111","L/R","MIL","CIN","4","$64,000,000","$16,000,000",""
"T11","Mike Moustakas","3B","31.9","8.111","L/R","MIL","CIN","4","$64,000,000","$16,000,000",""
"T14","Dallas Keuchel","SP/SP4","32.6","7.019","L/L","ATL","CHW","3","$55,500,000","$18,500,000",""
"T14","Dallas Keuchel","SP/SP4","32.6","7.019","L/L","ATL","CHW","3","$55,500,000","$18,500,000",""
"16","Will Smith","RP/CL","31.1","6.155","R/L","SF","ATL","3","$40,000,000","$13,333,333",""
"T17","Drew Pomeranz","RP","31.8","7.013","R/L","MIL","SD","4","$34,000,000","$8,500,000",""
"T17","Drew Pomeranz","RP","31.8","7.013","R/L","MIL","SD","4","$34,000,000","$8,500,000",""
"19","Kyle Gibson","SP/SP4","32.8","6.039","R/R","MIN","TEX","3","$28,000,000","$9,333,333",""
"T20","Will Harris","RP","35.9","6.102","R/R","HOU","WSH","3","$24,000,000","$8,000,000",""
"T20","Tanner Roark","SP","33.8","6.055","R/R","OAK","TOR","2","$24,000,000","$12,000,000",""
"T22","Michael Pineda","SP","31.6","8.090","R/R","MIN","MIN","2","$20,000,000","$10,000,000",""
"T22","Avisaíl García","RF","29.2","6.166","R/R","TB","MIL","2","$20,000,000","$10,000,000",""
"T22","Michael Pineda","SP","31.6","8.090","R/R","MIN","MIN","2","$20,000,000","$10,000,000",""
"T22","Avisaíl García","RF","29.2","6.166","R/R","TB","MIL","2","$20,000,000","$10,000,000",""
"T26","Cole Hamels","SP/SP2","36.6","13.143","L/L","CHC","ATL","1","$18,000,000","$18,000,000",""
"T26","Marcell Ozuna","DH/LF","29.8","6.124","R/R","STL","ATL","1","$18,000,000","$18,000,000",""
"T28","Jose Abreu","1B/DH","33.5","6.000","R/R","CHW","CHW","1","$17,800,000","$17,800,000",""
"T28","Jose Abreu","1B/DH","33.5","6.000","R/R","CHW","CHW","1","$17,800,000","$17,800,000",""
"30","Corey Dickerson","LF","31.2","6.101","L/R","PHI","MIA","2","$17,500,000","$8,750,000",""
"T31","Kole Calhoun","RF/LF","32.8","6.130","L/L","LAA","ARI","2","$16,000,000","$8,000,000",""
"T31","Jordan Lyles","SP","29.8","8.002","R/R","MIL","TEX","2","$16,000,000","$8,000,000",""
"T31","Travis d'Arnaud","C","31.5","6.044","R/R","TB","ATL","2","$16,000,000","$8,000,000",""
"T31","Jordan Lyles","SP","29.8","8.002","R/R","MIL","TEX","2","$16,000,000","$8,000,000",""
"T31","Travis d'Arnaud","C","31.5","6.044","R/R","TB","ATL","2","$16,000,000","$8,000,000",""
"T36","Wade Miley","SP/SP2","33.8","8.025","L/L","HOU","CIN","2","$15,000,000","$7,500,000",""
"T36","Wade Miley","SP/SP2","33.8","8.025","L/L","HOU","CIN","2","$15,000,000","$7,500,000",""
"T38","Didi Gregorius","SS","30.5","6.159","L/R","NYY","PHI","1","$14,000,000","$14,000,000",""
"T38","Chris Martin","RP/SU8","34.2","2.133","R/R","ATL","ATL","2","$14,000,000","$7,000,000",""
"T38","Chris Martin","RP/SU8","34.2","2.133","R/R","ATL","ATL","2","$14,000,000","$7,000,000",""
"41","Brett Gardner","LF/CF","37.0","11.072","L/L","NYY","NYY","1","$12,500,000","$12,500,000",""
