"RANK","PLAYER (560)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","258","$1,813,065,000","$7,027,384",""
"1","Eric Hosmer","1B","28.8","6.146","L/L","KC","SD","8","$144,000,000","$18,000,000",""
"2","Yu Darvish","SP/SP2","32.0","6.000","R/R","LAD","CHC","6","$126,000,000","$21,000,000",""
"3","J.D. Martinez","DH/RF","31.0","6.036","R/R","ARI","BOS","5","$110,000,000","$22,000,000",""
"4","Lorenzo Cain","CF","32.3","6.074","R/R","KC","MIL","5","$80,000,000","$16,000,000",""
"5","Jake Arrieta","SP/SP1","32.4","6.145","R/R","CHC","PHI","3","$75,000,000","$25,000,000",""
"6","Carlos Santana","1B/DH","32.3","7.115","R","CLE","PHI","3","$60,000,000","$20,000,000",""
"7","Alex Cobb","SP/SP4","30.8","6.061","R/R","TB","BAL","4","$57,000,000","$14,250,000",""
"8","Wade Davis","RP","32.9","8.032","R/R","CHC","COL","3","$52,000,000","$17,333,333",""
"9","Jay Bruce","RF/RF","31.3","9.125","L/L","CLE","NYM","3","$39,000,000","$13,000,000",""
"T10","Zack Cozart","3B","33.0","2.084","R/R","CIN","LAA","3","$38,000,000","$12,666,667",""
"T10","Tyler Chatwood","RP","28.7","6.039","R/R","COL","CHC","3","$38,000,000","$12,666,667",""
"T12","Mike Minor","SP/SP1","30.7","6.138","R/L","KC","TEX","3","$28,000,000","$9,333,333",""
"T12","Mike Minor","SP/SP1","30.7","6.138","R/L","KC","TEX","3","$28,000,000","$9,333,333",""
"T14","Jake McGee","RP/SU8","32.0","6.127","L/L","COL","COL","3","$27,000,000","$9,000,000",""
"T14","Bryan Shaw","RP","30.8","6.081","R","CLE","COL","3","$27,000,000","$9,000,000",""
"T16","Brandon Morrow","RP","34.1","9.086","R/R","LAD","CHC","2","$21,000,000","$10,500,000",""
"T16","Brandon Morrow","RP","34.1","9.086","R/R","LAD","CHC","2","$21,000,000","$10,500,000",""
"T18","Tommy Hunter","RP","32.1","8.090","R/R","TB","PHI","2","$18,000,000","$9,000,000",""
"T18","Tommy Hunter","RP","32.1","8.090","R/R","TB","PHI","2","$18,000,000","$9,000,000",""
"T20","Juan Nicasio","RP","31.9","6.084","R/R","STL","SEA","2","$17,000,000","$8,500,000",""
"T20","Todd Frazier","3B","32.5","6.071","R/R","NYY","NYM","2","$17,000,000","$8,500,000",""
"T20","Juan Nicasio","RP","31.9","6.084","R/R","STL","SEA","2","$17,000,000","$8,500,000",""
"23","Addison Reed","RP","29.6","6.001","L/R","BOS","MIN","2","$16,750,000","$8,375,000",""
"T24","Pat Neshek","RP","37.9","5.159","R","COL","PHI","2","$16,200,000","$8,100,000",""
"T24","Pat Neshek","RP","37.9","5.159","R","COL","PHI","2","$16,200,000","$8,100,000",""
"T26","Yonder Alonso","1B","31.3","6.116","L/R","SEA","CLE","2","$16,000,000","$8,000,000",""
"T26","Jason Vargas","SP/SP5","35.5","","L/L","KC","NYM","2","$16,000,000","$8,000,000",""
"T26","Andrew Cashner","RP","31.9","7.126","R/R","TEX","BAL","2","$16,000,000","$8,000,000",""
"T26","Andrew Cashner","RP","31.9","7.126","R/R","TEX","BAL","2","$16,000,000","$8,000,000",""
"T30","Jhoulys Chacin","SP","30.6","7.054","R/R","SD","MIL","2","$15,500,000","$7,750,000",""
"T30","Jhoulys Chacin","SP","30.6","7.054","R/R","SD","MIL","2","$15,500,000","$7,750,000",""
"T32","Welington Castillo","C","31.3","6.009","R/R","BAL","CHW","2","$15,000,000","$7,500,000",""
"T32","Joe Smith","RP","34.4","10.091","R/R","CLE","HOU","2","$15,000,000","$7,500,000",""
"T32","Welington Castillo","C","31.3","6.009","R/R","BAL","CHW","2","$15,000,000","$7,500,000",""
"T32","Joe Smith","RP","34.4","10.091","R/R","CLE","HOU","2","$15,000,000","$7,500,000",""
"T36","Anthony Swarzak","RP","32.9","6.024","R/R","MIL","NYM","2","$14,000,000","$7,000,000",""
"T36","Greg Holland","RP","32.8","6.028","R/R","COL","STL","1","$14,000,000","$14,000,000",""
"T36","Anthony Swarzak","RP","32.9","6.024","R/R","MIL","NYM","2","$14,000,000","$7,000,000",""
"T36","Greg Holland","RP","32.8","6.028","R/R","COL","STL","1","$14,000,000","$14,000,000",""
"T40","Steve Cishek","RP","32.2","6.143","R/R","SEA","CHC","2","$13,000,000","$6,500,000",""
"T40","Mitch Moreland","1B/DH","32.9","7.067","L/L","BOS","BOS","2","$13,000,000","$6,500,000",""
"T40","Steve Cishek","RP","32.2","6.143","R/R","SEA","CHC","2","$13,000,000","$6,500,000",""
"T40","Mitch Moreland","1B/DH","32.9","7.067","L/L","BOS","BOS","2","$13,000,000","$6,500,000",""
"44","Lance Lynn","SP/SP1","31.2","6.119","R","STL","MIN","1","$12,000,000","$12,000,000",""
"T45","Luke Gregerson","RP","34.2","9.000","L/R","HOU","STL","2","$11,000,000","$5,500,000",""
"T45","Luke Gregerson","RP","34.2","9.000","L/R","HOU","STL","2","$11,000,000","$5,500,000",""
"T47","Michael Pineda","SP","29.6","6.099","R/R","NYY","MIN","2","$10,000,000","$5,000,000",""
"T47","CC Sabathia","","38.1","17.000","L/L","NYY","NYY","1","$10,000,000","$10,000,000",""
