"RANK","PLAYER (245)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","303","$1,737,330,000","$5,733,762",""
"1","Max Scherzer","SP/SP2","31.0","6.079","R/R","DET","WSH","7","$210,000,000","$30,000,000",""
"2","Jon Lester","SP","31.6","8.075","L/L","OAK","CHC","6","$155,000,000","$25,833,333",""
"3","Pablo Sandoval","3B","29.0","6.047","R","SF","BOS","5","$95,000,000","$19,000,000",""
"4","Hanley Ramirez","1B/DH","31.7","9.014","R/R","LAD","BOS","4","$88,000,000","$22,000,000",""
"5","Russell Martin","C","32.5","4.15","R/R","PIT","TOR","5","$82,000,000","$16,400,000",""
"6","James Shields","SP/SP1","33.7","8.125","R/R","KC","SD","4","$75,000,000","$18,750,000",""
"7","Yasmany Tomas","LF/OF","24.8","","R/R","CUB","ARI","6","$68,500,000","$11,416,667",""
"8","Nelson Cruz","DH","35.1","7.081","R/R","BAL","SEA","4","$57,000,000","$14,250,000",""
"9","Ervin Santana","SP/SP1","32.7","9.104","R/R","ATL","MIN","4","$55,000,000","$13,750,000",""
"10","Chase Headley","3B","31.2","6.123","R","NYY","NYY","4","$52,000,000","$13,000,000",""
"11","Brandon McCarthy","SP/SP3","32.1","2.122","R/R","NYY","LAD","4","$48,000,000","$12,000,000",""
"12","David Robertson","RP/CL","30.3","6.070","R/R","NYY","CHW","4","$46,000,000","$11,500,000",""
"13","Nick Markakis","RF","31.8","9.000","L/L","BAL","ATL","4","$44,000,000","$11,000,000",""
"14","Melky Cabrera","LF","31.0","8.148","L","TOR","CHW","3","$42,000,000","$14,000,000",""
"15","Francisco Liriano","RP","31.8","8.104","L/L","PIT","PIT","3","$39,000,000","$13,000,000",""
"16","Andrew Miller","RP","30.2","6.062","L/L","BAL","NYY","4","$36,000,000","$9,000,000",""
"17","Billy Butler","DH","29.3","0.102","R/R","KC","OAK","3","$30,000,000","$10,000,000",""
"18","Adam LaRoche","DH","35.8","11.000","L/L","WSH","CHW","2","$25,000,000","$12,500,000",""
"19","Jake Peavy","RP","34.2","4.101","R/R","SF","SF","2","$24,000,000","$12,000,000",""
"20","Jed Lowrie","2B","31.3","6.111","R","OAK","HOU","3","$23,000,000","$7,666,667",""
"21","Michael Cuddyer","","36.3","3.157","R/R","COL","NYM","2","$21,000,000","$10,500,000",""
"T22","Edinson Volquez","RP","32.1","7.059","R/R","PIT","KC","2","$20,000,000","$10,000,000",""
"T22","Jason Hammel","RP","32.9","7.153","R/R","OAK","CHC","2","$20,000,000","$10,000,000",""
"24","Luke Gregerson","RP","31.2","6.000","L/R","OAK","HOU","3","$18,500,000","$6,166,667",""
"25","Kendrys Morales","DH/1B","32.2","1.17","R","SEA","KC","2","$17,000,000","$8,500,000",""
"26","Mike Morse","LF/1B","33.4","","R/R","SF","MIA","2","$16,000,000","$8,000,000",""
"T27","Sergio Romo","RP","32.4","6.097","R/R","SF","SF","2","$15,000,000","$7,500,000",""
"T27","Zach Duke","","32.3","3.054","L/L","MIL","CHW","3","$15,000,000","$5,000,000",""
"29","Francisco Rodriguez","RP","33.6","11.115","R/R","MIL","MIL","2","$13,000,000","$6,500,000",""
"30","Pat Neshek","RP","34.9","2.159","R","STL","HOU","2","$12,500,000","$6,250,000",""
"31","Álex Ríos","RF","34.5","10.130","R/R","TEX","KC","1","$11,000,000","$11,000,000",""
"32","Torii Hunter","RF","40.1","6.132","R/R","DET","MIN","1","$10,500,000","$10,500,000",""
"T33","Brett Anderson","SP","27.5","6.000","L/L","COL","LAD","1","$10,000,000","$10,000,000",""
"T33","Luke Hochevar","","31.9","","R/R","KC","KC","2","$10,000,000","$5,000,000",""
"T35","Kris Medlen","SP","29.8","","R","ATL","KC","2","$8,500,000","$4,250,000",""
"T35","A.J. Burnett","SP/SP3","38.6","15.038","R/R","PHI","PIT","1","$8,500,000","$8,500,000",""
"T37","Colby Rasmus","LF","29.0","6.000","L/L","TOR","HOU","1","$8,000,000","$8,000,000",""
"T37","Jason Grilli","RP","38.8","2.016","R/R","LAA","ATL","2","$8,000,000","$4,000,000",""
"39","Asdrubal Cabrera","2B","29.8","7.027","R","WSH","TB","1","$7,500,000","$7,500,000",""
"40","Kevin Correia","SP","35.0","0.026999999999999","R/R","SF","PHI","1","$6,500,000","$6,500,000",""
"41","Nick Hundley","C","31.9","6.059","R/R","BAL","COL","2","$6,250,000","$3,125,000",""
"42","Kyle Kendrick","SP","31.0","6.159","R/R","PHI","COL","1","$5,500,000","$5,500,000",""
"T43","Casey Janssen","RP","33.9","0.063000000000001","R/R","TOR","WSH","1","$5,000,000","$5,000,000",""
"T43","David Ross","C","38.4","4.001","R/R","BOS","CHC","2","$5,000,000","$2,500,000",""
"T43","Aaron Harang","SP","37.2","4.061","R/R","ATL","PHI","1","$5,000,000","$5,000,000",""
"T43","Stephen Drew","2B/SS","32.4","2.038","L/R","NYY","NYY","1","$5,000,000","$5,000,000",""
"T43","Chris Capuano","","37.0","1.161","L/L","NYY","NYY","1","$5,000,000","$5,000,000",""
"48","Jason Motte","RP","33.2","6.027","R/R","STL","CHC","1","$4,500,000","$4,500,000",""
"T49","Emilio Bonifacio","CF","30.3","6.066","R","ATL","CHW","1","$4,000,000","$4,000,000",""
"T49","Jonny Gomes","LF/DH","34.8","1.097","R/R","OAK","ATL","1","$4,000,000","$4,000,000",""
"T49","Colby Lewis","SP/SP3","36.0","","R/R","TEX","TEX","1","$4,000,000","$4,000,000",""
"T49","Ryan Vogelsong","SP","38.1","0.02","R/R","SF","SF","1","$4,000,000","$4,000,000",""
"T49","Gavin Floyd","RP","32.5","1.045","R/R","ATL","CLE","1","$4,000,000","$4,000,000",""
"54","Daniel Descalso","2B/LF","28.8","4.016","L/R","STL","COL","2","$3,600,000","$1,800,000",""
"55","Matt Belisle","RP","35.2","9.019","R/R","COL","STL","1","$3,500,000","$3,500,000",""
"T56","Alberto Callaspo","3B/SS","32.3","7.135","R","OAK","ATL","1","$3,000,000","$3,000,000",""
"T56","Neal Cotts","RP","35.4","","L/L","TEX","MIL","1","$3,000,000","$3,000,000",""
"58","Brandon Beachy","SP/SP5","28.9","","R/R","ATL","LAD","1","$2,750,000","$2,750,000",""
"T59","Chris Denorfia","","35.1","","R/R","SEA","CHC","1","$2,600,000","$2,600,000",""
"T59","Roberto Hernandez","","34.9","","R/R","LAA","HOU","1","$2,600,000","$2,600,000",""
"T59","John Axford","RP","32.3","4.170","R/R","PIT","COL","1","$2,600,000","$2,600,000",""
"T62","Burke Badenhop","RP","32.5","","R/R","BOS","CIN","1","$2,500,000","$2,500,000",""
"T62","Brandon Morrow","RP","31.1","7.091","R/R","TOR","SD","1","$2,500,000","$2,500,000",""
"T62","Corey Hart","RF","33.4","1.038","R/R","SEA","PIT","1","$2,500,000","$2,500,000",""
"T62","Johan Santana","SP","36.4","14.122","L/L","BAL","TOR","1","$2,500,000","$2,500,000",""
"66","Everth Cabrera","SS","28.8","","R","SD","BAL","1","$2,400,000","$2,400,000",""
"T67","Phil Coke","RP","33.1","","L/L","DET","CHC","1","$2,250,000","$2,250,000",""
"T67","Delmon Young","LF/DH","29.9","","R/R","BAL","BAL","1","$2,250,000","$2,250,000",""
"T67","Delmon Young","LF/DH","29.9","","R/R","BAL","BAL","1","$2,250,000","$2,250,000",""
"70","Tim Stauffer","RP","33.2","","R/R","SD","MIN","1","$2,200,000","$2,200,000",""
"T71","Gordon Beckham","2B","28.9","5.123","R/R","LAA","CHW","1","$2,000,000","$2,000,000",""
"T71","Craig Breslow","RP","35.0","7.088","L/L","BOS","BOS","1","$2,000,000","$2,000,000",""
"T71","Jared Burton","RP","34.2","","R/R","MIN","NYY","1","$2,000,000","$2,000,000",""
"T71","Ichiro Suzuki","","41.8","14.000","L/R","NYY","MIA","1","$2,000,000","$2,000,000",""
"T71","Carlos Villanueva","RP","31.7","0.029999999999999","R/R","CHC","STL","1","$2,000,000","$2,000,000",""
"T71","Eric Stults","SP","35.7","","L/L","SD","ATL","1","$2,000,000","$2,000,000",""
"T71","Mark Reynolds","3B/1B","32.0","1.138","R/R","MIL","STL","1","$2,000,000","$2,000,000",""
"T71","A.J. Pierzynski","","38.6","14.100","L/R","STL","ATL","1","$2,000,000","$2,000,000",""
"T71","Rickie Weeks","1B","32.9","2.036","R/R","MIL","SEA","1","$2,000,000","$2,000,000",""
"80","Franklin Morales","RP","29.6","","L/L","COL","KC","1","$1,850,000","$1,850,000",""
"T81","Ryan Ludwick","LF","37.1","0.109","R/L","CIN","TEX","1","$1,750,000","$1,750,000",""
"T81","Nate Schierholtz","RF","31.5","","L/R","WSH","TEX","1","$1,750,000","$1,750,000",""
"83","Wesley Wright","RP","30.5","","R/L","CHC","BAL","1","$1,700,000","$1,700,000",""
"84","Jim Johnson","RP","32.1","6.161","R/R","DET","ATL","1","$1,600,000","$1,600,000",""
"T85","Alexi Ogando","RP","31.8","","R/R","TEX","BOS","1","$1,500,000","$1,500,000",""
"T85","Chad Billingsley","SP","31.0","0.1","R/R","LAD","PHI","1","$1,500,000","$1,500,000",""
"T85","Clint Barmes","SS","36.4","0.122","R/R","PIT","SD","1","$1,500,000","$1,500,000",""
"T85","Geovany Soto","C","32.6","1.096","R/R","OAK","CHW","1","$1,500,000","$1,500,000",""
"T85","Matt Albers","RP","32.6","3.141","L/R","HOU","CHW","1","$1,500,000","$1,500,000",""
"T85","Scott Baker","SP","33.9","8.099","R/R","TEX","NYY","1","$1,500,000","$1,500,000",""
"T85","Kevin Gregg","RP","37.2","1.002","R/R","MIA","CIN","1","$1,500,000","$1,500,000",""
"T85","Kelly Johnson","2B","33.5","1.172","L/R","BAL","ATL","1","$1,500,000","$1,500,000",""
"T85","Joe Beimel","RP","38.3","1.153","L/L","SEA","TEX","1","$1,500,000","$1,500,000",""
"T85","Chris Pérez","RP","30.1","","R/R","LAD","MIL","1","$1,500,000","$1,500,000",""
"95","John Mayberry Jr.","RF","31.7","","R/R","TOR","NYM","1","$1,450,000","$1,450,000",""
"96","Don Kelly","","35.5","","L/R","DET","MIA","1","$1,250,000","$1,250,000",""
"97","Ramon Santiago","2B/SS","35.9","1.095","R","CIN","TOR","1","$1,100,000","$1,100,000",""
"T98","Joe Thatcher","","33.8","","L/L","LAA","HOU","1","$1,000,000","$1,000,000",""
"T98","Justin Smoak","1B","28.7","4.077","L","TOR","TOR","1","$1,000,000","$1,000,000",""
"T98","Kyle Blanks Minor","LF/1B","28.9","","R/R","","TEX","1","$1,000,000","$1,000,000",""
"T98","Justin Maxwell","LF/RF","31.8","3.140","R/R","KC","SF","1","$1,000,000","$1,000,000",""
"T98","Gerald Laird","C","35.8","1.077","R/R","ATL","ARI","1","$1,000,000","$1,000,000",""
"T98","Tom Gorzelanny","RP","33.1","","R/L","MIL","DET","1","$1,000,000","$1,000,000",""
"T98","Matt Lindstrom","","35.5","","R/R","CHW","LAA","1","$1,000,000","$1,000,000",""
"T98","Eric Young Jr. Minor","CF","30.2","","R","","ATL","1","$1,000,000","$1,000,000",""
"T98","Josh Johnson","SP","31.5","0.026","L/R","SD","SD","1","$1,000,000","$1,000,000",""
"T98","Joba Chamberlain","RP","29.9","","R/R","DET","DET","1","$1,000,000","$1,000,000",""
"T98","Shaun Marcum","SP","33.7","","R/R","CLE","CLE","1","$1,000,000","$1,000,000",""
"T98","Jamey Wright","RP","40.7","7.086","R/R","LAD","TEX","1","$1,000,000","$1,000,000",""
