"RANK","PLAYER (117)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","175","$1,189,490,377","$6,797,088",""
"1","Albert Pujols","DH/1B","32.5","11.000","R/R","STL","LAA","10","$240,000,000","$24,000,000",""
"2","Prince Fielder","DH/1B","28.2","","L/R","MIL","DET","9","$214,000,000","$23,777,778",""
"3","Jose Reyes","SS/2B","29.2","2.052","R","NYM","MIA","6","$106,000,000","$17,666,667",""
"4","C.J. Wilson","","31.7","","L/L","TEX","LAA","5","$77,500,000","$15,500,000",""
"5","Mark Buehrle","SP/SP4","33.3","11.078","L/L","CHW","MIA","4","$58,000,000","$14,500,000",""
"6","Jonathan Papelbon","RP","31.7","","R/R","BOS","PHI","4","$50,000,000","$12,500,000",""
"7","Aramis Ramirez","3B","34.1","3.111","R/R","CHC","MIL","3","$36,000,000","$12,000,000",""
"8","Michael Cuddyer","","33.3","0.157","R/R","MIN","COL","3","$31,500,000","$10,500,000",""
"9","Heath Bell","RP","34.8","","","SD","MIA","3","$27,000,000","$9,000,000",""
"10","Carlos Beltrán","DH/RF","35.2","7.014","R","SF","STL","2","$26,000,000","$13,000,000",""
"11","Josh Willingham","LF","33.4","","","OAK","MIN","3","$21,000,000","$7,000,000",""
"T12","Joe Nathan","RP","37.7","2.12","R/R","MIN","TEX","2","$14,000,000","$7,000,000",""
"T12","Coco Crisp","","32.8","1.158","R","OAK","OAK","2","$14,000,000","$7,000,000",""
"T12","Rafael Furcal","SS/2B","34.8","2","R","STL","STL","2","$14,000,000","$7,000,000",""
"T15","Frank Francisco","RP","32.9","","","TOR","NYM","2","$12,000,000","$6,000,000",""
"T15","Aaron Harang","SP","34.2","1.061","R/R","SD","LAD","2","$12,000,000","$6,000,000",""
"T17","Aaron Hill","3B","30.3","","R/R","ARI","ARI","2","$11,000,000","$5,500,000",""
"T17","Edwin Jackson","SP/SP5","28.9","6.070","R/R","STL","WSH","1","$11,000,000","$11,000,000",""
"19","Clint Barmes","SS","33.4","","R/R","HOU","PIT","2","$10,500,000","$5,250,000",""
"T20","Chris Capuano","","33.9","","L/L","NYM","LAD","2","$10,000,000","$5,000,000",""
"T20","David DeJesus","LF/CF/RF","32.6","7.146","L/L","OAK","CHC","2","$10,000,000","$5,000,000",""
"22","Mark Ellis","2B","35.2","","","COL","LAD","2","$8,750,000","$4,375,000",""
"23","Omar Infante","2B","30.6","1.027","R/R","MIA","MIA","2","$8,000,000","$4,000,000",""
"24","Carlos Peña","1B","34.2","","","CHC","TB","1","$7,250,000","$7,250,000",""
"25","Jamey Carroll","2B/SS","38.4","","","LAD","MIN","2","$6,500,000","$3,250,000",""
"26","Ramón Hernández","C","36.2","1.099","","CIN","COL","2","$6,400,000","$3,200,000",""
"T27","Jerry Hairston Jr.","LF/3B","36.2","0.127","","MIL","LAD","2","$6,000,000","$3,000,000",""
"T27","Luke Scott","DH/1B","34.1","","","BAL","TB","1","$6,000,000","$6,000,000",""
"T29","Grady Sizemore","RF","30.0","","L/L","CLE","CLE","1","$5,000,000","$5,000,000",""
"T29","Roy Oswalt","SP","34.9","","","PHI","TEX","1","$5,000,000","$5,000,000",""
"T31","Matt Capps","","28.9","","","MIN","MIN","1","$4,500,000","$4,500,000",""
"T31","Juan Rivera","LF/1B","34.1","","","LAD","LAD","1","$4,500,000","$4,500,000",""
"33","Álex González","SS","35.4","2.099","","ATL","MIL","1","$4,250,000","$4,250,000",""
"T34","Rod Barajas","C","36.9","","","LAD","PIT","1","$4,000,000","$4,000,000",""
"T34","Chien-Ming Wang","RP","32.3","","","WSH","WSH","1","$4,000,000","$4,000,000",""
"T34","Freddy García","SP","35.8","0.06","","NYY","NYY","1","$4,000,000","$4,000,000",""
"T34","Ramon Santiago","2B/SS","32.9","","R","DET","DET","2","$4,000,000","$2,000,000",""
"T34","Jonathan Broxton","RP","28.1","","R/R","LAD","KC","1","$4,000,000","$4,000,000",""
"39","Willie Bloomquist","","34.7","0.029","R/R","ARI","ARI","2","$3,800,000","$1,900,000",""
"40","Jon Rauch","RP","7.1","","","TOR","NYM","1","$3,500,000","$3,500,000",""
"41","Ryan Theriot","2B/LF","32.7","","","STL","SF","1","$3,300,000","$3,300,000",""
"42","Wilson Betemit","3B/1B","30.8","","","DET","BAL","2","$3,250,000","$1,625,000",""
"T43","Octavio Dotel","RP","38.7","1.113","","STL","DET","1","$3,000,000","$3,000,000",""
"T43","LaTroy Hawkins","RP/CL","39.6","7.054","R/R","MIL","LAA","1","$3,000,000","$3,000,000",""
"T43","Casey Kotchman","1B","29.4","","","TB","CLE","1","$3,000,000","$3,000,000",""
"T43","Kerry Wood","RP","35.1","1.169","","CHC","CHC","1","$3,000,000","$3,000,000",""
"T43","Cody Ross","","31.6","6.058","R/L","SF","BOS","1","$3,000,000","$3,000,000",""
"T43","Greg Dobbs","1B","34.1","","","MIA","MIA","2","$3,000,000","$1,500,000",""
"T43","Ryan Ludwick","LF","34.0","","R/L","PIT","CIN","1","$3,000,000","$3,000,000",""
"50","Laynce Nix","RF/LF","31.8","","","WSH","PHI","2","$2,500,000","$1,250,000",""
"T51","Casey Blake","3B","37.9","","","COL","COL","1","$2,000,000","$2,000,000",""
"T51","Andruw Jones","LF/RF","35.2","15.047","","NYY","NYY","1","$2,000,000","$2,000,000",""
"53","Jose Molina","C","37.2","0.026","","TOR","TB","1","$1,800,000","$1,800,000",""
"54","Takashi Saito","RP","42.4","","","MIL","ARI","1","$1,750,000","$1,750,000",""
"T55","Joel Piñeiro","SP","33.8","","","LAA","PHI","1","$1,500,000","$1,500,000",""
"T55","Aaron Cook","SP","33.5","","","COL","BOS","1","$1,500,000","$1,500,000",""
"T55","Endy Chavez","LF/CF","34.5","","L/L","TEX","BAL","1","$1,500,000","$1,500,000",""
"T55","Vincent Padilla","RP","34.8","","","LAD","BOS","1","$1,500,000","$1,500,000",""
"T59","Todd Coffey","RP","31.9","","","WSH","LAD","1","$1,300,000","$1,300,000",""
"T59","Austin Kearns","LF/RF","32.2","","","CLE","MIA","1","$1,300,000","$1,300,000",""
"T61","Jim Thome","DH/1B","41.9","7.042","","CLE","PHI","1","$1,250,000","$1,250,000",""
"T61","Rick Ankiel","CF","33.0","","","WSH","WSH","1","$1,250,000","$1,250,000",""
"T61","Johnny Damon","","38.8","","","TB","CLE","1","$1,250,000","$1,250,000",""
"64","Henry Blanco","C","40.9","2.136","","ARI","ARI","1","$1,200,000","$1,200,000",""
"T65","Reed Johnson","","35.7","","R/R","CHC","CHC","1","$1,150,000","$1,150,000",""
"T65","Ronny Cedeno","SS/2B","29.5","","R/R","PIT","NYM","1","$1,150,000","$1,150,000",""
"T67","Scott Hairston","RF","32.2","","R/R","NYM","NYM","1","$1,100,000","$1,100,000",""
"T67","Raúl Ibañez","DH/LF","40.2","4.02","L/R","PHI","NYY","1","$1,100,000","$1,100,000",""
"T69","Tim Byrdak","RP","38.8","","","NYM","NYM","1","$1,000,000","$1,000,000",""
"T69","Kevin Kouzmanoff","3B","31.0","","R/R","NYM","KC","1","$1,000,000","$1,000,000",""
"T69","Félix Pié","CF","27.5","","","BAL","CLE","1","$1,000,000","$1,000,000",""
"T69","Jonny Gomes","LF/DH","31.7","","R/R","WSH","OAK","1","$1,000,000","$1,000,000",""
"T69","Jack Wilson","2B/SS","34.6","","","ATL","ATL","1","$1,000,000","$1,000,000",""
"T69","Guillermo Mota","RP","39.0","","","SF","SF","1","$1,000,000","$1,000,000",""
"T69","Ronny Paulino","C","31.2","","","NYM","BAL","1","$1,000,000","$1,000,000",""
"76","Luis Ayala","RP","34.6","","","NYY","BAL","1","$925,000","$925,000",""
"T77","Dan Wheeler","RP","34.7","","","BOS","CLE","1","$900,000","$900,000",""
"T77","Jamey Wright","RP","37.6","4.086","R/R","SEA","LAD","1","$900,000","$900,000",""
"T77","Eric Chávez","3B/1B","34.7","13.020","L/R","NYY","NYY","1","$900,000","$900,000",""
"T77","Hideki Matsui","DH/LF","38.2","","","OAK","TB","1","$900,000","$900,000",""
"T77","Zach Duke","","29.2","0.054","L/L","ARI","WSH","1","$900,000","$900,000",""
"T77","Chris Young","RP","33.2","5.045","R/R","NYM","NYM","1","$900,000","$900,000",""
"T77","Fred Lewis","LF","31.7","","","CIN","CLE","1","$900,000","$900,000",""
"T77","Dan Johnson","1B","33.0","","","TB","CHW","1","$900,000","$900,000",""
"85","Scott Linebrink","RP","36.0","","","ATL","STL","1","$850,000","$850,000",""
"T86","Willie Harris","LF","34.1","","","NYM","CIN","1","$800,000","$800,000",""
"T86","Brian Schneider","C","35.7","","","PHI","PHI","1","$800,000","$800,000",""
"T86","Dave Bush","SP","32.8","","","TEX","PHI","1","$800,000","$800,000",""
"T86","Juan Pierre","LF","34.9","1.056","","CHW","PHI","1","$800,000","$800,000",""
"T86","Adam Kennedy","2B","36.6","0.022","","SEA","LAD","1","$800,000","$800,000",""
"T86","Mark Derosa","3B/LF","37.4","","","SF","WSH","1","$800,000","$800,000",""
"T86","Dioner Navarro","C","28.5","","S/R","LAD","CIN","1","$800,000","$800,000",""
"T86","José López","3B/2B","28.7","","","MIA","CLE","1","$800,000","$800,000",""
"T94","Jared Burton","RP","31.2","","R/R","CIN","MIN","1","$750,000","$750,000",""
"T94","Miguel Batista","SP","41.4","1.1","","NYM","NYM","1","$750,000","$750,000",""
"T94","Chris Snyder","C","31.5","","","PIT","HOU","1","$750,000","$750,000",""
"97","Xavier Nady","1B/LF","33.7","","","ARI","WSH","1","$700,000","$700,000",""
"98","Jason Isringhausen","RP","39.9","3.03","","NYM","LAA","1","$650,000","$650,000",""
"99","Bill Hall","3B","32.6","","","SF","NYY","1","$600,000","$600,000",""
"T100","David Aardsma","RP","30.6","","","SEA","NYY","1","$500,000","$500,000",""
"T100","Andrew Brackman","RP","26.7","","","NYY","CIN","1","$500,000","$500,000",""
"T100","Brad Penny","SP/RP","34.2","1.148","R/R","DET","SF","1","$500,000","$500,000",""
"103","Brandon Inge","3B","35.2","","","DET","OAK","1","$414,066","$414,066",""
"104","Bobby Abreu","LF/RF","38.4","14.165","","LAA","LAD","1","$401,311","$401,311",""
"T105","Hideki Okajima","","36.6","","","BOS","NYY","1","$0","$0",""
"T105","Trever Miller","RP","39.2","","","TOR","BAL","1","$0","$0",""
"T105","Conor Jackson","1B","30.2","","","BOS","TEX","1","$0","$0",""
"T105","Russell Branyan","1B","36.6","","","LAA","NYY","1","$0","$0",""
"T105","Jon Garland","SP","32.8","","","LAD","CLE","1","$0","$0",""
"T105","Corey Patterson","RF","32.9","","","STL","MIL","1","$0","$0",""
"T105","Joe Beimel","RP","35.2","","L/L","PIT","TEX","1","$0","$0",""
"T105","Alex Cora","2B","38.8","0.129","","WSH","STL","1","$0","$0",""
"T105","Hiroki Kuroda","","37.5","","","LAD","NYY","0","$0","",""
"T105","Koyie Hill","C","33.4","","","CHC","STL","1","$0","$0",""
"T105","Wil Nieves","","34.8","","R/R","MIL","COL","1","$0","$0",""
"T105","Doug Slaten","RP","32.5","","","WSH","PIT","1","$0","$0",""
"T105","J.C. Gutiérrez Minor","RP","29.0","","R/R","","KC","0","$0","",""
