"RANK","PLAYER (1544)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","550","$6,526,913,332","$11,867,115",""
"1","Aaron Judge","CF","31.3","6.051","R/R","NYY","NYY","9","$360,000,000","$40,000,000",""
"2","Trea Turner","SS/CF","30.1","6.135","R/R","LAD","PHI","11","$300,000,000","$27,272,727",""
"3","Xander Bogaerts","SS/SS","30.8","9.042","R/R","BOS","SD","11","$280,000,000","$25,454,545",""
"T4","Carlos Correa","SS/SS","28.9","7.119","R/R","MIN","MIN","6","$200,000,000","$33,333,333",""
"T4","Carlos Correa","SS/SS","28.9","7.119","R/R","MIN","MIN","6","$200,000,000","$33,333,333",""
"T4","Carlos Correa","SS/SS","28.9","7.119","R/R","MIN","MIN","6","$200,000,000","$33,333,333",""
"7","Jacob deGrom","SP/SP1","35.2","8.139","L/R","NYM","TEX","5","$185,000,000","$37,000,000",""
"8","Dansby Swanson","SS","29.5","6.047","R/R","ATL","CHC","7","$177,000,000","$25,285,714",""
"T9","Carlos Rodon","SP","30.7","7.168","L/L","SF","NYY","6","$162,000,000","$27,000,000",""
"T9","Brandon Nimmo","CF","30.3","6.042","L/R","NYM","NYM","8","$162,000,000","$20,250,000",""
"T9","Carlos Rodon","SP","30.7","7.168","L/L","SF","NYY","6","$162,000,000","$27,000,000",""
"T9","Carlos Rodon","SP","30.7","7.168","L/L","SF","NYY","6","$162,000,000","$27,000,000",""
"13","Edwin Diaz","RP/CL","29.4","6.121","R/R","NYM","NYM","5","$102,000,000","$20,400,000",""
"T14","Masataka Yoshida","LF/OF","30.1","","L/R","JPN","BOS","5","$90,000,000","$18,000,000",""
"T14","Masataka Yoshida","LF/OF","30.1","","L/R","JPN","BOS","5","$90,000,000","$18,000,000",""
"T14","Masataka Yoshida","LF/OF","30.1","","L/R","JPN","BOS","5","$90,000,000","$18,000,000",""
"T14","Masataka Yoshida","LF/OF","30.1","","L/R","JPN","BOS","5","$90,000,000","$18,000,000",""
"T14","Masataka Yoshida","LF/OF","30.1","","L/R","JPN","BOS","5","$90,000,000","$18,000,000",""
"19","Willson Contreras","C","31.2","6.108","R/R","CHC","STL","5","$87,500,000","$17,500,000",""
"T20","Justin Verlander","SP/SP1","40.5","17.002","R/R","HOU","NYM","2","$86,666,666","$43,333,333",""
"T20","Justin Verlander","SP/SP1","40.5","17.002","R/R","HOU","NYM","2","$86,666,666","$43,333,333",""
"T22","Andrew Benintendi","LF","29.1","6.062","L/L","NYY","CHW","5","$75,000,000","$15,000,000",""
"T22","Kodai Senga","SP","30.5","","L/R","JPN","NYM","5","$75,000,000","$15,000,000",""
"T22","Kodai Senga","SP","30.5","","L/R","JPN","NYM","5","$75,000,000","$15,000,000",""
"T22","Kodai Senga","SP","30.5","","L/R","JPN","NYM","5","$75,000,000","$15,000,000",""
"T22","Kodai Senga","SP","30.5","","L/R","JPN","NYM","5","$75,000,000","$15,000,000",""
"T27","Taijuan Walker","SP/SP3","31.0","8.142","R/R","NYM","PHI","4","$72,000,000","$18,000,000",""
"T27","Taijuan Walker","SP/SP3","31.0","8.142","R/R","NYM","PHI","4","$72,000,000","$18,000,000",""
"29","Jameson Taillon","SP","31.8","6.110","R/R","NYY","CHC","4","$68,000,000","$17,000,000",""
"30","Chris Bassitt","SP/SP1","34.5","6.130","R/R","NYM","TOR","3","$63,000,000","$21,000,000",""
"31","Jose Abreu","1B/DH","36.5","9.000","R/R","CHW","HOU","3","$58,500,000","$19,500,000",""
"T32","Robert Suarez","RP/RP","32.4","1.000","R/R","SD","SD","5","$46,000,000","$9,200,000",""
"T32","Robert Suarez","RP/RP","32.4","1.000","R/R","SD","SD","5","$46,000,000","$9,200,000",""
"T32","Robert Suarez","RP/RP","32.4","1.000","R/R","SD","SD","5","$46,000,000","$9,200,000",""
