"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Age","Age","Weight","Height",""
"","Trevor Bauer","2021","SP","LAD","$28,000,000","$3,333,333","$31,333,333","$31,333,333","0.118","$38,000,000","$34,000,000","3","$102,000,000","$77,877,314","2024","29","30","205","6'1""",""
"","Clayton Kershaw","2021","SP","LAD","$23,333,334","$7,666,666","$31,000,000","$31,000,000","0.117","$23,333,334","$31,000,000","3","$93,000,000","$251,176,411","2022","30","33","225","6'4""",""
"","Miguel Cabrera","2021","DH","DET","$30,000,000","$0","$30,000,000","$30,000,000","0.347","$30,000,000","$31,000,000","8","$248,000,000","$321,188,684","2024","32","38","249","6'4""",""
"","Chris Sale","2021","SP","BOS","$30,000,000","$0","$30,000,000","$20,000,000","0.107","$20,000,000","$29,000,000","5","$145,000,000","$89,195,275","2025","29","32","183","6'6""",""
"","Giancarlo Stanton","2021","DH","NYY","$29,000,000","$0","$29,000,000","$29,000,000","0.141","$19,000,000","$25,000,000","13","$325,000,000","$118,345,578","2029","25","31","245","6'6""",""
"","Jose Altuve","2021","2B","HOU","$26,000,000","$3,000,000","$29,000,000","$29,000,000","0.150","$26,000,000","$23,357,143","7","$163,500,000","$82,945,289","2025","27","31","166","5'6""",""
"","Bryce Harper","2021","RF","PHI","$26,000,000","$1,538,462","$28,088,462","$28,088,462","0.142","$26,550,000","$25,384,615","13","$330,000,000","$118,429,629","2032","26","28","220","6'3""",""
"","Anthony Rendon","2021","3B","LAA","$27,500,000","$571,428","$28,071,428","$28,071,428","0.156","$27,500,000","$35,000,000","7","$245,000,000","$91,244,444","2027","29","31","200","6'1""",""
"","Paul Goldschmidt","2021","1B","STL","$22,000,000","$4,000,000","$26,000,000","$26,000,000","0.172","$26,000,000","$26,000,000","5","$130,000,000","$84,858,606","2025","32","33","220","6'3""",""
"","Joey Votto","2021","1B","CIN","$25,000,000","$0","$25,000,000","$25,000,000","0.198","$25,000,000","$22,500,000","10","$225,000,000","$192,542,838","2025","30","37","220","6'2""",""
"","Patrick Corbin","2021","SP","WSH","$24,000,000","$416,666","$24,416,666","$24,416,666","0.169","$24,000,000","$23,333,333","6","$140,000,000","$62,270,452","2025","29","31","220","6'4""",""
"","George Springer","2021","CF","TOR","$22,000,000","$1,666,667","$23,666,666","$23,666,666","0.158","$32,000,000","$25,000,000","6","$150,000,000","$71,688,897","2027","31","31","221","6'3""",""
"","Jason Heyward","2021","RF","CHC","$21,000,000","$2,500,000","$23,500,000","$23,500,000","0.163","$21,000,000","$23,000,000","8","$184,000,000","$126,889,278","0","26","31","240","6'5""",""
"","Yu Darvish","2021","SP","SD","$23,000,000","$0","$23,000,000","$19,000,000","0.106","$23,000,000","$21,000,000","6","$126,000,000","$138,355,991","2024","31","34","220","6'5""",""
"","Justin Upton","2021","LF","LAA","$23,000,000","$0","$23,000,000","$23,000,000","0.128","$23,000,000","$21,200,000","5","$106,000,000","$153,062,778","2023","30","33","215","6'1""",""
"","Zack Wheeler","2021","SP","PHI","$22,500,000","$0","$22,500,000","$22,500,000","0.114","$22,500,000","$23,600,000","5","$118,000,000","$44,305,242","2025","29","31","195","6'4""",""
"","Mookie Betts","2021","RF","LAD","$17,500,000","$5,000,000","$22,500,000","$22,500,000","0.085","$14,500,000","$30,416,667","12","$365,000,000","$75,134,598","2033","28","28","180","5'9""",""
"","Wil Myers","2021","LF","SD","$20,000,000","$2,500,000","$22,500,000","$22,500,000","0.125","$20,000,000","$13,833,333","6","$83,000,000","$53,233,776","2024","26","30","207","6'3""",""
"","Freddie Freeman","2021","1B","ATL","$22,000,000","$359,375","$22,409,375","$22,409,375","0.147","$22,050,000","$16,875,000","8","$135,000,000","$123,739,279","2022","24","31","220","6'5""",""
"","Buster Posey","2021","C","SF","$21,400,000","$777,777","$22,202,777","$22,202,777","0.129","$21,425,000","$19,875,000","8","$159,000,000","$153,910,967","0","25","34","210","6'1""",""
"","Charlie Blackmon","2021","RF","COL","$21,000,000","$333,333","$21,333,333","$21,333,333","0.183","$21,000,000","$18,000,000","6","$108,000,000","$90,545,937","2024","31","35","221","6'3""",""
"","Eric Hosmer","2021","1B","SD","$20,000,000","$1,000,000","$21,000,000","$21,000,000","0.117","$20,000,000","$18,000,000","8","$144,000,000","$109,752,157","2026","28","31","226","6'4""",""
"","Josh Donaldson","2021","3B","MIN","$21,000,000","$0","$21,000,000","$21,000,000","0.175","$21,000,000","$23,000,000","4","$92,000,000","$108,667,798","2025","34","35","210","6'1""",""
"","Xander Bogaerts","2021","SS","BOS","$20,000,000","$0","$20,000,000","$20,000,000","0.107","$20,000,000","$20,000,000","6","$120,000,000","$53,190,366","2027","26","28","218","6'2""",""
"","J.T. Realmuto","2021","C","PHI","$20,000,000","$0","$20,000,000","$10,000,000","0.051","$10,000,000","$23,100,000","5","$115,500,000","$24,776,864","2026","29","30","210","6'1""",""
"","Kenley Jansen","2021","RP/CL","LAD","$20,000,000","$0","$20,000,000","$20,000,000","0.075","$20,000,000","$16,000,000","5","$80,000,000","$92,615,505","2022","29","33","265","6'5""",""
"","Hyun-Jin Ryu","2021","SP","TOR","$20,000,000","$0","$20,000,000","$20,000,000","0.133","$20,000,000","$20,000,000","4","$80,000,000","$81,382,407","2024","32","34","255","6'3""",""
"","Kris Bryant","2021","3B","SF","$19,500,000","$0","$19,500,000","$6,814,535","0.040","$6,814,535","$19,500,000","1","$19,500,000","$59,020,737","0","28","29","230","6'5""",""
"","J.D. Martinez","2021","DH","BOS","$19,350,000","$0","$19,350,000","$19,350,000","0.103","$19,350,000","$22,000,000","5","$110,000,000","$99,071,096","2023","30","33","230","6'3""",""
"","Madison Bumgarner","2021","SP","ARI","$19,000,000","$0","$19,000,000","$14,000,000","0.154","$19,000,000","$17,000,000","5","$85,000,000","$83,182,222","2025","30","31","257","6'4""",""
"","Kevin Gausman","2021","SP","SF","$18,900,000","$0","$18,900,000","$18,900,000","0.110","$18,900,000","$18,900,000","1","$18,900,000","$42,094,346","2022","29","30","190","6'3""",""
"","Marcus Stroman","2021","SP","NYM","$18,900,000","$0","$18,900,000","$18,900,000","0.094","$18,900,000","$18,900,000","1","$18,900,000","$40,463,544","2022","29","30","180","5'7""",""
"","Evan Longoria","2021","3B","SF","$18,500,000","$0","$18,500,000","$16,500,000","0.096","$16,500,000","$16,666,667","6","$100,000,000","$116,352,890","0","31","35","215","6'1""",""
"","Matt Carpenter","2021","3B","STL","$18,500,000","$0","$18,500,000","$18,500,000","0.122","$18,500,000","$19,500,000","2","$39,000,000","$78,423,996","2023","33","35","210","6'4""",""
"","Trevor Story","2021","SS","COL","$17,500,000","$1,000,000","$18,500,000","$18,500,000","0.159","$17,500,000","$13,750,000","2","$27,500,000","$29,980,463","0","27","28","213","6'2""",""
"","Kyle Seager","2021","3B","SEA","$18,000,000","$500,000","$18,500,000","$18,500,000","0.221","$18,000,000","$14,285,714","7","$100,000,000","$104,385,300","2022","27","33","210","6'0""",""
"","Yasmani Grandal","2021","C","CHW","$18,250,000","$0","$18,250,000","$18,250,000","0.130","$18,250,000","$18,250,000","4","$73,000,000","$65,718,259","2024","31","32","225","6'2""",""
"","Dallas Keuchel","2021","SP","CHW","$18,000,000","$0","$18,000,000","$18,000,000","0.128","$18,000,000","$18,500,000","3","$55,500,000","$77,584,347","2024","31","33","205","6'2""",""
"","A.J. Pollock","2021","LF","LAD","$15,000,000","$3,000,000","$18,000,000","$18,000,000","0.068","$15,000,000","$12,000,000","5","$60,000,000","$53,498,337","2023","31","33","210","6'1""",""
"","Marcus Semien","2021","SS","TOR","$18,000,000","$0","$18,000,000","$18,000,000","0.120","$18,000,000","$18,000,000","1","$18,000,000","$33,863,653","0","30","30","195","6'0""",""
"","Jose Abreu","2021","1B","CHW","$16,000,000","$1,666,666","$17,666,666","$17,666,666","0.125","$16,000,000","$16,666,667","3","$50,000,000","$99,044,074","0","32","34","235","6'3""",""
"","Aroldis Chapman","2021","RP","NYY","$15,000,000","$2,200,000","$17,200,000","$14,838,710","0.072","$14,838,709","$16,000,000","3","$48,000,000","$131,066,491","2023","31","33","218","6'4""",""
"","Brandon Belt","2021","1B","SF","$16,000,000","$1,200,000","$17,200,000","$17,200,000","0.100","$16,000,000","$14,560,000","5","$72,800,000","$76,927,998","0","28","33","235","6'4""",""
"","Nathan Eovaldi","2021","SP","BOS","$17,000,000","$0","$17,000,000","$17,000,000","0.091","$17,000,000","$17,000,000","4","$68,000,000","$55,065,197","2023","28","31","217","6'2""",""
"","Miles Mikolas","2021","SP","STL","$15,750,000","$1,000,000","$16,750,000","$16,750,000","0.111","$15,750,000","$17,000,000","4","$68,000,000","$42,757,656","2024","31","32","220","6'5""",""
"","Anthony Rizzo","2021","1B","NYY","$16,500,000","$0","$16,500,000","$0","0.000","$0","$5,857,143","7","$41,000,000","$62,565,422","0","23","31","240","6'3""",""
"","Dexter Fowler","2021","RF","LAA","$14,500,000","$2,000,000","$16,500,000","$1,750,000","0.010","$1,750,000","$16,500,000","5","$82,500,000","$106,575,370","2022","30","35","205","6'5""",""
"","Yusei Kikuchi","2021","SP","SEA","$15,000,000","$1,500,000","$16,500,000","$16,500,000","0.197","$15,000,000","$14,333,333","3","$43,000,000","$34,185,185","0","27","30","194","6'0""",""
"","Cody Bellinger","2021","CF","LAD","$16,100,000","$0","$16,100,000","$16,100,000","0.061","$16,100,000","$16,100,000","1","$16,100,000","$22,784,259","2024","25","25","203","6'4""",""
"","Craig Kimbrel","2021","RP/CL","CHW","$16,000,000","$0","$16,000,000","$5,591,430","0.040","$5,591,430","$14,333,333","3","$43,000,000","$88,275,188","0","30","33","215","6'0""",""
"","Marcell Ozuna","2021","LF","ATL","$16,000,000","$0","$16,000,000","$16,000,000","0.105","$14,279,569","$16,250,000","4","$65,000,000","$47,470,727","2026","30","30","225","6'1""",""
"","Michael Brantley","2021","LF","HOU","$16,000,000","$0","$16,000,000","$16,000,000","0.083","$16,000,000","$16,000,000","2","$32,000,000","$76,436,467","2023","33","34","209","6'2""",""
"","Lorenzo Cain","2021","CF","MIL","$17,000,000","$0","$16,000,000","$16,000,000","0.161","$16,000,000","$16,000,000","5","$80,000,000","$70,830,580","2023","31","35","214","6'2""",""
"","Danny Duffy","2021","SP","LAD","$15,500,000","$0","$15,500,000","$500,000","0.002","$500,000","$13,000,000","5","$65,000,000","$64,194,929","0","28","32","205","6'3""",""
"","Brandon Crawford","2021","SS","SF","$15,000,000","$200,000","$15,200,000","$15,200,000","0.088","$15,000,000","$12,500,000","6","$75,000,000","$70,889,183","0","28","34","227","6'2""",""
"","D.J. LeMahieu","2021","3B","NYY","$15,000,000","$0","$15,000,000","$15,000,000","0.073","$15,000,000","$15,000,000","6","$90,000,000","$50,237,660","2027","32","32","220","6'4""",""
"","Charlie Morton","2021","SP","ATL","$15,000,000","$0","$15,000,000","$15,000,000","0.098","$15,000,000","$15,000,000","1","$15,000,000","$80,653,564","2022","37","37","215","6'5""",""
"","Alex Cobb","2021","SP","LAA","$15,000,000","$0","$15,000,000","$5,000,000","0.028","$5,000,000","$14,250,000","4","$57,000,000","$51,095,287","0","30","33","205","6'3""",""
"","Salvador Perez","2021","C","KC","$13,000,000","$1,200,000","$14,200,000","$14,200,000","0.155","$13,000,000","$20,500,000","4","$82,000,000","$51,742,929","2027","30","31","255","6'3""",""
"","Nick Castellanos","2021","RF","CIN","$14,000,000","$0","$14,075,000","$13,849,496","0.109","$13,924,496","$16,000,000","4","$64,000,000","$43,942,249","2025","27","29","203","6'4""",""
"","Mike Moustakas","2021","3B","CIN","$14,000,000","$0","$14,000,000","$14,000,000","0.111","$14,000,000","$16,000,000","4","$64,000,000","$60,006,308","2025","31","32","225","6'0""",""
"","Kyle Hendricks","2021","SP","CHC","$14,000,000","$0","$14,000,000","$14,000,000","0.097","$14,000,000","$13,875,000","4","$55,500,000","$32,149,468","2024","29","31","190","6'3""",""
"","Christian Yelich","2021","LF","MIL","$14,000,000","$0","$14,000,000","$14,000,000","0.141","$14,000,000","$26,928,571","7","$188,500,000","$42,835,613","2030","28","29","195","6'3""",""
"","Corey Seager","2021","SS","LAD","$13,750,000","$0","$13,750,000","$13,750,000","0.052","$13,750,000","$13,750,000","1","$13,750,000","$24,690,784","0","26","27","215","6'4""",""
"","Zack Britton","2021","RP","NYY","$13,000,000","$0","$13,000,000","$13,000,000","0.063","$13,000,000","$13,000,000","3","$39,000,000","$65,931,918","2023","31","33","200","6'1""",""
"","Will Smith","2021","RP","ATL","$13,000,000","$0","$13,000,000","$13,000,000","0.085","$13,000,000","$13,333,333","3","$40,000,000","$30,322,101","2024","30","31","255","6'5""",""
"","Nelson Cruz","2021","DH","TB","$13,000,000","$0","$13,000,000","$5,102,116","0.072","$5,102,116","$13,000,000","1","$13,000,000","$118,257,784","2022","40","40","230","6'2""",""
"","Trea Turner","2021","SS","LAD","$13,000,000","$0","$13,000,000","$4,567,568","0.017","$4,567,568","$13,000,000","1","$13,000,000","$23,887,950","0","27","28","185","6'2""",""
"","Didi Gregorius","2021","SS","PHI","$12,000,000","$750,000","$12,750,000","$12,750,000","0.065","$12,000,000","$14,000,000","2","$28,000,000","$47,041,585","2023","30","31","205","6'3""",""
"","Alex Bregman","2021","3B","HOU","$11,000,000","$1,666,667","$12,666,666","$12,666,666","0.065","$11,000,000","$20,000,000","5","$100,000,000","$32,947,084","2025","24","27","192","6'0""",""
"","Starling Marte","2021","CF","OAK","$12,500,000","$0","$12,500,000","$205,489","0.002","$205,489","$5,166,667","6","$31,000,000","$44,342,076","0","25","32","195","6'1""",""
"","Michael Conforto","2021","RF","NYM","$12,250,000","$0","$12,250,000","$12,250,000","0.061","$12,250,000","$12,250,000","1","$12,250,000","$23,966,846","0","27","28","215","6'1""",""
"","Aaron Nola","2021","SP","PHI","$11,750,000","$500,000","$12,250,000","$12,250,000","0.062","$11,750,000","$11,250,000","4","$45,000,000","$25,856,353","2024","25","28","195","6'2""",""
"","Carlos Carrasco","2021","SP","NYM","$12,000,000","$0","$12,000,000","$12,000,000","0.060","$12,000,000","$11,750,000","4","$47,000,000","$48,953,465","2024","31","34","224","6'4""",""
"","Andrew Miller","2021","RP","STL","$12,000,000","$0","$12,000,000","$12,000,000","0.079","$12,000,000","$12,500,000","2","$25,000,000","$78,004,603","2021","32","36","200","6'7""",""
"","Carlos Correa","2021","SS","HOU","$11,700,000","$0","$11,700,000","$11,700,000","0.060","$11,700,000","$11,700,000","1","$11,700,000","$26,844,676","0","26","26","220","6'4""",""
"","Carlos Martinez","2021","SP","STL","$11,500,000","$200,000","$11,700,000","$11,700,000","0.077","$11,500,000","$10,200,000","5","$51,000,000","$46,974,569","2024","25","29","190","6'0""",""
"","Jeurys Familia","2021","RP","NYM","$11,000,000","$666,668","$11,666,668","$16,666,668","0.083","$10,000,000","$10,000,000","3","$30,000,000","$40,452,564","0","29","31","240","6'3""",""
"","Kevin Kiermaier","2021","CF","TB","$11,500,000","$166,666","$11,666,666","$11,666,666","0.165","$11,500,000","$8,916,667","6","$53,500,000","$34,162,095","2024","26","31","210","6'1""",""
"","Javier Baez","2021","SS","NYM","$11,650,000","$0","$11,650,000","$199,355","0.001","$199,355","$11,650,000","1","$11,650,000","$25,207,493","2022","28","28","190","6'0""",""
"","Kyle Gibson","2021","SP","PHI","$10,000,000","$0","$11,500,000","$11,500,000","0.058","$1,500,000","$9,333,333","3","$28,000,000","$34,932,074","2023","32","33","215","6'6""",""
"","Liam Hendriks","2021","RP/CL","CHW","$11,000,000","$333,333","$11,333,333","$11,333,333","0.080","$12,000,000","$18,000,000","3","$54,000,000","$20,819,843","2025","31","32","235","6'0""",""
"","Blake Snell","2021","SP","SD","$10,500,000","$600,000","$11,100,000","$11,100,000","0.062","$10,500,000","$10,000,000","5","$50,000,000","$19,035,897","2024","26","28","225","6'4""",""
"","Corey Kluber","2021","SP","NYY","$11,000,000","$0","$11,000,000","$11,000,000","0.054","$11,000,000","$11,000,000","1","$11,000,000","$62,635,150","2022","34","35","215","6'4""",""
"","Drew Smyly","2021","SP","ATL","$11,000,000","$0","$11,000,000","$11,000,000","0.072","$11,000,000","$11,000,000","1","$11,000,000","$38,545,155","2022","31","32","188","6'2""",""
"","Miguel Sano","2021","1B","MIN","$11,000,000","$0","$11,000,000","$11,000,000","0.092","$11,000,000","$10,000,000","3","$30,000,000","$19,757,744","2024","26","28","272","6'4""",""
"","Trevor Rosenthal","2021","RP","OAK","$11,000,000","$0","$11,000,000","$11,000,000","0.122","$3,000,000","$11,000,000","1","$11,000,000","$24,984,552","2022","30","31","230","6'2""",""
"","Aaron Hicks","2021","CF","NYY","$10,500,000","$285,714","$10,785,714","$10,785,714","0.052","$10,500,000","$10,000,000","7","$70,000,000","$29,946,435","2027","29","31","205","6'1""",""
"","Luis Severino","2021","SP","NYY","$10,250,000","$500,000","$10,750,000","$10,750,000","0.052","$10,250,000","$10,000,000","4","$40,000,000","$21,805,889","2024","24","27","215","6'2""",""
"","Avisail Garcia","2021","RF","MIL","$10,500,000","$250,000","$10,750,000","$10,750,000","0.108","$10,500,000","$10,000,000","2","$20,000,000","$33,565,538","2023","28","30","250","6'4""",""
"","Brad Hand","2021","RP","NYM","$10,500,000","$0","$10,500,000","$1,750,012","0.009","$1,750,012","$10,500,000","1","$10,500,000","$29,961,273","2022","30","31","224","6'3""",""
"","Andrelton Simmons","2021","SS","MIN","$10,500,000","$0","$10,500,000","$10,500,000","0.087","$10,500,000","$10,500,000","1","$10,500,000","$59,420,066","2022","31","31","195","6'2""",""
"","Randal Grichuk","2021","RF","TOR","$9,333,333","$1,000,000","$10,333,333","$10,333,333","0.069","$9,333,333","$10,400,000","5","$52,000,000","$31,555,991","2024","27","29","216","6'2""",""
"","Aaron Judge","2021","RF","NYY","$10,175,000","$0","$10,175,000","$10,175,000","0.050","$10,175,000","$10,175,000","1","$10,175,000","$17,115,671","0","28","29","282","6'7""",""
"","Taijuan Walker","2021","SP","NYM","$10,000,000","$0","$10,000,000","$10,000,000","0.050","$10,000,000","$7,666,667","3","$23,000,000","$25,520,097","0","28","28","235","6'4""",""
"","Michael Pineda","2021","SP","MIN","$10,000,000","$0","$10,000,000","$10,000,000","0.083","$10,000,000","$10,000,000","2","$20,000,000","$33,779,247","2022","30","32","280","6'7""",""
"","Noah Syndergaard","2021","SP","NYM","$9,700,000","$0","$9,700,000","$9,700,000","0.048","$9,700,000","$9,700,000","1","$9,700,000","$24,418,904","0","28","28","240","6'6""",""
"","Garrett Richards","2021","RP","BOS","$8,500,000","$0","$9,500,000","$9,500,000","0.051","$9,500,000","$10,000,000","1","$10,000,000","$48,375,948","2023","32","33","210","6'2""",""
"","Corey Dickerson","2021","LF","TOR","$9,500,000","$0","$9,500,000","$2,250,000","0.015","$2,250,000","$8,750,000","2","$17,500,000","$31,444,531","0","30","32","200","6'1""",""
"","Lance Lynn","2021","SP","CHW","$8,000,000","$1,333,334","$9,333,334","$9,333,334","0.066","$8,000,000","$10,000,000","3","$30,000,000","$61,440,917","0","31","34","270","6'5""",""
"","Raisel Iglesias","2021","RP/CL","LAA","$9,125,000","$0","$9,125,000","$9,125,000","0.051","$9,125,000","$8,041,667","3","$24,125,000","$35,458,333","2022","28","31","190","6'2""",""
"","Jake Odorizzi","2021","SP","HOU","$6,000,000","$3,000,000","$9,000,000","$9,000,000","0.046","$8,000,000","$7,833,333","3","$23,500,000","$37,645,332","2024","30","31","190","6'2""",""
"","Max Muncy","2021","1B","LAD","$7,500,000","$1,500,000","$9,000,000","$9,000,000","0.034","$7,500,000","$8,666,667","3","$26,000,000","$14,049,043","2024","29","30","215","6'0""",""
"","Tommy Pham","2021","LF","SD","$8,900,000","$0","$8,900,000","$8,900,000","0.050","$8,900,000","$8,900,000","1","$8,900,000","$18,103,662","2022","32","33","223","6'1""",""
"","Elvis Andrus","2021","SS","OAK","$7,750,000","$250,000","$8,800,000","$8,300,000","0.092","$8,550,000","$15,000,000","8","$120,000,000","$113,626,156","2024","26","32","200","6'0""",""
"","Ryan Pressly","2021","RP/CL","HOU","$8,750,000","$0","$8,750,000","$8,750,000","0.045","$8,750,000","$8,750,000","2","$17,500,000","$18,840,766","2023","30","32","206","6'2""",""
"","Zach Davies","2021","SP","CHC","$8,630,000","$0","$8,630,000","$8,630,000","0.060","$8,630,000","$8,630,000","1","$8,630,000","$15,467,264","0","27","28","180","6'0""",""
"","Yulieski Gurriel","2021","1B","HOU","$6,500,000","$0","$8,500,000","$8,500,000","0.044","$8,500,000","$7,000,000","1","$7,000,000","$51,009,557","2023","36","37","215","6'0""",""
"","Joe Kelly","2021","RP","LAD","$8,500,000","$0","$8,500,000","$8,500,000","0.032","$8,500,000","$8,333,333","3","$25,000,000","$28,825,055","2023","30","33","174","6'1""",""
"","Juan Soto","2021","RF","WSH","$8,500,000","$0","$8,500,000","$8,500,000","0.059","$8,500,000","$8,500,000","1","$8,500,000","$11,204,031","2025","22","22","185","6'1""",""
"","James Paxton","2021","SP","SEA","$8,500,000","$0","$8,500,000","$8,500,000","0.101","$8,500,000","$8,500,000","1","$8,500,000","$31,011,146","2022","32","32","235","6'4""",""
"","Dylan Bundy","2021","SP","LAA","$8,325,000","$0","$8,325,000","$8,325,000","0.046","$8,325,000","$8,325,000","1","$8,325,000","$24,281,852","2022","28","28","200","6'1""",""
"","Eduardo Rodriguez","2021","SP","BOS","$8,300,000","$0","$8,300,000","$8,300,000","0.044","$8,300,000","$8,300,000","1","$8,300,000","$19,436,088","0","27","28","231","6'2""",""
"","Jorge Soler","2021","DH","ATL","$8,050,000","$0","$8,250,000","$2,813,172","0.018","$3,013,200","$8,050,000","1","$8,050,000","$36,953,731","2022","28","29","230","6'4""",""
"","Wade Miley","2021","SP","CIN","$8,000,000","$0","$8,150,000","$8,150,000","0.064","$8,150,000","$7,500,000","2","$15,000,000","$39,603,762","2023","33","34","220","6'2""",""
"","James McCann","2021","C","NYM","$8,000,000","$150,000","$8,150,000","$8,150,000","0.041","$8,600,000","$10,150,000","4","$40,600,000","$17,711,234","2025","30","31","220","6'3""",""
"","Nick Ahmed","2021","SS","ARI","$7,500,000","$375,000","$8,125,000","$8,125,000","0.089","$7,750,000","$8,125,000","4","$32,500,000","$18,073,695","2024","29","31","201","6'2""",""
"","Jordan Lyles","2021","SP","TEX","$8,000,000","$0","$8,000,000","$8,000,000","0.084","$8,000,000","$8,000,000","2","$16,000,000","$26,444,136","2022","29","30","230","6'5""",""
"","Trevor May","2021","RP/CL","NYM","$7,750,000","$0","$8,000,000","$8,000,000","0.040","$8,000,000","$7,750,000","2","$15,500,000","$12,474,289","0","31","31","240","6'5""",""
"","Travis d'Arnaud","2021","C","ATL","$8,000,000","$0","$8,000,000","$8,000,000","0.052","$8,000,000","$8,000,000","2","$16,000,000","$20,078,070","0","30","32","210","6'2""",""
"","Eddie Rosario","2021","LF","ATL","$8,000,000","$0","$8,000,000","$2,795,715","0.018","$2,795,715","$8,000,000","1","$8,000,000","$17,382,173","2022","29","29","180","6'1""",""
"","J.A. Happ","2021","SP","STL","$8,000,000","$0","$8,000,000","$2,795,715","0.019","$2,795,715","$8,000,000","1","$8,000,000","$87,785,296","2022","38","38","205","6'5""",""
"","Adam Wainwright","2021","SP","STL","$8,000,000","$0","$8,000,000","$8,000,000","0.053","$8,000,000","$8,000,000","1","$8,000,000","$156,996,592","0","39","39","230","6'7""",""
"","Drew Pomeranz","2021","RP","SD","$6,000,000","$2,000,000","$8,000,000","$8,000,000","0.045","$8,000,000","$8,500,000","4","$34,000,000","$32,152,740","2024","31","32","246","6'5""",""
"","Blake Treinen","2021","RP","LAD","$6,000,000","$2,000,000","$8,000,000","$8,000,000","0.030","$7,000,000","$8,750,000","2","$17,500,000","$21,034,759","0","32","33","225","6'5""",""
"","Will Harris","2021","RP","WSH","$8,000,000","$0","$8,000,000","$8,000,000","0.055","$8,000,000","$8,000,000","3","$24,000,000","$22,143,927","2023","35","36","240","6'4""",""
"","Ian Desmond","2021","CF","COL","$8,000,000","$0","$8,000,000","$8,000,000","0.069","$0","$14,000,000","5","$70,000,000","$78,484,000","2023","31","35","220","6'3""",""
"","Robbie Ray","2021","SP","TOR","$8,000,000","$0","$8,000,000","$8,000,000","0.053","$8,000,000","$8,000,000","1","$8,000,000","$23,458,723","0","29","29","215","6'2""",""
"","Chris Taylor","2021","2B","LAD","$7,800,000","$0","$7,800,000","$7,800,000","0.029","$7,800,000","$6,700,000","2","$13,400,000","$15,465,516","0","29","30","196","6'1""",""
"","German Marquez","2021","SP","COL","$7,500,000","$300,000","$7,800,000","$7,800,000","0.067","$7,500,000","$8,600,000","5","$43,000,000","$13,006,516","2025","23","26","230","6'1""",""
"","Felipe Vazquez","2021","RP","PIT","$7,250,000","$500,000","$7,750,000","$7,750,000","0.143","$0","$5,625,000","4","$22,500,000","$10,002,130","2024","26","29","225","6'2""",""
"","Stephen Piscotty","2021","RF","OAK","$7,250,000","$333,333","$7,583,333","$7,583,333","0.084","$7,250,000","$5,583,333","6","$33,500,000","$22,996,257","2024","25","30","211","6'4""",""
"","Kolten Wong","2021","2B","MIL","$7,000,000","$500,000","$7,500,000","$2,000,000","0.020","$3,000,000","$9,000,000","2","$18,000,000","$24,363,836","2024","30","30","185","5'7""",""
"","David Peralta","2021","LF","ARI","$7,500,000","$0","$7,500,000","$7,500,000","0.082","$7,500,000","$7,333,333","3","$22,000,000","$22,541,393","2023","32","33","210","6'1""",""
"","Whit Merrifield","2021","RF","KC","$6,750,000","$0","$7,450,000","$7,450,000","0.081","$7,450,000","$4,062,500","4","$16,250,000","$11,792,402","2025","29","32","195","6'1""",""
