"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Age","Age","Weight","Height",""
"","Mike Trout","2021","CF","LAA","$35,450,000","$1,666,667","$37,166,667","$37,166,667","0.206","$35,500,000","$35,541,667","12","$426,500,000","$161,290,125","2031","27","29","235","6'2""",""
"","Gerrit Cole","2021","SP","NYY","$36,000,000","$0","$36,000,000","$36,000,000","0.175","$36,000,000","$36,000,000","9","$324,000,000","$84,222,046","2029","29","30","220","6'4""",""
"","Jacob deGrom","2021","SP","NYM","$33,500,000","$2,500,000","$36,000,000","$22,000,000","0.109","$20,000,000","$27,500,000","5","$137,500,000","$54,159,998","2023","30","33","180","6'4""",""
"","Nolan Arenado","2021","3B","STL","$35,000,000","$0","$35,050,000","$570,500","0.004","$620,500","$32,500,000","8","$260,000,000","$90,163,340","2028","27","30","215","6'2""",""
"","Zack Greinke","2021","SP","HOU","$32,000,000","$3,000,000","$35,000,000","$24,666,667","0.127","$13,666,667","$34,416,667","6","$206,500,000","$252,174,948","2022","32","37","200","6'2""",""
"","Stephen Strasburg","2021","SP","WSH","$35,000,000","$0","$35,000,000","$23,571,429","0.163","$23,571,428","$35,000,000","7","$245,000,000","$139,376,586","2027","31","32","235","6'5""",""
"","Max Scherzer","2021","SP","LAD","$27,360,623","$7,142,857","$34,603,480","$0","0.000","$0","$30,000,000","7","$210,000,000","$139,575,000","0","30","36","208","6'3""",""
"","Justin Verlander","2021","SP","HOU","$33,000,000","$0","$33,000,000","$33,000,000","0.170","$33,000,000","$33,000,000","2","$66,000,000","$274,588,222","0","35","38","225","6'5""",""
"","David Price","2021","SP","LAD","$32,000,000","$0","$32,000,000","$16,000,000","0.060","$16,000,000","$31,000,000","7","$217,000,000","$216,042,498","2023","30","35","215","6'5""",""
"","Manny Machado","2021","3B","SD","$30,000,000","$2,000,000","$32,000,000","$32,000,000","0.178","$30,000,000","$30,000,000","10","$300,000,000","$110,560,896","2029","26","28","218","6'3""",""
