"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Age","Age","Weight","Height",""
"","Alex Rodriguez","2011","DH","NYY","$31,000,000","$1,000,000","$32,000,000","$32,000,000","0.151","$32,000,000","$27,500,000","10","$275,000,000","$287,290,700","2018","32","36","230","0'0""",""
"","Alex Rodriguez","2012","DH","NYY","$29,000,000","$1,000,000","$30,000,000","$30,000,000","0.132","$30,000,000","$27,500,000","10","$275,000,000","$321,290,700","2018","32","37","230","0'0""",""
"","Vernon Wells","2011","LF","LAA","$23,000,000","$3,187,500","$26,187,500","$18,000,000","0.123","$18,000,000","$18,000,000","7","$126,000,000","$81,521,000","2015","29","32","0","0'0""",""
"","C.C. Sabathia","2011","SP","NYY","$24,285,714","$1,285,714","$25,571,428","$25,571,428","0.121","$24,285,714","$23,000,000","7","$161,000,000","$104,285,714","2016","28","30","300","6'6""",""
"","C.C. Sabathia","2012","SP","NYY","$23,000,000","$1,285,714","$24,285,714","$24,285,714","0.107","$23,000,000","$23,000,000","7","$161,000,000","$127,285,714","2016","28","31","300","6'6""",""
"","Vernon Wells","2012","LF","LAA","$21,000,000","$3,187,500","$24,187,500","$24,187,500","0.154","$21,000,000","$18,000,000","7","$126,000,000","$102,521,000","2015","29","33","0","0'0""",""
"","Johan Santana","2012","SP","NYM","$24,000,000","$0","$24,000,000","$24,000,000","0.229","$24,000,000","$22,916,667","6","$137,500,000","$148,560,000","2014","28","33","155","6'0""",""
"","Mark Teixeira","2011","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","0.109","$22,500,000","$22,500,000","8","$180,000,000","$105,150,000","2017","28","31","225","6'3""",""
"","Mark Teixeira","2012","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","0.101","$22,500,000","$22,500,000","8","$180,000,000","$127,650,000","2017","28","32","225","6'3""",""
"","Joe Mauer","2012","1B","MIN","$23,000,000","$0","$23,025,000","$23,025,000","0.211","$23,025,000","$23,000,000","8","$184,000,000","$85,225,000","2019","27","29","225","6'5""",""
"","Joe Mauer","2011","1B","MIN","$23,000,000","$0","$23,000,000","$23,000,000","0.202","$23,000,000","$23,000,000","8","$184,000,000","$62,200,000","2019","27","28","225","6'5""",""
"","Johan Santana","2011","SP","NYM","$22,500,000","$0","$22,500,000","$22,500,000","0.158","$22,500,000","$22,916,667","6","$137,500,000","$124,560,000","2014","28","32","155","6'0""",""
"","Adrian Gonzalez","2012","1B","BOS","$21,000,000","$857,142","$21,857,142","$21,857,142","0.125","$27,000,000","$22,000,000","7","$154,000,000","$46,993,500","2019","29","30","215","6'2""",""
"","Cliff Lee","2012","SP","PHI","$21,500,000","$0","$21,500,000","$21,500,000","0.120","$21,500,000","$24,000,000","5","$120,000,000","$56,424,100","2016","32","33","190","6'3""",""
