"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Age","Age","Weight","Height",""
"","Miguel Cabrera","2012","1B","DET","$21,000,000","$0","$21,000,000","$21,000,000","0.146","$21,300,000","$19,037,500","8","$152,300,000","$98,627,573","0","24","29","249","6'4""",""
"","Carl Crawford","2012","LF","BOS","$19,500,000","$857,142","$20,357,142","$20,357,142","0.116","$19,500,000","$20,285,714","7","$142,000,000","$72,397,419","2018","29","30","225","6'2""",""
"","Carlos Beltran","2011","DH","SF","$18,500,000","$1,571,428","$20,171,428","$2,368,852","0.019","$2,468,852","$17,000,000","7","$119,000,000","$139,774,996","2012","27","34","213","6'1""",""
"","Justin Verlander","2012","SP","DET","$20,000,000","$166,668","$20,166,668","$20,166,668","0.140","$20,000,000","$16,000,000","5","$80,000,000","$49,191,000","0","26","29","225","6'5""",""
"","Roy Halladay","2011","SP","PHI","$20,000,000","$0","$20,050,000","$20,050,000","0.118","$20,050,000","$20,000,000","3","$60,000,000","$116,770,000","2014","33","34","0","0'0""",""
"","Ryan Howard","2011","1B","PHI","$20,000,000","$0","$20,000,000","$20,000,000","0.118","$20,000,000","$18,000,000","3","$54,000,000","$65,771,780","0","29","31","250","6'4""",""
"","Miguel Cabrera","2011","1B","DET","$20,000,000","$0","$20,000,000","$20,000,000","0.179","$20,150,000","$19,037,500","8","$152,300,000","$77,327,573","0","24","28","249","6'4""",""
"","Roy Halladay","2012","SP","PHI","$20,000,000","$0","$20,000,000","$20,000,000","0.112","$20,000,000","$20,000,000","3","$60,000,000","$136,770,000","2014","33","35","0","0'0""",""
"","Ryan Howard","2012","1B","PHI","$20,000,000","$0","$20,000,000","$20,000,000","0.112","$20,000,000","$25,000,000","5","$125,000,000","$85,771,780","2017","32","32","250","6'4""",""
"","Felix Hernandez","2012","SP","SEA","$19,000,000","$700,000","$19,750,000","$19,750,000","0.234","$19,750,000","$15,600,000","5","$78,000,000","$44,785,000","2015","23","26","225","6'3""",""
"","Carlos Lee","2011","1B","HOU","$18,500,000","$500,000","$19,000,000","$19,000,000","0.223","$19,000,000","$16,666,667","6","$100,000,000","$111,575,000","2013","30","35","0","0'0""",""
"","Alfonso Soriano","2012","DH","CHC","$18,000,000","$1,000,000","$19,000,000","$19,000,000","0.163","$18,000,000","$17,000,000","8","$136,000,000","$129,950,000","2015","30","36","0","0'0""",""
"","Alfonso Soriano","2011","DH","CHC","$18,000,000","$1,000,000","$19,000,000","$19,000,000","0.137","$18,000,000","$17,000,000","8","$136,000,000","$111,950,000","2015","30","35","0","0'0""",""
"","Torii Hunter","2011","RF","LAA","$18,500,000","$500,000","$19,000,000","$19,000,000","0.130","$18,500,000","$18,000,000","5","$90,000,000","$117,550,000","2013","32","35","205","6'2""",""
"","Carlos Lee","2012","1B","MIA","$18,500,000","$500,000","$19,000,000","$238,688","0.002","$238,688","$16,666,667","6","$100,000,000","$130,575,000","2013","30","36","0","0'0""",""
"","Barry Zito","2012","SP","SF","$19,000,000","$0","$19,000,000","$19,000,000","0.139","$19,000,000","$18,000,000","7","$126,000,000","$119,540,000","2014","28","34","208","6'4""",""
"","Carlos Zambrano","2011","SP","CHC","$17,875,000","$1,000,000","$18,875,000","$18,875,000","0.136","$18,875,000","$18,300,000","5","$91,500,000","$96,150,000","2013","26","30","0","0'0""",""
"","Barry Zito","2011","SP","SF","$18,500,000","$0","$18,500,000","$18,500,000","0.148","$18,500,000","$18,000,000","7","$126,000,000","$100,540,000","2014","28","33","208","6'4""",""
"","Torii Hunter","2012","RF","LAA","$18,000,000","$500,000","$18,500,000","$18,500,000","0.118","$18,000,000","$18,000,000","5","$90,000,000","$135,550,000","2013","32","36","205","6'2""",""
"","Jason Bay","2011","RF","NYM","$16,000,000","$2,125,000","$18,125,000","$18,125,000","0.127","$16,000,000","$16,500,000","4","$66,000,000","$49,910,000","2013","31","32","0","0'0""",""
"","Jason Bay","2012","RF","NYM","$16,000,000","$2,125,000","$18,125,000","$18,125,000","0.173","$16,000,000","$16,500,000","4","$66,000,000","$65,910,000","2013","31","33","0","0'0""",""
"","Ichiro Suzuki","2011","RF","SEA","$17,000,000","$1,000,000","$18,000,000","$18,000,000","0.178","$18,000,000","$18,000,000","5","$90,000,000","$130,000,000","2013","34","37","175","6'0""",""
"","Ichiro Suzuki","2012","RF","NYY","$17,000,000","$1,000,000","$18,000,000","$6,781,420","0.030","$6,781,420","$18,000,000","5","$90,000,000","$148,000,000","2013","34","38","175","6'0""",""
"","Jake Peavy","2012","RP","CHW","$17,000,000","$0","$17,075,000","$17,075,000","0.157","$17,075,000","$17,333,333","3","$52,000,000","$74,605,000","2014","28","31","180","6'1""",""
"","Matt Holliday","2011","DH","STL","$17,000,000","$0","$17,050,000","$17,050,000","0.143","$17,050,000","$17,142,857","7","$120,000,000","$65,458,500","2017","29","31","250","6'4""",""
"","Matt Holliday","2012","DH","STL","$17,000,000","$0","$17,050,000","$17,050,000","0.142","$17,050,000","$17,142,857","7","$120,000,000","$82,508,500","2017","29","32","250","6'4""",""
"","Josh Beckett","2011","SP","BOS","$15,750,000","$1,250,000","$17,000,000","$17,000,000","0.099","$20,750,000","$17,000,000","4","$68,000,000","$74,778,125","2015","30","31","224","6'5""",""
"","Josh Beckett","2012","SP","BOS","$15,750,000","$1,250,000","$17,000,000","$17,000,000","0.097","$15,750,000","$17,000,000","4","$68,000,000","$90,528,125","2015","30","32","224","6'5""",""
"","A.J. Burnett","2012","SP","PIT","$16,500,000","$0","$16,500,000","$5,000,000","0.082","$5,000,000","$16,500,000","5","$82,500,000","$106,117,500","0","31","35","230","6'5""",""
"","A.J. Burnett","2011","SP","NYY","$16,500,000","$0","$16,500,000","$16,500,000","0.078","$16,500,000","$16,500,000","5","$82,500,000","$89,617,500","0","31","34","230","6'5""",""
"","Matt Cain","2012","RP","SF","$15,000,000","$1,166,666","$16,266,666","$16,266,666","0.119","$16,266,666","$22,500,000","5","$112,500,000","$34,386,332","2019","28","27","230","6'3""",""
"","Roy Oswalt","2011","SP","PHI","$16,000,000","$0","$16,000,000","$9,000,000","0.053","$9,000,000","$14,600,000","5","$73,000,000","$91,950,000","2012","29","33","0","0'0""",""
"","Michael Young","2011","3B","TEX","$16,000,000","$0","$16,000,000","$16,000,000","0.154","$16,000,000","$16,000,000","5","$80,000,000","$63,665,000","2014","32","34","0","0'0""",""
"","Albert Pujols","2011","DH","STL","$16,000,000","$0","$16,000,000","$16,000,000","0.135","$16,000,000","$14,285,714","7","$100,000,000","$114,420,000","2012","23","31","235","6'3""",""
"","Derek Jeter","2012","SS","NYY","$16,000,000","$0","$16,000,000","$16,000,000","0.070","$16,000,000","$17,000,000","3","$51,000,000","$237,315,981","2015","36","38","0","0'0""",""
"","Michael Young","2012","3B","TEX","$16,000,000","$0","$16,000,000","$16,000,000","0.116","$16,000,000","$16,000,000","5","$80,000,000","$79,665,000","2014","32","35","0","0'0""",""
"","Jake Peavy","2011","RP","CHW","$16,000,000","$0","$16,000,000","$16,000,000","0.126","$16,000,000","$17,333,333","3","$52,000,000","$57,530,000","2014","28","30","180","6'1""",""
"","John Lackey","2011","SP","BOS","$15,250,000","$700,000","$15,950,000","$15,950,000","0.092","$15,250,000","$16,500,000","5","$82,500,000","$64,985,000","2016","31","32","235","6'6""",""
"","John Lackey","2012","SP","BOS","$15,250,000","$700,000","$15,950,000","$15,950,000","0.091","$15,250,000","$16,500,000","5","$82,500,000","$80,235,000","2016","31","33","235","6'6""",""
"","David Wright","2012","3B","NYM","$15,000,000","$250,000","$15,300,000","$15,300,000","0.146","$15,050,000","$9,166,667","6","$55,000,000","$56,006,500","2014","24","29","205","6'0""",""
"","Chase Utley","2011","2B","PHI","$15,000,000","$285,714","$15,285,714","$15,285,714","0.090","$15,000,000","$12,142,857","7","$85,000,000","$58,278,257","0","28","32","195","6'1""",""
"","Chase Utley","2012","2B","PHI","$15,000,000","$285,714","$15,285,714","$15,285,714","0.085","$15,000,000","$12,142,857","7","$85,000,000","$73,278,257","0","28","33","195","6'1""",""
"","Josh Hamilton","2012","LF","TEX","$13,750,000","$1,500,000","$15,250,000","$15,250,000","0.110","$13,750,000","$12,000,000","2","$24,000,000","$32,561,830","2013","29","31","240","6'4""",""
"","Derek Lowe","2011","SP","ATL","$15,000,000","$0","$15,000,000","$15,000,000","0.150","$15,000,000","$15,000,000","4","$60,000,000","$93,617,000","2013","35","38","0","0'0""",""
"","Hanley Ramirez","2012","DH","LAD","$15,000,000","$0","$15,000,000","$5,819,672","0.050","$5,819,672","$11,666,667","6","$70,000,000","$39,788,000","2015","25","28","235","6'2""",""
"","Derek Jeter","2011","SS","NYY","$15,000,000","$0","$15,000,000","$15,000,000","0.071","$15,000,000","$17,000,000","3","$51,000,000","$221,315,981","2015","36","37","0","0'0""",""
"","Mariano Rivera","2011","RP","NYY","$15,000,000","$0","$15,000,000","$15,000,000","0.071","$15,000,000","$15,000,000","2","$30,000,000","$144,614,125","2013","41","41","0","0'0""",""
"","Chris Carpenter","2011","SP","STL","$15,000,000","$0","$15,000,000","$15,000,000","0.126","$15,000,000","$12,700,000","5","$63,500,000","$79,290,000","2013","31","36","0","0'0""",""
"","Cole Hamels","2012","SP","PHI","$15,000,000","$0","$15,000,000","$15,000,000","0.084","$15,000,000","$15,000,000","1","$15,000,000","$38,777,000","0","28","28","205","6'4""",""
"","Mariano Rivera","2012","RP","NYY","$15,000,000","$0","$15,000,000","$15,000,000","0.066","$15,000,000","$15,000,000","2","$30,000,000","$159,614,125","2013","41","42","0","0'0""",""
"","Justin Morneau","2012","1B","MIN","$14,000,000","$1,000,000","$15,000,000","$15,000,000","0.138","$14,000,000","$13,333,333","6","$80,000,000","$71,595,000","2014","26","31","220","6'4""",""
"","Justin Morneau","2011","1B","MIN","$14,000,000","$1,000,000","$15,000,000","$15,000,000","0.132","$14,000,000","$13,333,333","6","$80,000,000","$57,595,000","2014","26","30","220","6'4""",""
"","Ryan Dempster","2012","SP","TEX","$14,000,000","$1,000,000","$15,000,000","$4,972,677","0.036","$4,972,677","$13,000,000","4","$52,000,000","$76,670,000","2013","31","35","0","0'0""",""
"","Carl Crawford","2011","LF","BOS","$14,000,000","$857,142","$14,857,142","$14,857,142","0.086","$20,000,000","$20,285,714","7","$142,000,000","$52,897,419","2018","29","29","225","6'2""",""
"","Aramis Ramirez","2011","3B","CHC","$14,600,000","$0","$14,675,000","$14,675,000","0.105","$14,675,000","$15,000,000","5","$75,000,000","$100,650,000","0","28","33","215","6'1""",""
"","David Ortiz","2012","DH","BOS","$14,575,000","$0","$14,575,000","$14,575,000","0.083","$14,575,000","$14,575,000","1","$14,575,000","$98,151,000","2013","36","36","230","6'3""",""
"","Ryan Dempster","2011","SP","CHC","$13,500,000","$1,000,000","$14,500,000","$14,500,000","0.104","$14,500,000","$13,000,000","4","$52,000,000","$61,670,000","2013","31","34","0","0'0""",""
"","David Wright","2011","3B","NYM","$14,000,000","$250,000","$14,250,000","$14,250,000","0.100","$14,000,000","$9,166,667","6","$55,000,000","$40,956,500","2014","24","28","205","6'0""",""
"","Jered Weaver","2012","SP","LAA","$14,000,000","$200,000","$14,200,000","$14,200,000","0.090","$15,000,000","$17,000,000","5","$85,000,000","$32,342,500","2017","29","29","210","6'7""",""
"","Mark Buehrle","2011","SP","CHW","$14,000,000","$0","$14,025,000","$14,025,000","0.110","$14,025,000","$14,000,000","4","$56,000,000","$78,745,000","2012","28","32","195","6'2""",""
"","J.D. Drew","2011","RF","BOS","$14,000,000","$0","$14,000,000","$14,000,000","0.081","$14,000,000","$14,000,000","5","$70,000,000","$108,300,000","2012","31","35","0","0'0""",""
"","Jose Bautista","2012","RF","TOR","$14,000,000","$0","$14,000,000","$14,000,000","0.144","$14,000,000","$13,000,000","5","$65,000,000","$30,040,500","2017","30","31","205","6'0""",""
"","Adam Dunn","2012","DH","CHW","$14,000,000","$0","$14,000,000","$14,000,000","0.129","$14,000,000","$14,000,000","4","$56,000,000","$83,517,000","2015","31","32","285","6'6""",""
"","Chipper Jones","2011","3B","ATL","$13,000,000","$1,000,000","$14,000,000","$14,000,000","0.140","$0","$14,000,000","3","$42,000,000","$0","2014","37","39","0","0'0""",""
"","Chipper Jones","2012","3B","ATL","$13,000,000","$1,000,000","$14,000,000","$14,000,000","0.143","$0","$14,000,000","3","$42,000,000","$0","2014","37","40","0","0'0""",""
"","Robinson Cano","2012","2B","NYY","$14,000,000","$0","$14,000,000","$14,000,000","0.061","$14,000,000","$7,500,000","4","$30,000,000","$43,021,800","0","25","29","210","6'0""",""
"","Josh Johnson","2012","SP","MIA","$13,750,000","$0","$13,750,000","$13,750,000","0.140","$13,750,000","$9,750,000","4","$39,000,000","$27,749,000","2014","25","28","225","6'7""",""
"","Aaron Rowand","2011","CF","SF","$12,000,000","$1,600,000","$13,600,000","$13,600,000","0.109","$13,600,000","$12,000,000","5","$60,000,000","$56,885,000","2013","30","33","0","0'0""",""
"","Jayson Werth","2012","LF","WSH","$13,000,000","$571,428","$13,571,428","$13,571,428","0.138","$13,000,000","$18,000,000","7","$126,000,000","$42,095,000","2018","31","33","236","6'5""",""
"","Zack Greinke","2012","SP","MIL","$13,500,000","$0","$13,500,000","$13,500,000","0.122","$13,500,000","$9,500,000","4","$38,000,000","$43,397,172","2013","25","28","200","6'2""",""
"","Zack Greinke","2011","SP","MIL","$13,500,000","$0","$13,500,000","$13,500,000","0.146","$13,500,000","$9,500,000","4","$38,000,000","$29,897,172","2013","25","27","200","6'2""",""
"","Justin Verlander","2011","SP","DET","$12,750,000","$166,666","$13,416,666","$13,416,666","0.120","$13,250,000","$16,000,000","5","$80,000,000","$29,191,000","0","26","28","225","6'5""",""
"","Milton Bradley","2011","RF","SEA","$12,000,000","$1,333,334","$13,333,334","$13,333,334","0.132","$13,333,334","$10,000,000","3","$30,000,000","$46,972,300","2012","30","33","0","0'0""",""
"","Jorge Posada","2011","C","NYY","$13,100,000","$0","$13,100,000","$13,100,000","0.062","$13,100,000","$13,100,000","4","$52,400,000","$52,400,000","2012","-1,972","39","0","0'0""",""
"","Carlos Beltran","2012","DH","STL","$13,000,000","$0","$13,050,000","$13,050,000","0.109","$13,050,000","$13,000,000","2","$26,000,000","$155,967,853","2014","34","35","213","6'1""",""
"","Carlos Guillen","2011","1B","DET","$13,000,000","$0","$13,000,000","$13,000,000","0.117","$13,000,000","$12,000,000","4","$48,000,000","$68,890,000","2012","-1,976","35","0","0'0""",""
"","Victor Martinez","2012","DH","DET","$13,000,000","$0","$13,000,000","$13,000,000","0.090","$13,000,000","$12,500,000","4","$50,000,000","$48,764,500","2015","32","33","210","6'2""",""
"","Dan Haren","2011","SP","LAA","$12,750,000","$0","$12,750,000","$12,750,000","0.087","$12,750,000","$11,187,500","4","$44,750,000","$35,523,500","2013","28","30","215","6'5""",""
"","Dan Haren","2012","SP","LAA","$12,750,000","$0","$12,750,000","$12,750,000","0.081","$12,750,000","$11,187,500","4","$44,750,000","$48,273,500","2013","28","31","215","6'5""",""
"","David Ortiz","2011","DH","BOS","$12,500,000","$0","$12,650,000","$12,650,000","0.073","$12,650,000","$13,000,000","4","$52,000,000","$83,576,000","0","32","35","230","6'3""",""
"","Hiroki Kuroda","2011","SP","LAD","$8,000,000","$4,000,000","$12,500,000","$12,500,000","0.109","$12,500,000","$12,000,000","1","$12,000,000","$47,800,000","2012","35","36","0","0'0""",""
"","Alex Rios","2012","RF","CHW","$12,000,000","$500,000","$12,500,000","$12,500,000","0.115","$12,000,000","$9,833,571","7","$68,835,000","$47,900,000","2015","26","31","210","6'5""",""
"","Brandon Phillips","2012","2B","CIN","$12,500,000","$0","$12,500,000","$12,500,000","0.139","$12,500,000","$12,083,333","6","$72,500,000","$41,132,200","2018","30","31","200","6'0""",""
"","Alex Rios","2011","RF","CHW","$12,000,000","$500,000","$12,500,000","$12,500,000","0.098","$12,000,000","$9,833,571","7","$68,835,000","$35,900,000","2015","26","30","210","6'5""",""
"","Gary Matthews Jr.","2011","CF","NYM","$12,000,000","$400,000","$12,400,000","$1,000,000","0.007","$1,000,000","$10,000,000","5","$50,000,000","$59,055,357","2012","32","36","0","0'0""",""
"","Nick Markakis","2012","RF","BAL","$12,000,000","$350,000","$12,350,000","$12,350,000","0.149","$12,000,000","$11,016,667","6","$66,100,000","$37,207,000","2016","25","28","210","0'0""",""
"","Ryan Zimmerman","2012","1B","WSH","$12,000,000","$100,000","$12,275,000","$12,275,000","0.125","$12,175,000","$9,000,000","5","$45,000,000","$35,717,000","2014","24","27","215","6'3""",""
"","Kevin Youkilis","2011","3B","BOS","$12,000,000","$250,000","$12,250,000","$12,250,000","0.071","$12,250,000","$10,281,250","4","$41,125,000","$32,037,225","2013","29","32","0","0'0""",""
"","Kevin Youkilis","2012","3B","CHW","$12,000,000","$250,000","$12,250,000","$1,088,524","0.010","$1,088,524","$10,281,250","4","$41,125,000","$38,975,749","2013","29","33","0","0'0""",""
"","Francisco Cordero","2011","RP","CIN","$12,125,000","$125,000","$12,250,000","$12,250,000","0.150","$0","$11,500,000","4","$46,000,000","$0","2013","32","36","0","0'0""",""
"","Kyle Lohse","2011","SP","STL","$11,875,000","$312,500","$12,187,500","$12,187,500","0.103","$11,875,000","$10,250,000","4","$41,000,000","$45,365,000","2013","30","32","214","6'2""",""
"","Kyle Lohse","2012","SP","STL","$11,875,000","$312,500","$12,187,500","$12,187,500","0.102","$11,875,000","$10,250,000","4","$41,000,000","$57,240,000","2013","30","33","214","6'2""",""
"","Raul Ibanez","2011","DH","PHI","$11,500,000","$666,668","$12,166,668","$12,166,668","0.072","$12,166,668","$10,500,000","3","$31,500,000","$59,825,000","2012","36","39","225","6'2""",""
"","Francisco Rodriguez","2011","RP","MIL","$11,500,000","$666,667","$12,166,667","$2,450,819","0.027","$2,450,819","$12,333,333","3","$37,000,000","$57,069,166","0","26","29","180","6'0""",""
"","Jonathan Papelbon","2011","RP","BOS","$12,000,000","$0","$12,000,000","$12,000,000","0.070","$12,000,000","$12,000,000","1","$12,000,000","$29,500,400","2012","30","30","230","6'5""",""
"","Brad Lidge","2011","RP","PHI","$11,500,000","$500,000","$12,000,000","$12,000,000","0.071","$12,000,000","$12,500,000","3","$37,500,000","$52,835,000","2012","32","34","0","0'0""",""
"","Brett Myers","2012","SP","CHW","$11,000,000","$1,000,000","$12,000,000","$3,840,000","0.035","$3,840,000","$11,500,000","2","$23,000,000","$53,257,500","2013","30","31","0","0'0""",""
"","Paul Konerko","2012","1B","CHW","$12,000,000","$0","$12,000,000","$12,000,000","0.110","$12,000,000","$12,500,000","3","$37,500,000","$114,620,000","2014","34","36","0","0'0""",""
"","Victor Martinez","2011","DH","DET","$12,000,000","$0","$12,000,000","$12,000,000","0.108","$12,000,000","$12,500,000","4","$50,000,000","$35,764,500","2015","32","32","210","6'2""",""
"","Scott Kazmir","2011","SP","LAA","$12,000,000","$0","$12,000,000","$12,000,000","0.082","$12,000,000","$9,500,000","3","$28,500,000","$33,047,000","2013","24","27","185","6'0""",""
"","Lance Berkman","2012","DH","STL","$12,000,000","$0","$12,000,000","$12,000,000","0.100","$0","$12,000,000","1","$12,000,000","$0","2013","35","36","0","0'0""",""
"","Albert Pujols","2012","DH","LAA","$12,000,000","$0","$12,000,000","$12,000,000","0.076","$12,000,000","$24,000,000","10","$240,000,000","$126,420,000","2022","31","32","235","6'3""",""
"","Adam Dunn","2011","DH","CHW","$12,000,000","$0","$12,000,000","$12,000,000","0.094","$12,000,000","$14,000,000","4","$56,000,000","$69,517,000","2015","31","31","285","6'6""",""
"","Paul Konerko","2011","1B","CHW","$12,000,000","$0","$12,000,000","$12,000,000","0.094","$12,000,000","$12,500,000","3","$37,500,000","$102,620,000","2014","34","35","0","0'0""",""
"","Felix Hernandez","2011","SP","SEA","$11,000,000","$700,000","$11,950,000","$11,950,000","0.118","$11,950,000","$15,600,000","5","$78,000,000","$25,035,000","2015","23","25","225","6'3""",""
"","Ted Lilly","2012","SP","LAD","$10,500,000","$1,166,666","$11,666,666","$11,666,666","0.099","$11,666,666","$11,000,000","3","$33,000,000","$69,606,482","2014","34","36","0","0'0""",""
"","Brian McCann","2012","C","ATL","$8,500,000","$166,666","$11,666,666","$11,666,666","0.119","$11,500,000","$4,466,667","6","$26,800,000","$30,699,500","2014","22","28","225","6'3""",""
"","Joey Votto","2012","1B","CIN","$9,500,000","$2,000,000","$11,550,000","$11,550,000","0.129","$9,550,000","$12,666,667","3","$38,000,000","$23,158,579","2014","27","28","220","6'2""",""
"","Brandon Phillips","2011","2B","CIN","$11,250,000","$187,500","$11,437,500","$11,437,500","0.140","$11,250,000","$6,750,000","4","$27,000,000","$28,632,200","2013","26","30","200","6'0""",""
"","Joe Nathan","2011","RP","MIN","$11,250,000","$0","$11,250,000","$11,250,000","0.099","$11,250,000","$11,750,000","4","$47,000,000","$57,925,000","2013","33","36","230","6'4""",""
"","Ervin Santana","2012","SP","LAA","$11,200,000","$0","$11,200,000","$11,200,000","0.071","$11,200,000","$7,500,000","4","$30,000,000","$31,236,000","2014","26","29","175","6'2""",""
"","Jose Reyes","2011","3B","NYM","$11,000,000","$0","$11,050,000","$11,050,000","0.078","$11,050,000","$5,812,500","4","$23,250,000","$35,213,000","2012","23","28","195","0'0""",""
"","Cliff Lee","2011","SP","PHI","$11,000,000","$0","$11,050,000","$11,050,000","0.065","$11,050,000","$24,000,000","5","$120,000,000","$34,924,100","2016","32","32","190","6'3""",""
"","Jimmy Rollins","2012","SS","PHI","$11,000,000","$0","$11,050,000","$11,050,000","0.062","$11,050,000","$11,000,000","3","$33,000,000","$65,130,000","2016","33","33","180","5'7""",""
"","Jonathan Papelbon","2012","RP","PHI","$11,000,058","$0","$11,000,058","$11,000,058","0.061","$11,000,058","$12,500,000","4","$50,000,000","$40,500,458","2017","31","31","230","6'5""",""
"","Rafael Soriano","2012","RP","NYY","$11,000,000","$0","$11,000,000","$11,000,000","0.048","$11,000,000","$11,666,667","3","$35,000,000","$39,850,000","2013","31","32","230","6'1""",""
"","Edwin Jackson","2012","SP","WSH","$11,000,000","$0","$11,000,000","$11,000,000","0.112","$11,000,000","$11,000,000","1","$11,000,000","$28,247,999","2013","28","28","210","0'0""",""
"","Andre Ethier","2012","CF","LAD","$10,950,000","$0","$10,950,000","$10,950,000","0.093","$10,950,000","$10,950,000","1","$10,950,000","$31,192,000","2013","29","30","210","6'2""",""
"","Aaron Cook","2011","SP","COL","$9,875,000","$833,334","$10,708,334","$10,708,334","0.129","$10,708,334","$10,000,000","3","$30,000,000","$39,901,000","2013","29","32","0","0'0""",""
"","Nick Markakis","2011","RF","BAL","$10,250,000","$350,000","$10,675,000","$10,675,000","0.113","$10,325,000","$11,016,667","6","$66,100,000","$25,207,000","2016","25","27","210","0'0""",""
"","Todd Helton","2011","1B","COL","$6,000,000","$4,600,000","$10,600,000","$10,600,000","0.128","$0","$15,722,222","9","$141,500,000","$0","2012","29","37","0","0'0""",""
"","Jayson Werth","2011","LF","WSH","$10,000,000","$571,428","$10,571,428","$10,571,428","0.141","$14,000,000","$18,000,000","7","$126,000,000","$29,095,000","2018","31","32","236","6'5""",""
"","C.J. Wilson","2012","SP","LAA","$10,000,000","$500,000","$10,550,000","$10,550,000","0.067","$12,550,000","$15,500,000","5","$77,500,000","$25,789,503","2017","31","31","210","6'1""",""
"","Michael Cuddyer","2011","LF","MIN","$10,500,000","$0","$10,525,000","$10,525,000","0.092","$10,525,000","$7,687,500","4","$30,750,000","$39,357,500","2012","28","32","228","6'2""",""
"","Joe Blanton","2011","RP","PHI","$8,500,000","$2,000,000","$10,500,000","$10,500,000","0.062","$10,500,000","$8,000,000","3","$24,000,000","$25,098,500","2013","29","30","252","6'3""",""
"","Jorge De La Rosa","2012","RP","COL","$10,000,000","$500,000","$10,500,000","$10,500,000","0.120","$10,000,000","$10,750,000","2","$21,500,000","$30,196,000","2015","29","31","215","6'1""",""
"","Michael Cuddyer","2012","LF","COL","$10,500,000","$0","$10,500,000","$10,500,000","0.120","$10,500,000","$10,500,000","3","$31,500,000","$49,857,500","2015","32","33","228","6'2""",""
"","Joe Blanton","2012","RP","PHI","$8,500,000","$2,000,000","$10,500,000","$10,500,000","0.059","$10,500,000","$8,000,000","3","$24,000,000","$35,598,500","2013","29","31","252","6'3""",""
"","Hunter Pence","2012","LF","PHI","$10,400,000","$0","$10,400,000","$10,400,000","0.058","$10,400,000","$10,400,000","1","$10,400,000","$22,615,000","0","28","29","230","0'0""",""
"","Daisuke Matsuzaka","2012","SP","BOS","$10,000,000","$333,334","$10,333,334","$10,333,334","0.059","$10,333,334","$8,666,667","6","$52,000,000","$51,999,999","2013","26","31","200","6'0""",""
