Rank,Team,Players,YRS,Value,AAV
,Washington Nationals,8,14,"$216,000,000","$15,428,571"
,Chicago Cubs,13,20,"$190,950,000","$9,547,500"
,Boston Red Sox,8,15,"$186,500,000","$12,433,333"
,Chicago White Sox,13,21,"$137,000,000","$6,523,810"
,New York Yankees,7,13,"$101,500,000","$7,807,692"
,Toronto Blue Jays,11,15,"$86,600,000","$5,773,333"
,San Diego Padres,8,11,"$80,850,000","$7,350,000"
,Atlanta Braves,18,22,"$69,107,500","$3,141,250"
,Kansas City Royals,10,13,"$69,025,000","$5,309,615"
,Minnesota Twins,4,7,"$68,250,000","$9,750,000"
,Houston Astros,7,12,"$65,600,000","$5,466,667"
,Los Angeles Dodgers,8,11,"$61,257,500","$5,568,864"
,Seattle Mariners,9,11,"$59,750,000","$5,431,818"
,Pittsburgh Pirates,4,6,"$50,000,000","$8,333,333"
,San Francisco Giants,9,11,"$44,000,000","$4,000,000"
,Oakland Athletics,1,3,"$30,000,000","$10,000,000"
,Miami Marlins,8,8,"$20,250,000","$2,531,250"
,Colorado Rockies,9,11,"$18,950,000","$1,722,727"
,Milwaukee Brewers,5,6,"$17,500,000","$2,916,667"
,Philadelphia Phillies,8,8,"$13,800,000","$1,725,000"
,Texas Rangers,14,14,"$13,800,000","$985,714"
,Tampa Bay Rays,7,8,"$9,000,000","$1,125,000"
,St. Louis Cardinals,3,3,"$7,500,000","$2,500,000"
,Cincinnati Reds,3,3,"$4,000,000","$1,333,333"
,Baltimore Orioles,9,9,"$3,000,000","$333,333"
,Arizona Diamondbacks,6,6,"$2,407,500","$401,250"
,Detroit Tigers,4,4,"$2,000,000","$500,000"
,Los Angeles Angels,6,5,"$1,507,500","$301,500"
,New York Mets,1,1,"$1,450,000","$1,450,000"
