Rank,Team,Players,YRS,Value,AAV
,Los Angeles Angels,8,14,"$153,500,000","$10,964,286"
,Los Angeles Dodgers,7,12,"$150,850,000","$12,570,833"
,Boston Red Sox,10,16,"$130,700,000","$8,168,750"
,Detroit Tigers,4,9,"$107,775,000","$11,975,000"
,San Francisco Giants,6,13,"$80,750,000","$6,211,538"
,Atlanta Braves,3,8,"$77,250,000","$9,656,250"
,Chicago Cubs,10,14,"$73,850,000","$5,275,000"
,Washington Nationals,11,13,"$67,000,000","$5,153,846"
,New York Yankees,8,9,"$64,000,000","$7,111,111"
,Arizona Diamondbacks,7,10,"$54,650,000","$5,465,000"
,Milwaukee Brewers,7,10,"$43,300,000","$4,330,000"
,Cincinnati Reds,12,16,"$41,800,000","$2,612,500"
,Toronto Blue Jays,7,11,"$36,750,000","$3,340,909"
,Texas Rangers,12,13,"$33,750,000","$2,596,154"
,Pittsburgh Pirates,8,10,"$28,875,000","$2,887,500"
,Seattle Mariners,10,11,"$28,400,000","$2,581,818"
,Kansas City Royals,5,7,"$26,100,000","$3,728,571"
,Tampa Bay Rays,10,11,"$19,090,000","$1,735,455"
,Philadelphia Phillies,6,7,"$16,350,000","$2,335,714"
,Minnesota Twins,7,8,"$15,515,000","$1,939,375"
,Chicago White Sox,5,7,"$14,800,000","$2,114,286"
,St. Louis Cardinals,6,9,"$13,650,000","$1,516,667"
,Miami Marlins,12,11,"$7,675,000","$697,727"
,New York Mets,10,10,"$7,150,000","$715,000"
,Houston Astros,5,5,"$5,900,000","$1,180,000"
,Colorado Rockies,7,7,"$5,800,000","$828,571"
,San Diego Padres,3,3,"$3,550,000","$1,183,333"
,Oakland Athletics,3,3,"$3,000,000","$1,000,000"
,Baltimore Orioles,4,4,"$2,000,000","$500,000"
