Acronimo,Equipo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas
ARI,Arizona Diamondbacks,78,161,5,1,1
ATL,Atlanta Braves,65,160,23,18,3
BAL,Baltimore Orioles,80,161,13,7,3
BOS,Boston Red Sox,78,161,21,13,8
CHC,Chicago Cubs,96,161,17,17,2
CHW,Chicago White Sox,76,161,9,6,3
CIN,Cincinnati Reds,64,161,15,10,5
COL,Colorado Rockies,67,161,3,1,0
DET,Detroit Tigers,73,160,16,11,4
HOU,Houston Astros,86,161,10,1,0
KC,Kansas City Royals,94,161,9,4,2
LAA,Los Angeles Angels,85,161,10,1,1
LAD,Los Angeles Dodgers,91,161,29,25,6
MIA,Miami Marlins,71,161,2,2,2
MIL,Milwaukee Brewers,68,161,4,1,0
MIN,Minnesota Twins,83,161,14,6,3
NYM,New York Mets,89,161,9,5,2
NYY,New York Yankees,87,161,51,40,27
OAK,Oakland Athletics,68,161,26,15,9
PHI,Philadelphia Phillies,62,161,14,7,2
PIT,Pittsburgh Pirates,97,161,17,9,5
SD,San Diego Padres,74,161,5,2,0
SEA,Seattle Mariners,75,161,4,0,0
SF,San Francisco Giants,84,161,25,23,8
STL,St. Louis Cardinals,100,160,28,23,11
TB,Tampa Bay Rays,79,161,4,1,0
TEX,Texas Rangers,87,161,7,2,0
TOR,Toronto Blue Jays,93,161,6,2,2
WSH,Washington Nationals,83,161,3,1,0
