Acronimo,Equipo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas
ARI,Arizona Diamondbacks,85,162,6,1,1
ATL,Atlanta Braves,97,161,25,18,3
BAL,Baltimore Orioles,54,161,14,7,3
BOS,Boston Red Sox,83,161,24,14,9
CHC,Chicago Cubs,84,162,20,17,3
CHW,Chicago White Sox,72,161,9,6,3
CIN,Cincinnati Reds,75,162,15,10,5
COL,Colorado Rockies,70,161,5,1,0
DET,Detroit Tigers,47,161,16,11,4
HOU,Houston Astros,106,161,13,3,1
KC,Kansas City Royals,58,162,9,4,2
LAA,Los Angeles Angels,72,161,10,1,1
LAD,Los Angeles Dodgers,105,161,33,25,6
MIA,Miami Marlins,57,162,2,2,2
MIL,Milwaukee Brewers,89,161,6,1,0
MIN,Minnesota Twins,101,162,16,6,3
NYM,New York Mets,85,161,9,5,2
NYY,New York Yankees,103,162,55,40,27
OAK,Oakland Athletics,97,162,28,15,9
PHI,Philadelphia Phillies,81,162,14,7,2
PIT,Pittsburgh Pirates,69,162,17,9,5
SD,San Diego Padres,70,162,5,2,0
SEA,Seattle Mariners,68,162,4,0,0
SF,San Francisco Giants,77,161,26,23,8
STL,St. Louis Cardinals,91,162,29,23,11
TB,Tampa Bay Rays,96,161,5,1,0
TEX,Texas Rangers,78,162,8,2,0
TOR,Toronto Blue Jays,66,161,7,2,2
WSH,Washington Nationals,93,162,6,1,1
