Acronimo,Equipo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas
ARI,Arizona Diamondbacks,74,162,6,1,1
ATL,Atlanta Braves,101,162,28,18,4
BAL,Baltimore Orioles,83,162,14,7,3
BOS,Boston Red Sox,78,162,25,14,9
CHC,Chicago Cubs,74,162,21,17,3
CHW,Chicago White Sox,81,162,11,6,3
CIN,Cincinnati Reds,62,162,16,10,5
CLE,Cleveland Guardians,92,162,16,6,2
COL,Colorado Rockies,68,162,5,1,0
DET,Detroit Tigers,66,162,16,11,4
HOU,Houston Astros,106,162,16,5,2
KC,Kansas City Royals,65,162,9,4,2
LAA,Los Angeles Angels,73,162,10,1,1
LAD,Los Angeles Dodgers,111,162,36,25,7
MIA,Miami Marlins,69,162,3,2,2
MIL,Milwaukee Brewers,86,162,8,1,0
MIN,Minnesota Twins,78,162,17,6,3
NYM,New York Mets,101,162,10,5,2
NYY,New York Yankees,99,162,58,40,27
OAK,Oakland Athletics,60,162,29,15,9
PHI,Philadelphia Phillies,87,162,15,8,2
PIT,Pittsburgh Pirates,62,162,17,9,5
SD,San Diego Padres,89,162,7,2,0
SEA,Seattle Mariners,90,162,5,0,0
SF,San Francisco Giants,81,162,27,23,8
STL,St. Louis Cardinals,93,162,32,23,11
TB,Tampa Bay Rays,86,162,8,2,0
TEX,Texas Rangers,68,162,8,2,0
TOR,Toronto Blue Jays,92,162,9,2,2
WSH,Washington Nationals,55,162,6,1,1
