Acronimo,Equipo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas
ARI,Arizona Diamondbacks,25,60,6,1,1
ATL,Atlanta Braves,35,60,26,18,3
BAL,Baltimore Orioles,27,62,14,7,3
BOS,Boston Red Sox,24,60,24,14,9
CHC,Chicago Cubs,32,58,21,17,3
CHW,Chicago White Sox,35,60,10,6,3
CIN,Cincinnati Reds,31,59,16,10,5
COL,Colorado Rockies,26,60,5,1,0
DET,Detroit Tigers,23,57,16,11,4
HOU,Houston Astros,29,60,14,3,1
KC,Kansas City Royals,25,59,9,4,2
LAA,Los Angeles Angels,26,60,10,1,1
LAD,Los Angeles Dodgers,42,59,34,25,7
MIA,Miami Marlins,31,60,3,2,2
MIL,Milwaukee Brewers,29,60,7,1,0
MIN,Minnesota Twins,36,60,17,6,3
NYM,New York Mets,26,60,9,5,2
NYY,New York Yankees,33,60,56,40,27
OAK,Oakland Athletics,36,60,29,15,9
PHI,Philadelphia Phillies,28,60,14,7,2
PIT,Pittsburgh Pirates,19,59,17,9,5
SD,San Diego Padres,38,61,6,2,0
SEA,Seattle Mariners,27,61,4,0,0
SF,San Francisco Giants,29,60,26,23,8
STL,St. Louis Cardinals,30,58,30,23,11
TB,Tampa Bay Rays,41,61,6,2,0
TEX,Texas Rangers,22,59,8,2,0
TOR,Toronto Blue Jays,32,61,8,2,2
WSH,Washington Nationals,26,62,6,1,1
