Acronimo,Equipo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas
ARI,Arizona Diamondbacks,81,162,5,1,1
ATL,Atlanta Braves,94,162,22,18,3
BAL,Baltimore Orioles,93,162,12,7,3
BOS,Boston Red Sox,69,162,20,12,7
CHC,Chicago Cubs,61,162,16,17,2
CHW,Chicago White Sox,85,162,9,6,3
CIN,Cincinnati Reds,97,162,14,10,5
COL,Colorado Rockies,64,162,3,1,0
DET,Detroit Tigers,88,162,14,11,4
HOU,Houston Astros,55,162,9,1,0
KC,Kansas City Royals,72,162,7,2,1
LAA,Los Angeles Angels,89,162,10,1,1
LAD,Los Angeles Dodgers,86,162,26,25,6
MIA,Miami Marlins,69,162,2,2,2
MIL,Milwaukee Brewers,83,162,4,1,0
MIN,Minnesota Twins,66,162,14,6,3
NYM,New York Mets,74,162,8,5,2
NYY,New York Yankees,95,162,50,40,27
OAK,Oakland Athletics,94,162,24,15,9
PHI,Philadelphia Phillies,81,162,14,7,2
PIT,Pittsburgh Pirates,79,162,14,9,5
SD,San Diego Padres,76,162,5,2,0
SEA,Seattle Mariners,75,162,4,0,0
SF,San Francisco Giants,94,162,23,23,7
STL,St. Louis Cardinals,88,162,26,23,11
TB,Tampa Bay Rays,90,162,3,1,0
TEX,Texas Rangers,93,162,6,2,0
TOR,Toronto Blue Jays,73,162,5,2,2
WSH,Washington Nationals,98,162,2,1,0
