"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2024",""
"","Logan Webb","SP","SF","33","33","216.0","201","83","78","31","194","11","13","0","1.07","3.25","5.55","98.21","$8,000,000",""
"","Zac Gallen","SP","ARI","34","34","210.0","188","87","81","47","220","17","9","0","1.12","3.47","4.38","95.63","$10,011,000",""
"","Miles Mikolas","SP","STL","35","35","201.3","226","110","107","39","137","9","13","0","1.32","4.78","1.86","29.31","$16,000,000",""
"","Chris Bassitt","SP","TOR","33","33","200.0","176","88","80","59","186","16","8","0","1.17","3.60","2.53","61.39","$21,000,000",""
"","Framber Valdez","SP","HOU","31","31","198.0","166","86","76","57","200","12","11","0","1.13","3.46","3.15","89.90","$12,100,000",""
"","Luis Castillo","SP","SEA","33","33","197.0","160","81","73","56","219","14","9","0","1.10","3.34","3.35","70.16","$22,750,000",""
"","Mitch Keller","SP","PIT","32","32","194.3","187","97","91","55","210","13","9","0","1.25","4.21","2.85","81.98","$7,500,000",""
"","Pablo López","SP","MIN","32","32","194.0","176","81","79","48","234","11","8","0","1.15","3.67","3.35","87.09","$9,000,000",""
"","Aaron Nola","SP","PHI","32","32","193.7","178","105","96","45","202","12","9","0","1.15","4.46","2.11","62.45","$24,571,428",""
"","Corbin Burnes","SP","MIL","32","32","193.7","141","77","73","66","200","10","8","0","1.07","3.39","3.57","89.51","$15,637,000",""
"","Kyle Gibson","SP","BAL","33","33","192.0","198","101","101","55","157","15","9","0","1.32","4.73","0.88","47.29","$12,000,000",""
"","Zack Wheeler","SP","PHI","32","32","192.0","168","82","77","39","212","13","6","0","1.08","3.61","4.22","77.62","$23,500,000",""
"","Logan Gilbert","SP","SEA","32","32","190.7","169","82","79","36","189","13","7","0","1.08","3.73","3.05","90.63","$4,050,000",""
"","George Kirby","SP","SEA","31","31","190.7","179","74","71","19","172","13","10","0","1.04","3.35","3.90","96.39","$798,600",""
"","Jose Berrios","SP","TOR","32","32","189.7","173","82","77","52","184","11","12","0","1.19","3.65","2.35","57.84","$17,000,000",""
"","Jordan Montgomery","SP","TEX","32","32","188.7","177","75","67","48","166","10","11","0","1.19","3.20","2.06","73.62","$0",""
"","Spencer Strider","SP","ATL","32","32","186.7","146","85","80","58","281","20","5","0","1.09","3.86","3.40","88.23","$1,000,000",""
"","Kevin Gausman","SP","TOR","31","31","185.0","163","72","65","55","237","12","9","0","1.18","3.16","3.40","71.20","$24,000,000",""
"","Sandy Alcantara","SP","MIA","28","28","184.7","176","91","85","48","151","7","12","0","1.21","4.14","3.41","77.36","$9,000,000",""
"","Lucas Giolito","SP","CLE","33","33","184.3","169","110","100","73","204","8","15","0","1.31","4.88","2.82","36.85","$18,000,000",""
"","Sonny Gray","SP","MIN","32","32","184.0","156","59","57","55","183","8","8","0","1.15","2.79","5.35","95.51","$10,000,000",""
"","Lance Lynn","SP","LAD","32","32","183.7","189","127","117","67","191","13","11","0","1.39","5.73","-1.11","4.90","$10,000,000",""
"","Patrick Corbin","SP","WSH","32","32","180.0","210","113","104","57","124","10","15","0","1.48","5.20","0.35","7.77","$25,000,000",""
"","Blake Snell","SP","SD","32","32","180.0","115","47","45","99","234","14","9","0","1.19","2.25","6.02","98.20","$32,000,000",""
"","Jesús Luzardo","SP","MIA","32","32","178.7","162","79","71","55","208","10","10","0","1.22","3.58","4.03","87.04","$5,500,000",""
"","Jordan Lyles","SP","KC","31","31","177.7","176","130","124","45","120","6","17","0","1.24","6.28","-1.28","7.35","$8,500,000",""
"","Zach Eflin","SP","TB","31","31","177.7","158","69","69","24","186","16","8","0","1.02","3.50","3.52","89.07","$11,000,000",""
"","Johan Oviedo","SP","PIT","32","32","177.7","161","91","85","83","158","9","14","0","1.37","4.31","2.05","64.16","$765,000",""
"","Merrill Kelly","SP","ARI","30","30","177.7","143","71","65","69","187","12","8","0","1.19","3.29","3.86","88.72","$8,000,000",""
"","Dylan Cease","SP","CHW","33","33","177.0","172","98","90","79","214","7","9","0","1.42","4.58","2.36","51.26","$8,000,000",""
"","Bryce Elder","SP","ATL","31","31","174.7","160","79","74","63","128","12","4","0","1.28","3.81","2.93","85.26","$0",""
"","Justin Steele","SP","CHC","30","30","173.3","167","71","59","36","176","16","5","0","1.17","3.06","3.76","96.71","$4,000,000",""
"","Taijuan Walker","SP","PHI","31","31","172.7","155","87","84","71","138","15","6","0","1.31","4.38","2.50","52.77","$18,000,000",""
"","Dane Dunning","SP","TEX","35","26","172.7","163","73","71","55","140","12","7","0","1.26","3.70","3.01","82.12","$3,325,000",""
"","Dean Kremer","SP","BAL","32","32","172.7","171","85","79","55","157","13","5","0","1.31","4.12","1.52","69.39","$756,600",""
"","JP Sears","SP","OAK","32","32","172.3","165","90","87","53","161","5","14","0","1.26","4.54","2.51","53.26","$745,000",""
"","Kyle Bradish","SP","BAL","30","30","168.7","132","54","53","44","168","12","7","0","1.04","2.83","4.93","98.55","$754,500",""
"","Yusei Kikuchi","SP","TOR","32","32","167.7","165","78","72","48","181","11","6","0","1.27","3.87","1.81","51.79","$10,000,000",""
"","Kodai Senga","SP","NYM","29","29","166.3","126","60","55","77","202","12","7","0","1.22","2.98","4.53","89.27","$14,000,000",""
"","Freddy Peralta","SP","MIL","30","30","165.7","131","77","71","54","210","12","10","0","1.12","3.86","1.96","78.24","$5,500,000",""
"","Charlie Morton","SP","ATL","30","30","163.3","150","70","66","83","183","14","12","0","1.43","3.64","3.16","57.85","$20,000,000",""
"","Justin Verlander","SP","HOU","28","27","162.3","139","63","58","45","144","13","8","0","1.13","3.22","2.20","28.45","$22,544,808",""
"","Cristian Javier","SP","HOU","31","31","162.0","143","85","82","62","159","10","5","0","1.26","4.56","1.12","34.53","$7,000,000",""
"","Joe Ryan","SP","MIN","29","29","161.7","155","83","81","34","197","11","10","0","1.17","4.51","1.20","62.48","$758,850",""
"","Braxton Garrett","SP","MIA","31","30","159.7","154","68","65","29","156","9","7","0","1.15","3.66","3.77","85.65","$764,000",""
"","Brady Singer","SP","KC","29","29","159.7","182","102","98","49","133","8","11","0","1.45","5.52","0.30","27.79","$4,850,000",""
"","Clarke Schmidt","SP","NYY","33","32","159.0","169","91","82","46","149","9","9","0","1.35","4.64","0.67","39.76","$2,025,000",""
"","Josiah Gray","SP","WSH","30","30","159.0","152","72","69","80","143","8","13","0","1.46","3.91","3.17","70.87","$757,400",""
"","Jon Gray","SP","TEX","29","29","157.3","149","75","72","54","142","9","8","0","1.29","4.12","2.16","52.98","$13,000,000",""
"","Brayan Bello","SP","BOS","28","28","157.0","165","77","74","45","132","12","11","0","1.34","4.24","3.06","77.45","$2,000,000",""
"","Kyle Freeland","SP","COL","29","29","155.7","187","96","87","42","94","6","14","0","1.47","5.03","1.72","20.39","$15,000,000",""
"","Hunter Brown","SP","HOU","31","29","155.7","157","94","88","55","178","11","13","0","1.36","5.09","0.03","35.06","$774,500",""
"","Jameson Taillon","SP","CHC","30","29","154.3","156","96","83","41","140","8","10","1","1.28","4.84","-0.12","16.11","$18,000,000",""
"","Michael Lorenzen","SP","PHI","29","25","153.0","138","76","71","47","111","9","9","1","1.21","4.18","2.14","65.87","$4,500,000",""
"","Max Scherzer","SP","TEX","27","27","152.7","126","65","64","45","174","13","6","0","1.12","3.77","2.14","19.22","$22,500,000",""
"","Eduardo Rodriguez","SP","DET","26","26","152.7","128","59","56","48","143","13","9","0","1.15","3.30","3.47","85.83","$14,000,000",""
"","Alex Cobb","SP","SF","28","28","151.3","163","69","65","37","131","7","7","0","1.32","3.87","2.63","56.66","$10,000,000",""
"","Reid Detmers","SP","LAA","28","28","148.7","141","81","74","60","168","4","10","0","1.35","4.48","2.14","57.48","$770,000",""
"","Andrew Heaney","SP","TEX","34","28","147.3","143","74","68","60","151","10","6","0","1.38","4.15","1.43","27.08","$13,000,000",""
"","Rich Hill","SP","SD","32","27","146.3","165","98","88","58","129","8","14","0","1.52","5.41","0.47","12.75","$0",""
"","Seth Lugo","SP","SD","26","26","146.3","140","62","58","36","140","8","7","0","1.20","3.57","1.81","67.39","$15,000,000",""
"","Graham Ashcraft","SP","CIN","26","26","145.7","148","78","77","52","111","7","9","0","1.37","4.76","2.35","59.80","$750,000",""
"","Patrick Sandoval","SP","LAA","28","28","144.7","145","89","66","74","128","7","13","0","1.51","4.11","0.53","46.61","$5,025,000",""
"","Jack Flaherty","SP","BAL","29","27","144.3","162","83","80","66","148","8","9","0","1.58","4.99","1.36","29.63","$14,000,000",""
"","Trevor Williams","SP","WSH","30","30","144.3","178","97","89","53","111","6","10","0","1.60","5.55","-0.09","6.57","$7,000,000",""
"","Bailey Ober","SP","MIN","26","26","144.3","125","58","55","29","146","8","6","0","1.07","3.43","2.98","87.87","$761,850",""
"","Nathan Eovaldi","SP","TEX","25","25","144.0","117","59","58","47","132","12","5","0","1.14","3.63","3.05","75.01","$16,000,000",""
"","Ryne Nelson","SP","ARI","29","27","144.0","159","87","85","46","96","8","8","0","1.42","5.31","","22.99","$764,300",""
"","Nick Pivetta","RP","BOS","38","16","142.7","110","69","64","50","183","10","9","1","1.12","4.04","2.36","0.00","$7,500,000",""
"","Zack Greinke","SP","KC","30","27","142.3","158","82","80","23","97","2","15","0","1.27","5.06","0.99","24.14","$0",""
"","Drew Smyly","SP","CHC","41","23","142.3","147","89","79","56","141","11","11","0","1.43","5.00","-0.02","10.55","$10,500,000",""
"","Tanner Bibee","SP","CLE","25","25","142.0","122","49","47","45","141","10","4","0","1.18","2.98","3.56","94.90","$745,700",""
"","Martin Perez","RP","TEX","35","20","141.7","150","74","70","49","93","10","4","0","1.40","4.45","0.79","0.00","$8,000,000",""
"","Tyler Anderson","SP","LAA","27","25","141.0","146","90","85","64","119","6","6","0","1.49","5.43","0.20","11.06","$13,000,000",""
"","Ken Waldichuk","SP","OAK","34","22","141.0","149","93","84","71","132","4","9","1","1.56","5.36","-0.05","11.97","$745,000",""
"","Austin Gomber","SP","COL","27","27","139.0","164","88","85","43","87","9","9","0","1.49","5.50","1.10","30.37","$3,150,000",""
"","Kyle Hendricks","SP","CHC","24","24","137.0","138","68","57","27","93","6","8","0","1.20","3.75","1.45","53.47","$16,500,000",""
"","Marcus Stroman","SP","CHC","27","25","136.7","120","68","60","52","119","10","9","0","1.26","3.95","1.64","43.31","$19,000,000",""
"","Yu Darvish","SP","SD","24","24","136.3","134","71","69","43","141","8","10","0","1.30","4.56","0.70","28.39","$15,000,000",""
"","MacKenzie Gore","SP","WSH","27","27","136.3","134","71","67","57","151","7","10","0","1.40","4.42","1.99","52.92","$749,600",""
"","J.P. France","SP","HOU","24","23","136.3","138","64","58","47","101","11","6","0","1.36","3.83","1.47","75.23","$767,600",""
"","Michael Wacha","SP","SD","24","24","134.3","113","49","48","43","124","14","4","0","1.16","3.22","2.38","86.94","$16,000,000",""
"","Shohei Ohtani","SP/DH","LAA","135","135","132.0","85","50","46","55","167","10","5","0","1.06","3.14","4.01","99.84","$2,000,000",""
"","Clayton Kershaw","SP","LAD","24","24","131.7","100","39","36","40","137","13","5","0","1.06","2.46","3.72","85.32","$5,000,000",""
"","Mike Clevinger","SP","CHW","24","24","131.3","121","56","55","40","110","9","9","0","1.23","3.77","3.32","70.81","$0",""
"","Bryce Miller","SP","SEA","25","25","131.3","124","64","63","26","119","8","7","0","1.14","4.32","1.22","65.18","$752,600",""
"","Michael Kopech","SP","CHW","30","27","129.3","115","80","78","91","134","5","12","0","1.59","5.43","0.70","12.68","$3,000,000",""
"","Kutter Crawford","SP","BOS","31","23","129.3","107","59","58","36","135","6","8","0","1.11","4.04","2.46","71.08","$760,000",""
"","Shane Bieber","SP","CLE","21","21","128.0","124","56","54","34","107","6","6","0","1.23","3.80","1.76","63.68","$13,125,000",""
"","Griffin Canning","SP","LAA","24","22","127.0","121","62","61","36","139","7","8","0","1.24","4.32","2.03","65.64","$2,600,000",""
"","Tylor Megill","SP","NYM","25","25","126.3","141","76","66","58","105","9","8","0","1.58","4.70","0.67","39.51","$766,250",""
"","Logan Allen","SP","CLE","24","24","125.3","127","55","53","48","119","7","8","0","1.40","3.81","1.54","63.58","$744,300",""
"","Ranger Suarez","SP","PHI","22","22","125.0","129","59","58","48","119","4","6","0","1.42","4.18","2.38","63.29","$5,050,000",""
"","Colin Rea","SP","MIL","26","22","124.7","110","65","63","38","110","6","6","0","1.19","4.55","0.66","47.28","$3,500,000",""
"","Bobby Miller","SP","LAD","22","22","124.3","105","53","52","32","119","11","4","0","1.10","3.76","2.04","89.36","$750,000",""
"","Luke Weaver","RP","NYY","29","25","123.7","155","90","88","40","109","3","6","0","1.58","6.40","-0.84","0.00","$2,000,000",""
"","Aaron Civale","SP","TB","23","23","122.3","109","47","47","33","116","7","5","0","1.16","3.46","2.69","85.40","$4,900,000",""
"","Grayson Rodriguez","SP","BAL","23","23","122.0","121","62","59","42","129","7","4","0","1.34","4.35","0.92","57.94","$748,300",""
"","Jake Irvin","SP","WSH","24","24","121.0","118","66","62","54","99","3","7","0","1.42","4.61","1.09","37.66","$745,600",""
"","Wade Miley","SP","MIL","23","23","120.3","99","44","42","38","79","9","4","0","1.14","3.14","2.52","83.43","$7,000,000",""
"","Tyler Glasnow","SP","TB","21","21","120.0","93","52","47","37","162","10","7","0","1.08","3.53","1.97","75.82","$25,000,000",""
"","Tyler Wells","SP","BAL","25","20","118.7","83","50","48","34","117","7","6","1","0.99","3.64","1.66","72.15","$1,962,500",""
"","Sean Manaea","RP","SF","37","10","117.7","104","68","58","42","128","7","6","1","1.24","4.44","0.28","0.00","$14,500,000",""
"","Julio Urias","SP","LAD","21","21","117.3","112","61","60","24","117","11","8","0","1.16","4.60","0.66","36.05","$0",""
"","Brandon Williamson","SP","CIN","23","23","117.0","111","63","58","39","98","5","5","0","1.28","4.46","1.56","55.69","$742,500",""
"","Shane McClanahan","SP","TB","21","21","115.0","95","42","42","41","121","11","2","0","1.18","3.29","2.73","90.62","$3,600,000",""
"","Hunter Greene","SP","CIN","22","22","112.0","111","65","60","48","152","4","7","0","1.42","4.82","0.88","16.97","$3,000,000",""
"","Adrian Houser","SP","MIL","23","21","111.3","121","56","51","34","96","8","5","0","1.39","4.12","0.86","54.47","$5,050,000",""
"","David Peterson","SP","NYM","27","21","111.0","124","64","62","50","128","3","8","0","1.57","5.03","0.57","20.99","$2,150,000",""
"","Nick Martinez","RP","SD","62","9","110.3","99","45","42","40","106","6","4","1","1.26","3.43","1.38","47.55","$14,000,000",""
"","Luis Medina","SP","OAK","23","17","109.7","109","73","66","57","106","3","10","0","1.51","5.42","-0.06","17.30","$740,000",""
"","Andrew Abbott","SP","CIN","21","21","109.3","100","47","47","44","120","8","6","0","1.32","3.87","2.72","76.72","$742,500",""
"","Javier Assad","SP","CHC","32","10","109.3","93","38","37","41","94","5","3","0","1.23","3.05","2.29","64.55","$755,000",""
"","Domingo German","SP","NYY","20","19","108.7","83","61","55","34","114","5","7","0","1.08","4.56","0.76","53.18","$0",""
"","Tanner Houck","SP","BOS","21","21","106.0","104","61","59","41","99","6","10","0","1.37","5.01","1.27","49.85","$770,000",""
"","Steven Matz","SP","STL","25","17","105.0","108","48","45","32","98","4","7","0","1.33","3.86","1.72","38.93","$12,000,000",""
"","Taj Bradley","SP","TB","23","21","104.7","106","69","65","39","129","5","8","0","1.38","5.59","-0.44","14.99","$743,300",""
"","Michael King","SP","NYY","49","9","104.7","88","35","32","32","127","4","8","6","1.15","2.75","3.25","71.51","$3,150,000",""
"","Kenta Maeda","SP","MIN","21","20","104.3","94","50","49","28","117","6","8","0","1.17","4.23","1.09","55.39","$14,000,000",""
"","Paul Blackburn","SP","OAK","21","20","103.7","117","54","51","43","104","4","7","0","1.54","4.43","1.28","40.76","$3,450,000",""
"","Reese Olson","SP","DET","21","18","103.7","83","49","46","33","103","5","7","0","1.12","3.99","1.49","71.65","$752,300",""
"","Tony Gonsolin","SP","LAD","20","20","103.0","86","61","57","40","82","8","5","0","1.22","4.98","-0.18","40.79","$5,400,000",""
"","Chris Sale","SP","BOS","20","20","102.7","87","52","49","29","125","6","5","0","1.13","4.30","1.71","20.20","$0",""
"","Chris Flexen","SP","COL","27","16","102.3","133","81","78","38","74","2","8","0","1.67","6.86","-0.86","2.60","$1,750,000",""
"","Adam Wainwright","SP","STL","23","21","101.0","151","89","83","41","55","5","11","0","1.90","7.40","-1.99","0.08","$0",""
"","Anthony DeSclafani","SP","SF","19","18","99.7","105","59","54","20","79","4","8","0","1.25","4.88","0.24","22.74","$4,000,000",""
"","Cal Quantrill","SP","CLE","19","19","99.7","111","59","58","35","58","4","7","0","1.47","5.24","-0.09","21.30","$6,550,000",""
"","Edward Cabrera","SP","MIA","22","20","99.7","78","48","47","66","118","7","7","0","1.45","4.24","1.78","60.57","$761,000",""
"","Cristopher Sanchez","SP","PHI","19","18","99.3","88","44","38","16","96","3","5","0","1.05","3.44","2.13","75.42","$753,500",""
"","Alex Wood","RP","SF","29","12","97.7","98","52","47","42","74","5","5","0","1.43","4.33","0.73","0.00","$8,500,000",""
"","Joe Musgrove","SP","SD","17","17","97.3","90","35","33","21","97","10","3","0","1.14","3.05","1.92","70.91","$20,000,000",""
"","James Paxton","SP","BOS","19","19","96.0","93","51","48","33","101","7","5","0","1.31","4.50","1.07","35.80","$7,000,000",""
"","Cole Ragans","RP","KC","29","12","96.0","70","40","37","41","113","7","5","0","1.16","3.47","-0.23","0.00","$753,750",""
"","Brandon Pfaadt","SP","ARI","19","18","96.0","109","63","61","26","94","3","9","0","1.41","5.72","-0.41","11.65","$754,400",""
