"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Cash2023",""
"","Whit Merrifield","2B","KC","162","1.000","161","0.994","681","206","41","10","16","74","0.303","0.348","0.463","0.811","3.60","78.81","$6,750,000",""
"","Rafael Devers","3B","BOS","156","0.963","152","0.938","647","201","54","4","32","115","0.311","0.361","0.555","0.916","5.37","96.89","$22,500,000",""
"","D.J. LeMahieu","2B","NYY","145","0.895","142","0.877","602","197","33","2","26","102","0.327","0.375","0.518","0.893","5.61","88.79","$15,000,000",""
"","Xander Bogaerts","SS","BOS","155","0.957","154","0.951","614","190","52","0","33","117","0.309","0.384","0.555","0.939","6.30","84.55","$30,000,000",""
"","Ozzie Albies","2B","ATL","160","0.988","157","0.969","640","189","43","8","24","86","0.295","0.352","0.500","0.852","4.88","87.58","$7,000,000",""
"","Marcus Semien","SS","OAK","162","1.000","162","1.000","656","187","43","7","33","92","0.285","0.370","0.523","0.893","8.49","97.98","$26,000,000",""
"","Ketel Marte","2B","ARI","145","0.895","139","0.858","569","187","36","9","32","92","0.329","0.389","0.592","0.981","6.92","98.71","$11,000,000",""
"","Jorge Polanco","SS","MIN","153","0.944","150","0.926","631","186","40","7","22","79","0.295","0.356","0.485","0.841","4.65","88.17","$7,500,000",""
"","Nolan Arenado","3B","COL","155","0.957","151","0.932","588","185","31","2","41","118","0.315","0.379","0.583","0.962","7.26","68.92","$13,000,000",""
"","Charlie Blackmon","RF","COL","140","0.864","136","0.840","580","182","42","7","32","86","0.314","0.364","0.576","0.940","2.28","69.14","$15,000,000",""
"","Jose Abreu","DH","CHW","159","0.988","159","0.988","634","180","38","1","33","123","0.284","0.330","0.503","0.834","2.45","48.24","$19,500,000",""
"","Michael Brantley","LF","HOU","148","0.914","143","0.883","575","179","40","2","22","90","0.311","0.372","0.503","0.875","4.77","69.04","$12,000,000",""
"","Nick Castellanos","RF","CHC","155","0.957","152","0.938","615","178","58","3","27","73","0.289","0.337","0.525","0.863","1.04","52.98","$20,000,000",""
