Rank,Player,Pos,Team,GP,GP%,GS,GS%,AB,H,2B,3B,HR,RBI,AVG,OBP,SLG,OPS,WAR,TVS,Cash2023
,Terrin Vavra,SS,BAL,27,0.167,14,0.086,49,12,0,0,0,5,0.245,0.315,0.245,0.56,-0.51,0,$0
,Danny Mendick,2B,NYM,35,0.215,19,0.117,65,12,3,0,1,4,0.185,0.232,0.277,0.509,-0.86,0,$0
,Jose Fermin,2B,STL,21,0.13,16,0.099,51,12,1,0,0,4,0.235,0.339,0.255,0.594,0.08,0,$0
,Darin Ruf,1B,MIL,20,0.124,15,0.093,49,11,3,0,0,3,0.225,0.333,0.286,0.619,-0.01,0,$0
,Iván Herrera,C,STL,13,0.08,10,0.062,37,11,2,0,0,4,0.297,0.409,0.351,0.76,0.33,0,"$743,150"
,Brett Phillips,RF,LAA,39,0.239,18,0.11,63,11,1,0,3,6,0.175,0.268,0.333,0.601,-0.09,0,$0
,Juan Yepez,3B,STL,27,0.167,15,0.093,60,11,1,0,2,2,0.183,0.246,0.3,0.546,-0.74,0,$0
,Bobby Dalbec,1B,BOS,21,0.129,15,0.092,49,10,2,0,1,1,0.204,0.264,0.306,0.57,-0.12,0,"$743,652"
,Andre Lipcius,3B,DET,13,0.08,8,0.049,35,10,1,0,1,4,0.286,0.342,0.4,0.742,-0.25,0,$0
,Carlos Pérez,C,CHW,27,0.166,9,0.055,49,10,4,0,1,3,0.204,0.264,0.347,0.611,-0.03,0,$0
,Tyler Heineman,C,TOR,22,0.136,16,0.099,38,9,1,1,0,3,0.237,0.383,0.316,0.699,-0.07,0,$0
,Marco Luciano,SS,SF,14,0.086,13,0.08,39,9,3,0,0,0,0.231,0.333,0.308,0.641,0.07,0,$0
,Eguy Rosario,SS,SD,11,0.068,9,0.055,36,9,1,1,2,6,0.25,0.27,0.5,0.77,0.43,0,"$744,400"
,Ben Rortvedt,C,NYY,32,0.196,24,0.147,68,8,1,0,2,4,0.118,0.241,0.221,0.461,-0.2,0,"$755,400"
,Oneil Cruz,SS,PIT,9,0.056,9,0.056,32,8,1,0,1,4,0.25,0.375,0.375,0.75,0.15,0,"$755,000"
,Grae Kessinger,SS,HOU,25,0.154,8,0.049,40,8,2,0,1,1,0.2,0.289,0.325,0.614,0.02,0,"$742,100"
,Andrew Stevenson,OF,MIN,25,0.154,7,0.043,37,7,1,0,0,1,0.189,0.25,0.216,0.466,0.06,0,$0
,Luis Torrens,C,SEA,18,0.111,6,0.037,28,7,3,0,0,4,0.25,0.3,0.357,0.657,-0.12,0,$0
,José Tena,SS,CLE,18,0.111,8,0.049,31,7,2,0,0,3,0.226,0.294,0.29,0.584,-0.34,0,$0
,Blake Rutherford,OF,WSH,16,0.099,11,0.068,35,6,0,0,0,2,0.171,0.194,0.171,0.366,-0.24,0,$0
,Forrest Wall,OF,ATL,15,0.092,2,0.012,13,6,2,0,1,2,0.462,0.533,0.846,1.379,0.32,0,"$750,000"
,Travis Blankenhorn,3B,WSH,10,0.062,10,0.062,31,5,0,0,1,1,0.161,0.297,0.258,0.555,-0.1,0,$0
,Austin Meadows,DH,DET,7,0.043,5,0.031,21,5,1,0,0,2,0.238,0.238,0.286,0.524,-0.15,0,$0
,Korey Lee,C,CHW,24,0.147,23,0.141,65,5,1,0,1,3,0.077,0.143,0.138,0.281,-0.66,0,"$745,000"
,Alexander Canario,OF,CHC,6,0.037,4,0.025,17,5,1,1,1,6,0.294,0.294,0.647,0.941,-0.06,0,"$664,326"
,Michael Perez,C,NYM,3,0.018,2,0.012,8,4,1,0,0,0,0.5,0.5,0.625,1.125,0.25,0,$0
,Jordan Lawlar,SS,ARI,14,0.086,9,0.055,31,4,0,0,0,0,0.129,0.206,0.129,0.335,-0.05,0,$0
,Roberto Perez,C,SF,5,0.031,5,0.031,15,2,0,0,0,1,0.133,0.235,0.133,0.369,-0.09,0,$0
,Juniel Querecuto,2B,STL,9,0.056,5,0.031,20,2,1,0,0,0,0.1,0.143,0.15,0.293,-0.26,0,$0
,Luke Williams,SS,ATL,11,0.068,3,0.018,19,1,0,0,0,0,0.053,0.053,0.053,0.105,-0.15,0,$0
,Adam Wainwright,SP,STL,23,0.142,21,0.13,2,0,0,0,0,0,0,0,0,0,-1.99,0.08,$0
,Shelby Miller,RP,LAD,33,0.201,1,0.006,1,0,0,0,0,0,0,0,0,0,1.46,0,"$3,000,000"
,Michael Fulmer,RP,CHC,58,0.358,1,0.006,1,0,0,0,0,0,0,0,0,0,0.15,16.72,$0
,Josh Sborz,RP,TEX,43,0.265,0,0,1,0,0,0,0,0,0,0,0,0,-0.54,0,"$1,025,000"
,Mike Siani,OF,STL,8,0.049,0,0,5,0,0,0,0,0,0,0.167,0,0.167,-0.06,0,"$741,650"
