Rank,Player,Pos,Team,GP,GP%,GS,GS%,AB,H,2B,3B,HR,RBI,AVG,OBP,SLG,OPS,WAR,TVS,Cash2023
,Leody Taveras,CF,TEX,143,0.883,138,0.852,511,136,31,3,14,67,0.266,0.312,0.421,0.733,2.68,58.24,"$2,550,000"
,Adolis García,RF,TEX,148,0.914,145,0.895,555,136,29,0,39,107,0.245,0.328,0.508,0.836,4.23,94.86,"$4,750,000"
,Keibert Ruiz,C,WSH,136,0.84,132,0.815,523,136,24,0,18,67,0.26,0.308,0.409,0.717,1.29,28.9,"$6,000,000"
,T.J. Friedl,LF,CIN,138,0.852,122,0.753,488,136,22,8,18,66,0.279,0.352,0.467,0.819,3.79,90.31,"$750,000"
,Josh Bell,1B,MIA,150,0.915,148,0.902,547,135,28,0,22,74,0.247,0.325,0.419,0.744,-0.02,14.1,"$16,500,000"
,Bryce Harper,1B,PHI,126,0.773,125,0.767,457,134,29,1,21,72,0.293,0.401,0.499,0.9,3.68,78.33,"$26,000,000"
,Ke'Bryan Hayes,3B,PIT,124,0.765,120,0.741,494,134,31,7,15,61,0.271,0.309,0.453,0.762,4,65.16,"$7,000,000"
,Amed Rosario,SS,LAD,142,0.866,118,0.72,510,134,25,8,6,58,0.263,0.305,0.378,0.683,-0.16,15.77,"$1,500,000"
,Dominic Smith,1B,WSH,153,0.944,141,0.87,527,134,21,1,12,46,0.254,0.326,0.366,0.692,0.89,23,$0
,Thairo Estrada,2B,SF,120,0.741,119,0.735,495,134,26,2,14,49,0.271,0.315,0.416,0.731,2.38,64.25,"$4,700,000"
,Ryan McMahon,3B,COL,152,0.938,147,0.907,555,133,31,3,23,70,0.24,0.322,0.431,0.753,2.89,49.01,"$12,000,000"
,Carlos Santana,1B,MIL,146,0.901,145,0.895,550,132,33,1,23,86,0.24,0.318,0.429,0.747,1.6,51.36,"$5,250,000"
,Elias Diaz,C,COL,141,0.87,123,0.759,486,130,25,1,14,72,0.268,0.316,0.409,0.725,1.4,28.73,"$6,000,000"
,Mauricio Dubon,2B,HOU,131,0.809,106,0.654,467,130,26,3,10,46,0.278,0.309,0.411,0.72,2.69,46.46,"$3,500,000"
,Orlando Arcia,2B,ATL,139,0.853,136,0.834,488,129,25,0,17,65,0.264,0.321,0.42,0.741,1.59,41.5,"$2,000,000"
,Jose Abreu,1B,HOU,141,0.87,141,0.87,540,128,23,1,18,90,0.237,0.296,0.383,0.68,-0.09,7.25,"$19,500,000"
,Brandon Drury,3B,LAA,125,0.767,122,0.749,485,127,30,3,26,83,0.262,0.306,0.497,0.803,1.81,55,"$8,500,000"
,Jeimer Candelario,3B,CHC,140,0.864,139,0.858,505,127,39,3,22,70,0.252,0.336,0.471,0.807,2.91,75.49,"$15,000,000"
,Josh Jung,3B,TEX,122,0.753,120,0.741,478,127,25,1,23,70,0.266,0.315,0.467,0.781,2.35,68.6,"$756,000"
,Jorge Soler,DH,MIA,137,0.835,133,0.811,504,126,24,0,36,75,0.25,0.341,0.512,0.853,1.75,65.69,"$16,000,000"
,Maikel Garcia,SS,KC,123,0.755,118,0.724,464,126,20,4,4,50,0.272,0.323,0.358,0.681,1.05,41.82,"$751,250"
,Harold Ramirez,RF,TB,121,0.742,99,0.607,400,125,19,2,12,68,0.313,0.353,0.46,0.813,2.08,60.2,"$3,800,000"
,MJ Melendez,RF,KC,148,0.908,141,0.865,533,125,29,5,16,56,0.235,0.316,0.398,0.713,-0.35,29.88,"$754,750"
,Matt Vierling,RF,DET,134,0.822,121,0.742,479,125,21,5,10,44,0.261,0.329,0.388,0.717,1.45,39.44,"$766,000"
,Wander Franco,SS,TB,112,0.687,109,0.669,442,124,23,6,17,58,0.281,0.344,0.475,0.819,5.53,88.78,"$2,000,000"
,Eloy Jimenez,DH,CHW,120,0.736,118,0.724,456,124,23,0,18,64,0.272,0.317,0.441,0.758,0.32,28.1,"$13,000,000"
,J.T. Realmuto,C,PHI,135,0.828,130,0.798,489,123,28,5,20,63,0.252,0.31,0.452,0.762,3.58,40.08,"$23,875,000"
,Pete Alonso,1B,NYM,154,0.945,154,0.945,568,123,21,2,46,118,0.217,0.318,0.504,0.821,3.17,74.68,"$20,500,000"
,Jake Burger,3B,MIA,141,0.86,132,0.805,492,123,28,1,34,80,0.25,0.309,0.518,0.828,1.35,67.18,"$760,000"
,Isaac Paredes,3B,TB,142,0.871,133,0.816,492,123,24,0,31,98,0.25,0.352,0.488,0.84,4.26,91.07,"$3,400,000"
,Eddie Rosario,LF,ATL,142,0.871,132,0.81,478,122,24,3,21,74,0.255,0.305,0.45,0.755,1.07,29.13,"$2,000,000"
,Matt Chapman,3B,TOR,140,0.864,139,0.858,509,122,39,2,17,54,0.24,0.331,0.424,0.755,4.38,58.35,"$18,000,000"
,D.J. LeMahieu,3B,NYY,136,0.834,130,0.798,497,121,22,3,15,44,0.244,0.327,0.39,0.718,1.29,18.32,"$15,000,000"
,Tim Anderson,SS,CHW,123,0.755,119,0.73,493,121,18,2,1,25,0.245,0.286,0.296,0.582,-2,3.03,"$5,000,000"
,Will Smith,C,LAD,126,0.768,120,0.732,464,121,21,2,19,76,0.261,0.359,0.438,0.797,4.1,85.14,"$38,550,000"
,Willy Adames,SS,MIL,149,0.92,149,0.92,553,120,29,2,24,80,0.217,0.31,0.407,0.717,2.97,52.33,"$12,250,000"
,Yordan Alvarez,LF,HOU,114,0.704,113,0.698,410,120,24,1,31,97,0.293,0.407,0.583,0.99,4.53,96.57,"$10,000,000"
,James Outman,CF,LAD,150,0.915,137,0.835,483,120,16,3,23,70,0.248,0.353,0.437,0.79,3.28,82.45,"$770,000"
,Tommy Edman,SS,STL,136,0.84,129,0.796,479,119,25,4,13,47,0.248,0.307,0.399,0.705,2.02,50.2,"$7,000,000"
,Luis Garcia,2B,WSH,122,0.753,112,0.691,447,119,18,4,9,50,0.266,0.304,0.385,0.688,0.61,28.9,"$1,950,000"
,J.D. Davis,3B,SF,144,0.889,126,0.778,480,119,23,1,18,69,0.248,0.325,0.413,0.738,0.79,33.72,"$2,500,000"
,Cal Raleigh,C,SEA,144,0.889,128,0.79,513,119,23,1,30,75,0.232,0.306,0.456,0.762,3.21,69.78,"$795,000"
,Carlos Correa,SS,MIN,135,0.833,134,0.827,514,118,29,2,18,65,0.23,0.312,0.399,0.711,1.4,5.76,"$36,000,000"
,Jonah Heim,C,TEX,131,0.809,123,0.759,457,118,28,0,18,95,0.258,0.317,0.438,0.755,2.86,65.23,"$3,050,000"
,J.D. Martinez,DH,LAD,113,0.689,111,0.677,432,117,27,2,33,103,0.271,0.321,0.572,0.893,1.9,80.42,$0
,Randal Grichuk,RF,LAA,118,0.724,113,0.693,434,116,31,2,16,44,0.267,0.321,0.459,0.779,0.98,33.19,"$1,500,000"
,Daulton Varsho,LF,TOR,158,0.975,141,0.87,527,116,23,3,20,61,0.22,0.285,0.389,0.674,3.88,52.14,"$5,650,000"
,Jordan Walker,3B,STL,117,0.722,115,0.71,420,116,19,2,16,51,0.276,0.342,0.445,0.787,-0.07,45.66,"$747,450"
,Kerry Carpenter,LF,DET,118,0.724,111,0.681,418,116,17,2,20,64,0.278,0.34,0.471,0.811,2.05,70.16,"$761,000"
,Wilmer Flores,1B,SF,125,0.772,97,0.599,405,115,22,0,23,60,0.284,0.355,0.509,0.863,2.62,68.86,"$6,500,000"
,Kyle Schwarber,LF,PHI,160,0.982,160,0.982,585,115,19,1,47,104,0.197,0.343,0.474,0.817,0.73,50.94,"$20,000,000"
,Will Brennan,RF,CLE,137,0.846,109,0.673,432,115,24,0,5,41,0.266,0.299,0.356,0.655,0.52,14.47,"$744,900"
,Max Kepler,RF,MIN,130,0.803,112,0.691,438,114,22,2,24,66,0.26,0.332,0.484,0.816,2.85,65.27,"$10,000,000"
,Mark Canha,LF,MIL,139,0.858,122,0.753,435,114,25,1,11,62,0.262,0.355,0.4,0.755,1.16,29.44,"$11,500,000"
,Ryan Mountcastle,1B,BAL,115,0.71,108,0.667,423,114,21,1,18,68,0.27,0.328,0.452,0.779,2.07,66.58,"$4,137,500"
,Brent Rooker,LF,OAK,137,0.846,123,0.759,463,114,20,1,30,69,0.246,0.329,0.488,0.817,2.1,71.95,"$750,000"
,Jon Berti,SS,MIA,133,0.811,100,0.61,388,114,16,3,7,33,0.294,0.344,0.405,0.748,2.55,45.32,"$3,625,000"
,Esteury Ruiz,CF,OAK,132,0.815,114,0.704,449,114,24,1,5,47,0.254,0.309,0.345,0.654,-0.22,46.98,"$688,860"
,Javier Baez,SS,DET,136,0.834,132,0.81,510,113,18,4,9,59,0.222,0.267,0.325,0.593,0.66,2.53,"$25,000,000"
,Tyler Stephenson,C,CIN,142,0.877,122,0.753,465,113,20,2,13,56,0.243,0.317,0.378,0.696,0.66,25.42,"$2,525,000"
,Willson Contreras,C,STL,124,0.765,119,0.735,428,113,27,0,20,67,0.264,0.358,0.467,0.826,3.38,59.52,"$18,000,000"
,Triston Casas,1B,BOS,132,0.81,117,0.718,429,113,21,2,24,65,0.263,0.367,0.49,0.856,2.22,79.04,"$760,000"
,Anthony Volpe,SS,NYY,158,0.969,150,0.92,541,113,23,4,21,60,0.209,0.283,0.383,0.666,3.15,54.86,"$810,100"
,Jose Altuve,2B,HOU,90,0.556,89,0.549,360,112,21,2,17,51,0.311,0.393,0.522,0.915,2.8,0,"$41,000,000"
,Brandon Marsh,CF,PHI,133,0.816,117,0.718,404,112,25,6,12,60,0.277,0.372,0.458,0.829,3.42,81.72,"$766,500"
,Ezequiel Duran,2B,TEX,122,0.753,106,0.654,406,112,22,2,14,46,0.276,0.324,0.443,0.768,0.9,42.84,"$754,500"
,Donovan Solano,2B,MIN,133,0.821,95,0.586,394,111,26,1,5,38,0.282,0.369,0.391,0.76,1.76,36.78,$0
,Jurickson Profar,LF,SD,125,0.767,113,0.693,459,111,27,2,9,46,0.242,0.321,0.368,0.689,-1.67,15.8,"$1,000,000"
,Jonathan India,2B,CIN,119,0.735,117,0.722,454,111,23,0,17,61,0.245,0.338,0.407,0.746,1.28,69.39,"$3,800,000"
,Lars Nootbaar,CF,STL,117,0.722,112,0.691,426,111,23,1,14,46,0.261,0.367,0.418,0.784,3.33,84.13,"$761,000"
,Enrique Hernandez,SS,LAD,140,0.854,121,0.738,465,110,23,0,11,61,0.237,0.289,0.357,0.646,-0.59,6.01,"$4,000,000"
,Myles Straw,CF,CLE,147,0.907,137,0.846,462,110,18,3,1,29,0.238,0.301,0.297,0.597,1.13,11.53,$0
,LaMonte Wade Jr.,LF,SF,135,0.833,116,0.716,429,110,14,2,17,45,0.256,0.373,0.417,0.79,2.64,68.09,"$3,500,000"
,Chas McCormick,CF,HOU,115,0.71,108,0.667,403,110,17,2,22,70,0.273,0.353,0.489,0.842,3.62,92.16,"$2,850,000"
,Tommy Pham,LF,ARI,128,0.785,113,0.693,426,109,27,3,16,68,0.256,0.329,0.446,0.774,1.2,57.13,$0
,Nolan Jones,3B,COL,106,0.654,100,0.617,367,109,22,4,20,62,0.297,0.389,0.542,0.931,4.28,98.66,"$745,000"
,Riley Greene,CF,DET,99,0.607,94,0.577,378,109,19,4,11,37,0.288,0.349,0.447,0.796,1.89,66.5,"$766,300"
,Zach McKinstry,2B,DET,148,0.908,116,0.712,464,107,21,4,9,35,0.231,0.302,0.351,0.654,1.2,25.5,"$764,400"
,Garrett Cooper,1B,SD,123,0.755,106,0.65,422,106,18,1,17,61,0.251,0.304,0.419,0.724,0.1,21.45,"$1,500,000"
,Matt McLain,SS,CIN,89,0.549,88,0.543,365,106,23,4,16,50,0.29,0.357,0.507,0.864,3.65,0,"$742,500"
,Jake Cronenworth,1B,SD,127,0.779,124,0.761,458,105,24,7,10,48,0.229,0.312,0.378,0.689,1,30.76,"$9,000,000"
,Luis Rengifo,SS,LAA,126,0.773,106,0.65,394,104,15,4,16,51,0.264,0.339,0.444,0.783,1.89,53.95,"$4,400,000"
,Yan Gomes,C,CHC,116,0.716,102,0.63,382,102,20,2,10,63,0.267,0.315,0.408,0.723,1.67,28.83,"$6,000,000"
,David Peralta,LF,LAD,133,0.811,104,0.634,394,102,25,1,7,55,0.259,0.294,0.381,0.675,0.64,11.21,$0
,Max Muncy,1B,LAD,135,0.823,131,0.799,482,102,17,1,36,105,0.212,0.333,0.475,0.808,2.62,72.91,"$12,000,000"
,Connor Joe,LF,PIT,133,0.821,102,0.63,413,102,31,4,11,42,0.247,0.339,0.421,0.76,0.72,40.61,"$2,125,000"
,Andrew McCutchen,RF,PIT,112,0.691,104,0.642,390,100,19,0,12,43,0.256,0.378,0.397,0.776,1.49,63.32,"$5,000,000"
,Charlie Blackmon,RF,COL,96,0.593,89,0.549,359,100,24,5,8,40,0.279,0.363,0.44,0.803,1.41,0,"$13,000,000"
,Jack Suwinski,CF,PIT,144,0.889,128,0.79,447,100,21,2,26,74,0.224,0.339,0.454,0.793,2.21,75.45,"$755,000"
,Ryan O'Hearn,1B,BAL,112,0.691,89,0.549,346,100,22,1,14,60,0.289,0.322,0.48,0.801,1.23,48.44,"$3,500,000"
,Geraldo Perdomo,SS,ARI,144,0.883,116,0.712,407,100,20,4,6,47,0.246,0.353,0.359,0.712,2.19,52.08,"$786,000"
,Yainer Diaz,C,HOU,104,0.642,85,0.525,355,100,22,0,23,60,0.282,0.308,0.538,0.846,3.18,77.04,"$768,900"
,Adam Frazier,2B,BAL,141,0.87,113,0.698,412,99,21,2,13,60,0.24,0.3,0.396,0.696,1.7,24.12,"$2,000,000"
,Kevin Kiermaier,CF,TOR,129,0.796,111,0.685,370,98,21,6,8,36,0.265,0.322,0.419,0.741,3.86,46.91,"$10,500,000"
,Aaron Judge,CF,NYY,106,0.65,104,0.638,367,98,16,0,37,75,0.267,0.406,0.613,1.019,4.46,87.28,"$40,000,000"
,Jarren Duran,CF,BOS,102,0.626,82,0.503,332,98,34,2,8,40,0.295,0.346,0.482,0.828,2.2,80.09,"$760,000"
,Michael Conforto,RF,SF,125,0.772,115,0.71,406,97,14,0,15,58,0.239,0.334,0.384,0.718,0.66,14.72,"$18,000,000"
,Gabriel Moreno,C,ARI,111,0.681,94,0.577,341,97,19,1,7,50,0.285,0.34,0.408,0.747,4.31,62.73,"$760,100"
,Nolan Gorman,3B,STL,116,0.716,106,0.654,406,96,17,0,27,76,0.237,0.328,0.478,0.805,2.42,80.07,"$755,550"
,Christopher Morel,OF,CHC,107,0.661,101,0.624,388,96,17,3,26,70,0.247,0.313,0.508,0.821,1.15,73.5,"$767,000"
,Ramon Urias,3B,BAL,116,0.716,96,0.593,360,95,22,3,4,42,0.264,0.328,0.375,0.703,1.64,30.28,"$2,100,000"
,Elvis Andrus,SS,CHW,112,0.687,106,0.65,374,94,20,1,6,44,0.251,0.304,0.358,0.662,0.55,19.5,$0
,Andy Ibanez,2B,DET,113,0.693,93,0.571,356,94,23,2,11,41,0.264,0.312,0.433,0.744,1.86,37.33,"$766,100"
,Jarred Kelenic,LF,SEA,105,0.648,98,0.605,372,94,25,2,11,49,0.253,0.327,0.419,0.746,2.01,61.39,"$760,000"
,Cedric Mullins,CF,BAL,115,0.71,103,0.636,404,94,23,3,15,74,0.233,0.305,0.416,0.721,2.78,65.9,"$6,325,000"
,Sean Murphy,C,ATL,108,0.663,102,0.626,370,93,21,0,21,68,0.251,0.365,0.478,0.844,3.93,79.98,"$9,000,000"
,Ryan Noda,1B,OAK,128,0.79,108,0.667,406,93,22,1,16,54,0.229,0.364,0.406,0.77,2.29,68.63,"$745,000"
,Brendan Donovan,2B,STL,95,0.586,81,0.5,327,93,10,1,11,34,0.284,0.365,0.422,0.787,1.88,0,"$757,200"
,Edward Olivares,LF,KC,107,0.656,92,0.564,354,93,23,4,12,36,0.263,0.317,0.452,0.769,0.33,42.27,"$1,350,000"
,Trent Grisham,CF,SD,153,0.939,142,0.871,469,93,31,1,13,50,0.198,0.315,0.352,0.666,1.99,39.23,"$5,500,000"
,Alejandro Kirk,C,TOR,122,0.753,97,0.599,372,93,16,0,8,43,0.25,0.334,0.358,0.692,1.94,29.09,"$2,800,000"
,Willi Castro,SS,MIN,121,0.747,92,0.568,358,92,18,5,9,34,0.257,0.339,0.411,0.75,2.67,72.26,"$3,300,000"
,Shea Langeliers,C,OAK,135,0.833,124,0.765,448,92,19,4,22,63,0.205,0.268,0.413,0.681,1.06,30.21,"$745,000"
,Anthony Rizzo,1B,NYY,99,0.607,99,0.607,373,91,14,0,12,41,0.244,0.328,0.378,0.706,0.46,9.6,"$17,000,000"
,Miguel Rojas,SS,LAD,124,0.756,109,0.665,385,91,16,1,5,31,0.236,0.29,0.322,0.612,1.25,10.59,"$5,000,000"
,Elly De La Cruz,SS,CIN,98,0.605,96,0.593,388,91,15,7,13,44,0.235,0.301,0.41,0.71,0.83,71.21,"$742,500"
,Jason Heyward,RF,LAD,124,0.756,98,0.598,334,90,23,0,15,40,0.27,0.34,0.473,0.813,1.92,52.53,"$9,000,000"
,Taylor Ward,LF,LAA,97,0.595,89,0.546,356,90,18,0,14,47,0.253,0.335,0.421,0.756,1.66,0,"$4,800,000"
,Luke Raley,CF,TB,117,0.718,99,0.607,357,89,23,3,19,49,0.249,0.333,0.49,0.824,2.75,78.23,"$754,200"
,Edouard Julien,2B,MIN,109,0.673,93,0.574,338,89,16,1,16,37,0.263,0.381,0.459,0.839,2.62,79.85,"$746,750"
,Brice Turang,SS,MIL,137,0.846,113,0.698,404,88,9,3,6,34,0.218,0.285,0.3,0.585,1.56,20.78,"$748,200"
,Jazz Chisholm,CF,MIA,97,0.592,93,0.567,352,88,12,2,19,51,0.25,0.304,0.457,0.761,1.24,0,"$2,625,000"
,Mike Moustakas,3B,LAA,112,0.687,88,0.54,352,87,15,0,12,48,0.247,0.293,0.392,0.685,0.47,19.78,$0
,Yoan Moncada,3B,CHW,92,0.564,87,0.534,334,87,20,1,11,40,0.261,0.305,0.425,0.73,0.55,0,"$24,000,000"
,Brandon Lowe,2B,TB,109,0.669,101,0.62,377,87,15,1,21,68,0.231,0.328,0.443,0.771,2.1,68.12,"$8,750,000"
,Mickey Moniak,CF,LAA,85,0.522,77,0.472,311,87,21,2,14,45,0.28,0.307,0.495,0.802,2.15,0,"$770,000"
,Connor Wong,C,BOS,126,0.773,105,0.644,371,87,25,2,9,36,0.235,0.288,0.385,0.673,2.18,30.5,"$760,000"
,Miguel Cabrera,DH,DET,98,0.601,95,0.583,334,86,20,0,4,34,0.258,0.322,0.353,0.675,-0.39,0.59,$0
,Brandon Belt,1B,TOR,102,0.63,97,0.599,339,86,23,0,19,43,0.254,0.369,0.49,0.858,2.01,67.95,$0
,Jake Fraley,RF,CIN,111,0.685,85,0.525,336,86,18,0,15,65,0.256,0.34,0.443,0.783,0.88,63.99,"$2,150,000"
,Kyle Farmer,SS,MIN,119,0.735,79,0.488,336,86,14,2,11,46,0.256,0.317,0.408,0.725,1.61,23.85,"$6,250,000"
,Alek Thomas,CF,ARI,125,0.767,104,0.638,374,86,17,5,9,39,0.23,0.273,0.374,0.647,1.07,19.56,"$769,500"
,Yasmani Grandal,C,CHW,118,0.724,97,0.595,363,85,14,0,8,33,0.234,0.309,0.339,0.647,-0.69,1.5,"$2,500,000"
,Mike Tauchman,CF,CHC,108,0.667,85,0.525,337,85,18,0,8,48,0.252,0.363,0.377,0.739,2.32,63.26,"$1,950,000"
,Robbie Grossman,RF,TEX,115,0.71,99,0.611,353,84,23,1,10,49,0.238,0.341,0.394,0.734,-0.12,32.57,"$704,106"
,Joc Pederson,LF,SF,121,0.747,95,0.586,358,84,14,3,15,51,0.235,0.348,0.416,0.764,0.59,16.57,"$9,500,000"
,Manuel Margot,RF,TB,97,0.595,81,0.497,311,82,21,1,4,38,0.264,0.31,0.376,0.686,0.62,0,"$4,000,000"
,Mike Trout,CF,LAA,82,0.503,81,0.497,308,81,14,1,18,44,0.263,0.367,0.49,0.858,2.87,0,"$35,450,000"
,Ramon Laureano,OF,CLE,105,0.648,95,0.586,361,81,18,4,9,35,0.224,0.305,0.371,0.676,1.16,32.62,"$5,150,000"
,Brenton Doyle,CF,COL,126,0.778,118,0.728,399,81,16,5,10,48,0.203,0.25,0.343,0.593,0.85,20.32,"$742,000"
,Chris Taylor,3B,LAD,114,0.695,82,0.5,338,80,15,1,15,56,0.237,0.326,0.42,0.746,1.33,31.33,"$13,000,000"
,Mitch Garver,C,TEX,87,0.537,82,0.506,296,80,11,0,19,50,0.27,0.37,0.5,0.87,2.13,0,"$11,500,000"
,Francisco Alvarez,C,NYM,122,0.749,103,0.632,382,80,12,0,25,63,0.209,0.284,0.437,0.721,0.89,37.44,"$762,500"
,Adam Duvall,RF,BOS,92,0.564,82,0.503,320,79,24,2,21,58,0.247,0.303,0.531,0.834,1.47,0,"$3,000,000"
,Jace Peterson,3B,ARI,134,0.822,103,0.632,374,79,10,4,6,37,0.211,0.304,0.307,0.611,0.39,10.92,"$3,000,000"
,Will Benson,OF,CIN,108,0.667,86,0.531,287,79,15,8,11,31,0.275,0.365,0.498,0.863,1.62,77.3,"$750,000"
,Isiah Kiner-Falefa,SS,NYY,115,0.706,88,0.54,326,79,12,1,6,37,0.242,0.306,0.34,0.646,-0.04,10.68,"$7,500,000"
,Ryan Jeffers,C,MIN,94,0.58,77,0.475,286,79,15,2,14,43,0.276,0.369,0.49,0.858,3.27,0,"$2,425,000"
,Starling Marte,RF,NYM,86,0.528,82,0.503,315,78,7,1,5,28,0.248,0.301,0.324,0.625,-0.79,0,"$19,500,000"
