"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Cash2023",""
"","Joe Wendle","2B","TB","139","0.858","122","0.753","487","146","33","6","7","61","0.300","0.354","0.435","0.789","4.85","81.88","$6,000,000",""
"","Stephen Piscotty","RF","OAK","151","0.932","148","0.914","546","146","41","0","27","88","0.267","0.331","0.491","0.821","2.90","70.16","$0",""
"","Andrew McCutchen","RF","NYY","155","0.957","153","0.944","569","145","30","3","20","65","0.255","0.368","0.424","0.792","1.55","63.40","$5,000,000",""
"","Matt Carpenter","1B","STL","156","0.963","149","0.920","564","145","42","0","36","81","0.257","0.374","0.523","0.897","4.38","93.32","$6,500,000",""
"","Yolmer Sanchez","3B","CHW","155","0.957","150","0.926","600","145","34","10","8","55","0.242","0.306","0.372","0.678","2.46","47.82","$0",""
"","Cody Bellinger","1B","LAD","162","0.994","135","0.828","557","145","28","7","25","76","0.260","0.343","0.470","0.814","4.15","87.35","$12,000,000",""
"","Mike Moustakas","3B","MIL","153","0.939","147","0.902","573","144","33","1","28","95","0.251","0.315","0.459","0.774","1.51","56.33","$0",""
"","George Springer","CF","HOU","141","0.870","136","0.840","544","144","26","0","22","71","0.265","0.346","0.434","0.780","2.86","56.46","$22,500,000",""
"","Joey Votto","1B","CIN","145","0.895","140","0.864","503","143","28","2","12","67","0.284","0.417","0.419","0.837","3.60","47.38","$25,000,000",""
"","Asdrubal Cabrera","2B","PHI","148","0.914","132","0.815","546","143","36","1","23","75","0.262","0.316","0.458","0.774","1.74","37.65","$0",""
"","Matt Olson","1B","OAK","162","1.000","152","0.938","580","143","33","0","29","84","0.247","0.335","0.453","0.788","3.72","83.67","$21,000,000",""
"","Khris Davis","DH","OAK","151","0.932","149","0.920","576","142","28","1","48","123","0.247","0.326","0.549","0.874","2.86","81.46","$0",""
"","Mallex Smith","LF","TB","141","0.870","127","0.784","480","142","27","10","2","40","0.296","0.367","0.406","0.773","3.47","82.77","$0",""
"","Amed Rosario","SS","NYM","154","0.951","141","0.870","554","142","26","8","9","51","0.256","0.295","0.381","0.676","1.08","36.72","$7,800,000",""
"","Jon Jay","CF","ARI","143","0.883","120","0.741","527","141","19","7","3","40","0.268","0.331","0.347","0.678","0.72","26.64","$0",""
"","Trey Mancini","LF","BAL","156","0.963","150","0.926","582","141","23","3","24","58","0.242","0.299","0.416","0.715","0.82","33.55","$7,000,000",""
"","Odubel Herrera","CF","PHI","148","0.914","140","0.864","550","140","19","3","22","71","0.255","0.310","0.420","0.730","0.51","29.30","$0",""
"","Ben Zobrist","2B","CHC","140","0.859","108","0.663","455","139","28","3","9","58","0.306","0.378","0.440","0.817","3.52","45.59","$0",""
"","Justin Upton","LF","LAA","146","0.901","144","0.889","533","137","18","1","30","85","0.257","0.344","0.463","0.808","3.67","48.29","$0",""
"","Joe Mauer","1B","MIN","127","0.784","117","0.722","486","137","27","1","6","48","0.282","0.351","0.379","0.729","1.40","8.07","$0",""
"","Bryce Harper","CF","WSH","160","0.988","155","0.957","550","137","34","0","34","100","0.249","0.393","0.496","0.889","1.79","69.32","$26,000,000",""
"","Rhys Hoskins","LF","PHI","153","0.944","149","0.920","558","137","38","0","34","96","0.246","0.354","0.496","0.850","1.12","80.66","$12,000,000",""
"","Chris Taylor","SS","LAD","155","0.951","128","0.785","536","136","35","8","17","63","0.254","0.331","0.444","0.775","4.32","79.68","$15,000,000",""
"","Tommy Pham","CF","TB","139","0.858","129","0.796","494","136","18","6","21","63","0.275","0.367","0.464","0.830","0.77","78.67","$6,000,000",""
"","Yoan Moncada","2B","CHW","149","0.920","148","0.914","578","136","32","6","17","61","0.235","0.315","0.400","0.714","1.42","60.33","$18,000,000",""
"","Tim Anderson","SS","CHW","153","0.944","151","0.932","567","136","28","3","20","64","0.240","0.282","0.406","0.687","3.72","50.83","$12,500,000",""
"","Brandon Crawford","SS","SF","151","0.932","141","0.870","531","135","28","2","14","54","0.254","0.325","0.394","0.719","1.54","26.88","$16,000,000",""
"","Didi Gregorius","SS","NYY","134","0.827","130","0.803","504","135","23","5","27","86","0.268","0.335","0.494","0.829","4.93","83.13","$0",""
"","Jesus Aguilar","1B","MIL","149","0.914","123","0.755","492","135","25","0","35","108","0.274","0.352","0.539","0.890","3.41","90.48","$3,000,000",""
"","Ketel Marte","2B","ARI","153","0.944","132","0.815","520","135","26","12","14","59","0.260","0.332","0.437","0.768","3.85","59.68","$11,000,000",""
"","Matt Kemp","RF","LAD","146","0.896","119","0.730","462","134","25","0","21","85","0.290","0.338","0.481","0.818","1.15","17.56","$0",""
"","Nelson Cruz","DH","SEA","146","0.901","140","0.864","519","133","18","1","37","97","0.256","0.342","0.509","0.850","2.94","61.51","$1,000,000",""
"","Jurickson Profar","SS","TEX","146","0.901","137","0.846","524","133","35","6","20","77","0.254","0.334","0.458","0.792","1.70","74.85","$0",""
"","Derek Dietrich","LF","MIA","149","0.926","117","0.727","499","132","26","2","16","45","0.265","0.330","0.421","0.751","-0.31","35.05","$0",""
"","Jose Abreu","1B","CHW","128","0.790","127","0.784","499","132","36","1","22","78","0.265","0.326","0.473","0.798","1.99","45.68","$19,500,000",""
"","J.T. Realmuto","C","MIA","126","0.783","120","0.745","477","132","30","3","21","74","0.277","0.340","0.484","0.825","4.53","85.68","$23,875,000",""
"","Michael Conforto","RF","NYM","153","0.944","141","0.870","543","132","25","1","28","82","0.243","0.350","0.448","0.797","2.70","80.28","$18,000,000",""
"","Ian Desmond","1B","COL","160","0.982","149","0.914","555","131","21","8","22","88","0.236","0.307","0.422","0.729","-0.10","19.43","$0",""
"","Josh Bell","1B","PIT","148","0.919","136","0.845","501","131","31","4","12","62","0.262","0.357","0.411","0.768","0.70","54.35","$16,500,000",""
"","Kyle Seager","3B","SEA","156","0.963","151","0.932","583","129","36","1","22","78","0.221","0.273","0.400","0.673","1.06","11.96","$0",""
"","Kevin Pillar","CF","TOR","142","0.877","132","0.815","512","129","40","2","15","59","0.252","0.282","0.426","0.708","2.26","48.09","$0",""
"","Carlos Gonzalez","RF","COL","133","0.816","114","0.699","463","128","32","4","16","64","0.277","0.329","0.467","0.796","0.77","38.12","$0",""
"","Carlos Santana","1B","PHI","161","0.994","157","0.969","560","128","28","2","24","86","0.229","0.352","0.414","0.766","2.01","28.57","$6,725,000",""
"","Eduardo Nunez","2B","BOS","127","0.784","121","0.747","480","127","23","3","10","44","0.265","0.289","0.388","0.677","-0.88","13.98","$0",""
"","Albert Almora","CF","CHC","153","0.939","94","0.577","444","127","24","1","5","41","0.286","0.323","0.378","0.701","2.18","27.57","$0",""
"","C.J. Cron","DH","TB","140","0.864","125","0.772","501","127","28","1","30","74","0.254","0.323","0.493","0.816","2.33","69.65","$7,250,000",""
"","Ronald Acuna Jr.","LF","ATL","111","0.685","108","0.667","433","127","26","4","26","64","0.293","0.366","0.552","0.917","3.91","97.94","$17,000,000",""
"","Nomar Mazara","RF","TEX","130","0.803","126","0.778","489","126","25","1","20","77","0.258","0.317","0.436","0.753","0.52","52.85","$0",""
"","Johan Camargo","3B","ATL","135","0.833","122","0.753","464","126","27","1","19","76","0.272","0.349","0.457","0.806","3.18","79.83","$0",""
"","Brett Gardner","LF","NYY","140","0.864","130","0.803","530","125","20","7","12","45","0.236","0.322","0.368","0.690","3.31","38.39","$0",""
"","Alex Gordon","LF","KC","142","0.877","139","0.858","506","124","24","0","13","54","0.245","0.324","0.370","0.694","1.96","17.53","$0",""
"","Miguel Rojas","SS","MIA","154","0.957","125","0.776","488","123","13","0","11","53","0.252","0.297","0.346","0.643","1.10","27.15","$5,000,000",""
"","Justin Smoak","1B","TOR","147","0.907","135","0.833","505","122","34","0","25","77","0.242","0.350","0.457","0.808","2.50","68.74","$0",""
"","Marwin Gonzalez","LF","HOU","145","0.895","136","0.840","489","121","25","3","16","68","0.247","0.324","0.409","0.733","2.39","48.68","$0",""
"","Nick Ahmed","SS","ARI","153","0.944","135","0.833","516","121","33","5","16","70","0.235","0.290","0.411","0.700","4.14","52.58","$10,250,000",""
"","Jonathan Villar","SS","BAL","141","0.870","118","0.728","466","121","14","1","14","46","0.260","0.325","0.384","0.709","1.26","51.04","$0",""
"","Jeimer Candelario","3B","DET","144","0.889","139","0.858","539","121","28","3","19","54","0.225","0.317","0.393","0.710","0.85","57.31","$5,000,000",""
"","Juan Soto","LF","WSH","116","0.716","112","0.691","414","121","25","1","22","70","0.292","0.406","0.517","0.923","3.03","95.81","$23,000,000",""
"","Yadier Molina","C","STL","124","0.765","120","0.741","459","120","20","0","20","74","0.261","0.314","0.436","0.750","1.53","18.66","$0",""
"","Salvador Perez","C","KC","129","0.796","128","0.790","510","120","23","0","27","80","0.235","0.274","0.439","0.713","2.25","38.12","$20,000,000",""
"","Travis Shaw","3B","MIL","152","0.933","138","0.847","498","120","23","0","32","86","0.241","0.345","0.480","0.825","4.50","87.98","$0",""
"","Rougned Odor","2B","TEX","130","0.803","125","0.772","474","120","23","2","18","63","0.253","0.327","0.424","0.751","2.50","55.21","$0",""
"","Jason Heyward","RF","CHC","128","0.785","111","0.681","440","119","23","4","8","57","0.271","0.335","0.395","0.731","2.06","8.88","$0",""
"","Brian Dozier","2B","LAD","151","0.926","141","0.865","553","119","30","2","21","72","0.215","0.305","0.391","0.696","0.93","43.31","$0",""
"","Aaron Hicks","CF","NYY","138","0.852","131","0.809","480","119","18","3","27","79","0.248","0.366","0.467","0.833","4.35","93.63","$10,500,000",""
"","Billy Hamilton","CF","CIN","153","0.944","138","0.852","504","119","16","9","4","29","0.236","0.299","0.327","0.626","0.65","21.99","$0",""
"","Max Kepler","CF","MIN","156","0.963","144","0.889","532","119","30","4","20","58","0.224","0.319","0.408","0.727","3.46","62.75","$8,500,000",""
"","Adrian Beltre","3B","TEX","120","0.741","113","0.698","433","118","23","1","15","65","0.273","0.329","0.434","0.763","1.52","23.45","$0",""
"","Willson Contreras","C","CHC","138","0.847","123","0.755","474","118","27","5","10","54","0.249","0.340","0.390","0.730","3.07","59.09","$10,000,000",""
"","Victor Martinez","DH","DET","133","0.821","124","0.765","467","117","21","0","9","54","0.251","0.297","0.353","0.651","-1.27","1.73","$0",""
"","Evan Longoria","3B","SF","126","0.778","120","0.741","480","117","25","4","16","54","0.244","0.281","0.413","0.694","1.43","13.71","$4,000,000",""
"","Ian Kinsler","2B","BOS","128","0.790","124","0.765","487","117","26","0","14","48","0.240","0.302","0.380","0.681","2.51","25.32","$0",""
"","Wilson Ramos","C","PHI","111","0.685","96","0.593","382","117","22","1","15","70","0.306","0.358","0.487","0.845","1.74","57.65","$0",""
"","Gregory Polanco","RF","PIT","131","0.814","122","0.758","461","117","32","6","23","81","0.254","0.340","0.499","0.839","2.18","75.07","$0",""
"","Maikel Franco","3B","PHI","131","0.809","111","0.685","433","117","17","1","22","68","0.270","0.314","0.467","0.780","0.40","37.68","$0",""
"","Manuel Margot","CF","SD","141","0.870","123","0.759","477","117","26","8","8","51","0.245","0.292","0.384","0.675","1.33","35.10","$7,000,000",""
"","Gleyber Torres","SS","NYY","124","0.765","119","0.735","431","117","16","1","24","77","0.272","0.340","0.480","0.820","3.57","80.29","$9,950,000",""
"","Jose Iglesias","SS","DET","125","0.772","120","0.741","432","116","31","3","5","48","0.269","0.310","0.389","0.699","2.00","33.31","$0",""
"","Ryon Healy","1B","SEA","134","0.827","129","0.796","493","116","15","0","24","73","0.235","0.277","0.412","0.688","-0.58","25.70","$0",""
"","Aaron Judge","RF","NYY","112","0.691","108","0.667","413","115","22","0","27","67","0.279","0.392","0.528","0.919","5.87","98.90","$40,000,000",""
"","Colin Moran","3B","PIT","145","0.901","110","0.683","415","115","19","1","11","58","0.277","0.340","0.407","0.747","0.78","35.78","$0",""
"","Albert Pujols","DH","LAA","117","0.722","117","0.722","465","114","20","0","19","64","0.245","0.289","0.411","0.700","0.27","5.10","$0",""
"","Denard Span","LF","SEA","137","0.846","111","0.685","437","114","22","7","11","58","0.261","0.341","0.419","0.760","1.03","31.76","$0",""
"","Gerardo Parra","LF","COL","142","0.871","97","0.595","401","114","17","0","6","53","0.284","0.342","0.372","0.714","0.37","15.47","$0",""
"","Justin Turner","3B","LAD","103","0.632","94","0.577","365","114","31","1","14","52","0.312","0.406","0.518","0.924","4.68","81.40","$8,300,000",""
"","Tucker Barnhart","C","CIN","138","0.852","119","0.735","460","114","21","3","10","46","0.248","0.328","0.372","0.699","0.82","25.82","$3,250,000",""
"","Dansby Swanson","SS","ATL","136","0.840","132","0.815","478","114","25","4","14","59","0.239","0.304","0.395","0.699","2.16","51.85","$20,000,000",""
"","Brandon Nimmo","CF","NYM","141","0.870","115","0.710","433","114","28","8","17","47","0.263","0.404","0.483","0.886","4.62","94.28","$20,250,000",""
"","Teoscar Hernandez","LF","TOR","136","0.840","119","0.735","476","114","29","7","22","57","0.240","0.302","0.468","0.771","0.54","49.79","$14,463,983",""
"","Buster Posey","C","SF","106","0.654","101","0.624","398","113","22","1","5","41","0.284","0.359","0.382","0.741","2.78","21.05","$0",""
"","Alcides Escobar","SS","KC","140","0.864","139","0.858","485","112","22","3","4","34","0.231","0.279","0.313","0.593","-2.16","8.90","$0",""
"","Jackie Bradley Jr.","CF","BOS","144","0.889","137","0.846","474","111","33","4","13","59","0.234","0.314","0.403","0.717","2.54","48.26","$0",""
"","Aledmys Diaz","SS","TOR","130","0.803","120","0.741","422","111","26","0","18","55","0.263","0.303","0.453","0.756","2.14","42.40","$6,500,000",""
"","Jonathan Schoop","2B","MIL","132","0.810","113","0.693","473","110","22","1","21","61","0.233","0.266","0.416","0.682","2.42","21.22","$7,500,000",""
"","Jose Pirela","2B","SD","146","0.901","103","0.636","438","109","23","2","5","32","0.249","0.300","0.345","0.645","-0.66","14.69","$0",""
"","Niko Goodrum","2B","DET","131","0.809","117","0.722","444","109","29","3","16","53","0.246","0.315","0.432","0.747","0.99","56.19","$0",""
"","Yasiel Puig","RF","LAD","126","0.773","107","0.656","405","108","21","1","23","63","0.267","0.327","0.494","0.820","2.34","68.47","$0",""
"","Robbie Grossman","DH","MIN","129","0.796","105","0.648","396","108","27","1","5","48","0.273","0.367","0.384","0.751","1.53","44.28","$0",""
"","Rafael Devers","3B","BOS","121","0.747","115","0.710","450","108","24","0","21","66","0.240","0.298","0.433","0.731","0.23","44.92","$22,500,000",""
"","Yasmani Grandal","C","LAD","141","0.865","111","0.681","440","106","23","2","24","68","0.241","0.349","0.466","0.815","3.60","66.07","$18,250,000",""
"","A.J. Pollock","CF","ARI","113","0.698","105","0.648","413","106","21","5","21","65","0.257","0.316","0.484","0.800","2.19","68.30","$7,000,000",""
"","Kris Bryant","3B","CHC","102","0.626","99","0.607","389","106","28","3","13","52","0.273","0.374","0.460","0.834","2.27","63.29","$27,000,000",""
"","Yangervis Solarte","3B","TOR","122","0.753","116","0.716","468","106","20","0","17","54","0.227","0.277","0.378","0.655","-0.25","16.27","$0",""
"","Josh Reddick","RF","HOU","135","0.833","119","0.735","433","105","13","2","17","47","0.243","0.318","0.400","0.718","1.71","22.08","$0",""
"","Addison Russell","SS","CHC","131","0.804","110","0.675","420","105","21","1","5","38","0.250","0.317","0.340","0.657","2.44","26.41","$0",""
"","Paul DeJong","SS","STL","115","0.710","111","0.685","436","105","25","1","19","68","0.241","0.313","0.433","0.746","2.92","70.58","$9,000,000",""
"","Randal Grichuk","CF","TOR","124","0.765","111","0.685","424","104","32","1","25","61","0.245","0.301","0.502","0.803","2.45","64.48","$5,000,000",""
"","Max Muncy","2B","LAD","137","0.841","102","0.626","395","104","17","2","35","79","0.263","0.391","0.582","0.973","4.31","97.42","$13,500,000",""
"","Nick Williams","RF","PHI","140","0.864","102","0.630","407","104","12","3","17","50","0.256","0.324","0.425","0.749","-0.52","25.69","$0",""
"","Ryan Braun","LF","MIL","126","0.773","100","0.614","405","103","25","1","20","64","0.254","0.313","0.469","0.782","0.88","17.73","$0",""
"","Kendrys Morales","DH","TOR","130","0.803","108","0.667","413","103","15","0","21","57","0.249","0.331","0.438","0.769","0.80","26.57","$0",""
"","Wilmer Flores","1B","NYM","126","0.778","90","0.556","386","103","25","0","11","51","0.267","0.319","0.417","0.736","0.78","27.12","$6,500,000",""
"","Enrique Hernandez","LF","LAD","145","0.890","104","0.638","402","103","17","3","21","52","0.256","0.336","0.470","0.806","3.51","66.85","$10,000,000",""
"","Joey Gallo","LF","TEX","150","0.926","136","0.840","500","103","24","1","40","92","0.206","0.312","0.498","0.810","2.41","78.30","$11,000,000",""
"","Kole Calhoun","RF","LAA","137","0.846","129","0.796","491","102","18","2","19","57","0.208","0.283","0.369","0.652","-0.01","20.49","$0",""
"","Kyle Schwarber","LF","CHC","137","0.841","121","0.742","428","102","14","3","26","61","0.238","0.356","0.467","0.823","2.10","72.31","$20,000,000",""
"","Scott Kingery","SS","PHI","147","0.907","116","0.716","452","102","23","2","8","35","0.226","0.267","0.338","0.605","-0.62","5.73","$0",""
"","Elvis Andrus","SS","TEX","97","0.599","96","0.593","395","101","20","3","6","33","0.256","0.308","0.367","0.675","1.65","0.00","$0",""
"","Brandon Belt","1B","SF","112","0.691","103","0.636","399","101","18","2","14","46","0.253","0.342","0.414","0.756","2.48","36.00","$9,300,000",""
"","Adam Engel","CF","CHW","144","0.889","124","0.765","429","101","17","4","6","29","0.235","0.279","0.336","0.614","1.18","16.62","$0",""
"","Jonathan Lucroy","C","OAK","126","0.778","119","0.735","415","100","21","1","4","51","0.241","0.291","0.325","0.617","-0.61","5.94","$0",""
"","Harrison Bader","RF","STL","138","0.852","96","0.593","379","100","20","2","12","37","0.264","0.334","0.422","0.756","3.35","67.04","$4,700,000",""
"","Hunter Renfroe","RF","SD","117","0.722","97","0.599","403","100","23","1","26","68","0.248","0.302","0.504","0.805","2.37","72.27","$12,243,103",""
"","Daniel Palka","LF","CHW","124","0.765","102","0.630","417","100","15","3","27","67","0.240","0.294","0.484","0.778","0.59","51.88","$0",""
"","Mitch Moreland","1B","BOS","125","0.772","104","0.642","404","99","23","4","15","68","0.245","0.325","0.433","0.758","1.48","39.38","$0",""
"","Jordy Mercer","SS","PIT","118","0.733","117","0.727","394","99","29","2","6","39","0.251","0.315","0.381","0.696","0.47","16.21","$0",""
"","Matt Davidson","DH","CHW","128","0.790","119","0.735","434","99","23","0","20","62","0.228","0.319","0.419","0.738","0.60","50.61","$0",""
"","Daniel Murphy","2B","CHC","92","0.564","82","0.503","328","98","15","0","12","42","0.299","0.336","0.454","0.790","-0.67","0.00","$0",""
"","Joc Pederson","LF","LAD","148","0.908","88","0.540","395","98","27","3","25","56","0.248","0.321","0.522","0.843","2.17","61.48","$19,650,000",""
"","Gorkys Hernandez","LF","SF","142","0.877","102","0.630","414","97","16","2","15","40","0.234","0.285","0.391","0.676","0.19","24.24","$0",""
"","Scott Schebler","RF","CIN","107","0.661","94","0.580","380","97","19","0","17","49","0.255","0.337","0.439","0.777","0.86","61.54","$0",""
"","Adam Eaton","RF","WSH","96","0.593","76","0.469","319","96","19","1","5","33","0.301","0.394","0.414","0.808","1.27","0.00","$0",""
"","Carlos Correa","SS","HOU","111","0.685","110","0.679","402","96","20","1","15","65","0.239","0.323","0.405","0.728","3.05","61.32","$36,000,000",""
"","Justin Bour","1B","PHI","141","0.870","111","0.685","423","96","13","1","20","59","0.227","0.341","0.404","0.746","0.35","39.92","$0",""
"","Robinson Cano","2B","SEA","80","0.494","79","0.488","310","94","22","0","10","50","0.303","0.374","0.471","0.845","3.36","0.00","$0",""
"","Kurt Suzuki","C","ATL","105","0.648","87","0.537","347","94","24","0","12","50","0.271","0.333","0.444","0.776","2.05","52.36","$0",""
"","James McCann","C","DET","118","0.728","115","0.710","427","94","16","0","8","39","0.220","0.267","0.314","0.581","-0.71","7.08","$1,000,000",""
