"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Cash2023",""
"","Whit Merrifield","2B","KC","158","0.975","157","0.969","632","192","43","3","12","60","0.304","0.367","0.438","0.806","4.48","95.73","$6,750,000",""
"","Freddie Freeman","1B","ATL","162","1.000","160","0.988","618","191","44","4","23","98","0.309","0.388","0.505","0.892","5.45","86.56","$20,000,000",""
"","J.D. Martinez","DH","BOS","150","0.926","150","0.926","569","188","37","2","43","130","0.330","0.402","0.629","1.031","6.71","96.69","$10,000,000",""
"","Manny Machado","3B","LAD","162","0.994","161","0.988","632","188","35","3","37","107","0.298","0.367","0.538","0.905","3.64","75.27","$30,000,000",""
"","Christian Yelich","LF","MIL","147","0.902","144","0.883","574","187","34","7","36","110","0.326","0.403","0.598","1.000","7.26","99.85","$22,000,000",""
"","Nick Markakis","RF","ATL","162","1.000","162","1.000","623","185","43","2","14","93","0.297","0.366","0.440","0.806","2.58","54.24","$0",""
"","Nick Castellanos","RF","DET","158","0.975","156","0.963","620","185","46","5","23","89","0.298","0.354","0.500","0.854","2.81","76.32","$20,000,000",""
"","Charlie Blackmon","CF","COL","157","0.963","152","0.933","626","182","31","7","29","70","0.291","0.358","0.502","0.860","1.02","44.97","$15,000,000",""
"","Jose Peraza","SS","CIN","158","0.975","152","0.938","632","182","31","4","14","58","0.288","0.326","0.416","0.742","2.20","64.65","$0",""
"","Scooter Gennett","2B","CIN","154","0.951","143","0.883","584","181","30","3","23","92","0.310","0.358","0.490","0.847","3.02","81.23","$0",""
"","Mookie Betts","RF","BOS","137","0.846","132","0.815","520","180","47","5","32","80","0.346","0.438","0.640","1.078","10.68","100.00","$17,000,000",""
"","Trea Turner","SS","WSH","162","1.000","158","0.975","664","180","27","6","19","73","0.271","0.344","0.416","0.760","4.71","90.57","$27,272,727",""
"","Jean Segura","SS","SEA","146","0.901","144","0.889","586","178","29","3","10","63","0.304","0.341","0.415","0.755","3.67","52.85","$6,500,000",""
"","Javier Baez","2B","CHC","161","0.988","145","0.890","606","176","40","9","34","111","0.290","0.326","0.554","0.881","6.44","97.85","$22,000,000",""
"","Nolan Arenado","3B","COL","156","0.957","154","0.945","590","175","38","2","38","110","0.297","0.374","0.561","0.935","6.36","91.76","$13,000,000",""
"","Trevor Story","SS","COL","158","0.969","156","0.957","598","174","42","6","37","108","0.291","0.348","0.567","0.914","6.19","98.73","$20,000,000",""
"","Paul Goldschmidt","1B","ARI","158","0.975","156","0.963","593","172","35","5","33","83","0.290","0.389","0.533","0.922","5.48","96.01","$26,000,000",""
"","Alex Bregman","3B","HOU","157","0.969","157","0.969","594","170","51","1","31","103","0.286","0.394","0.532","0.926","7.90","99.56","$28,500,000",""
"","Mitch Haniger","RF","SEA","158","0.975","157","0.969","596","170","38","4","26","93","0.285","0.366","0.493","0.859","6.48","96.85","$11,000,000",""
"","Miguel Andujar","3B","NYY","149","0.920","145","0.895","573","170","47","2","27","92","0.297","0.328","0.527","0.855","2.91","80.00","$0",""
"","Jose Altuve","2B","HOU","137","0.846","136","0.840","534","169","29","2","13","61","0.317","0.386","0.451","0.837","5.12","43.61","$26,000,000",""
"","Andrew Benintendi","OF","BOS","148","0.914","142","0.877","579","168","41","6","16","87","0.290","0.366","0.465","0.830","4.84","93.74","$11,000,000",""
"","Ozzie Albies","2B","ATL","158","0.975","151","0.932","639","167","40","5","24","72","0.261","0.305","0.452","0.757","4.14","80.11","$7,000,000",""
"","Lorenzo Cain","CF","MIL","142","0.871","137","0.841","539","166","25","2","10","38","0.308","0.395","0.417","0.813","6.86","84.09","$0",""
"","Starlin Castro","2B","MIA","154","0.957","149","0.926","593","165","32","2","12","54","0.278","0.329","0.400","0.729","1.72","42.97","$0",""
"","Giancarlo Stanton","DH","NYY","159","0.982","158","0.975","617","164","34","1","38","100","0.266","0.343","0.509","0.852","4.39","53.92","$22,000,000",""
"","David Peralta","RF","ARI","147","0.907","137","0.846","560","164","25","5","30","87","0.293","0.352","0.516","0.868","3.43","87.50","$0",""
"","Adam Jones","CF","BAL","146","0.901","144","0.889","580","163","35","0","15","63","0.281","0.313","0.419","0.732","0.63","13.41","$0",""
"","Anthony Rendon","3B","WSH","137","0.846","135","0.833","529","163","44","2","24","92","0.308","0.374","0.535","0.909","5.06","85.83","$38,000,000",""
"","Marcell Ozuna","LF","STL","150","0.926","146","0.901","582","163","16","2","23","88","0.280","0.325","0.433","0.758","2.35","48.32","$16,000,000",""
"","Jose Martinez","1B","STL","152","0.938","134","0.827","534","163","30","0","17","83","0.305","0.364","0.457","0.821","1.77","63.37","$0",""
"","Andrelton Simmons","SS","LAA","148","0.914","146","0.901","554","162","26","5","11","75","0.292","0.337","0.417","0.754","5.73","71.41","$0",""
"","Marcus Semien","SS","OAK","159","0.982","158","0.975","632","161","35","2","15","70","0.255","0.318","0.388","0.706","4.42","69.12","$26,000,000",""
"","Eddie Rosario","LF","MIN","139","0.858","133","0.821","559","161","31","2","24","77","0.288","0.323","0.479","0.803","4.26","82.97","$9,000,000",""
"","Brian Anderson","RF","MIA","156","0.969","153","0.950","590","161","34","4","11","65","0.273","0.357","0.400","0.757","2.96","75.23","$0",""
"","Anthony Rizzo","1B","CHC","154","0.945","148","0.908","566","160","29","1","25","101","0.283","0.376","0.470","0.846","3.11","80.11","$17,000,000",""
"","Jed Lowrie","2B","OAK","157","0.969","151","0.932","596","159","37","1","23","99","0.267","0.353","0.448","0.801","4.00","78.49","$0",""
"","Ender Inciarte","CF","ATL","156","0.963","151","0.932","597","158","27","6","10","61","0.265","0.325","0.380","0.705","3.18","57.74","$0",""
"","Yulieski Gurriel","1B","HOU","136","0.840","132","0.815","537","156","33","1","13","85","0.291","0.323","0.428","0.751","2.70","42.41","$0",""
"","Eric Hosmer","1B","SD","157","0.969","155","0.957","613","155","31","2","18","69","0.253","0.322","0.398","0.720","0.90","17.01","$720,000",""
"","Starling Marte","CF","PIT","146","0.907","137","0.851","559","155","32","5","20","72","0.277","0.327","0.460","0.787","4.03","80.90","$22,000,000",""
"","Eduardo Escobar","3B","ARI","152","0.938","145","0.895","566","154","48","3","23","84","0.272","0.334","0.489","0.824","2.62","68.33","$9,500,000",""
"","Cesar Hernandez","2B","PHI","161","0.994","154","0.951","605","153","15","3","15","60","0.253","0.356","0.362","0.718","2.08","51.76","$0",""
"","Matt Chapman","3B","OAK","145","0.895","144","0.889","547","152","42","6","24","68","0.278","0.356","0.508","0.864","7.58","98.38","$12,000,000",""
"","Corey Dickerson","LF","PIT","135","0.839","123","0.764","504","151","35","7","13","55","0.300","0.330","0.474","0.804","3.64","65.95","$2,250,000",""
"","Dee Strange-Gordon","2B","SEA","142","0.877","134","0.827","556","149","17","8","4","36","0.268","0.288","0.349","0.637","1.20","13.65","$0",""
"","Freddy Galvis","SS","SD","162","1.000","162","1.000","602","149","31","5","13","67","0.248","0.299","0.380","0.680","1.85","31.25","$0",""
"","Eugenio Suarez","3B","CIN","144","0.889","142","0.877","527","149","22","2","34","104","0.283","0.366","0.526","0.892","3.95","85.00","$11,000,000",""
"","Shin-Soo Choo","DH","TEX","146","0.901","144","0.889","560","148","31","1","21","62","0.264","0.377","0.436","0.812","2.72","49.43","$0",""
"","Xander Bogaerts","SS","BOS","136","0.840","134","0.827","513","148","45","3","23","103","0.289","0.360","0.522","0.883","4.90","88.94","$30,000,000",""
"","Matt Duffy","3B","TB","133","0.821","126","0.778","503","148","22","1","4","44","0.294","0.361","0.366","0.727","2.86","55.86","$0",""
"","Mike Trout","CF","LAA","140","0.864","139","0.858","471","147","24","4","39","79","0.312","0.460","0.628","1.088","9.92","99.92","$35,450,000",""
"","D.J. LeMahieu","2B","COL","129","0.791","127","0.779","533","147","32","2","15","62","0.276","0.321","0.428","0.749","2.91","56.09","$15,000,000",""
